rule,N,mean_raw,mean_net,t,p,wr,sharpe,sig
A1: 週up+日up+ギャップup → 10:00から引け Long,1280,77.0,73.0,16.14,0.0,67.7,6.79,True
A2: 週強up + 10:00 up → 引けまで Long,1250,47.7,43.7,8.66,0.0,60.4,3.56,True
A3: 週up+日up+13:00 up → 引けまで Long,1507,23.6,19.6,7.76,0.0,58.1,2.64,True
A4: 週down+日down+ギャップdown → Short,854,65.6,61.6,9.06,0.0,67.1,4.62,True
B1: 週up + 前日下落 + 朝反発 → Long,108,-201.3,-205.3,-10.52,0.0,12.0,-16.46,False
B2: 週up + 当日ギャップ↓ → 引けまで Long,691,45.4,41.4,5.75,0.0,60.2,3.17,True
C1: 週過熱 + ギャップ↑ → 10:00 Short,810,-61.7,-65.7,-8.56,0.0,37.9,-5.08,False
C2: 月過熱 + ギャップ↑ → Short,1066,-24.8,-28.8,-3.8,0.0002,43.2,-2.15,False
C3: RSI>70 + 朝強い → Short,590,-28.8,-32.8,-3.3,0.001,39.5,-2.46,False
C4: 週深売り + ギャップ↓ → Long (逆張),473,-50.2,-54.2,-4.33,0.0,37.0,-3.42,False
D1: 週下落 + 日反転 + ギャップ↑ → Long,299,26.5,22.5,3.05,0.0025,56.9,2.38,True
D2: 月下落 + 日反転 → Long,348,99.1,95.1,10.74,0.0,71.0,8.78,True
E1: 週up + 日up → 翌日 Long,1548,30.9,26.9,3.16,0.0016,50.2,1.11,True
E2: 週down + 日down → 翌日 Short,1074,-34.4,-38.4,-2.33,0.02,45.3,-1.26,False
E3: 週up + 日down (押し目) → 翌日 Long,561,32.3,28.3,1.47,0.1408,56.7,0.87,False
E4: 週down + 日up → 翌日 Short,421,16.1,12.1,0.86,0.3881,50.6,0.5,False
E6: 週日同方向 + ギャップ小 → 翌日順方向 (Direction-aware),749,33.1,29.1,2.83,0.0021,51.1,1.44,True
F1: 週up+月up+日下落+朝反発 → Long,117,-172.3,-176.3,-9.15,0.0,17.1,-13.79,False
F2: 週down+月down+日上昇+朝失速 → Short,83,-100.9,-104.9,-6.02,0.0,25.3,-10.97,False
