label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe,sector,entry,type
非鉄 09:30:00 BW Reversion,492,9.72,1.72,233.02,0.92,0.3556,52.6,0.12,非鉄,09:30:00,Reversion (Long worst / Short best)
非鉄 09:30:00 BW Momentum,492,-9.72,-17.72,233.02,-0.92,0.3556,47.4,-1.21,非鉄,09:30:00,Momentum (Long best / Short worst)
非鉄 10:00:00 BW Reversion,492,0.64,-7.36,202.65,0.07,0.9446,51.2,-0.58,非鉄,10:00:00,Reversion (Long worst / Short best)
非鉄 10:00:00 BW Momentum,492,-0.64,-8.64,202.65,-0.07,0.9446,48.8,-0.68,非鉄,10:00:00,Momentum (Long best / Short worst)
非鉄 10:30:00 BW Reversion,492,5.94,-2.06,190.05,0.69,0.4893,48.6,-0.17,非鉄,10:30:00,Reversion (Long worst / Short best)
非鉄 10:30:00 BW Momentum,492,-5.94,-13.94,190.05,-0.69,0.4893,51.4,-1.16,非鉄,10:30:00,Momentum (Long best / Short worst)
非鉄 11:00:00 BW Reversion,492,7.5,-0.5,182.74,0.91,0.3638,50.6,-0.04,非鉄,11:00:00,Reversion (Long worst / Short best)
非鉄 11:00:00 BW Momentum,492,-7.5,-15.5,182.74,-0.91,0.3638,49.4,-1.35,非鉄,11:00:00,Momentum (Long best / Short worst)
非鉄 12:30:00 BW Reversion,492,2.54,-5.46,157.71,0.36,0.721,46.1,-0.55,非鉄,12:30:00,Reversion (Long worst / Short best)
非鉄 12:30:00 BW Momentum,492,-2.54,-10.54,157.71,-0.36,0.721,53.9,-1.06,非鉄,12:30:00,Momentum (Long best / Short worst)
非鉄 13:00:00 BW Reversion,492,3.85,-4.15,139.7,0.61,0.5416,49.4,-0.47,非鉄,13:00:00,Reversion (Long worst / Short best)
非鉄 13:00:00 BW Momentum,492,-3.85,-11.85,139.7,-0.61,0.5416,50.6,-1.35,非鉄,13:00:00,Momentum (Long best / Short worst)
AI半導体 09:30:00 BW Reversion,492,-8.35,-16.35,238.62,-0.78,0.4384,45.1,-1.09,AI半導体,09:30:00,Reversion (Long worst / Short best)
AI半導体 09:30:00 BW Momentum,492,8.35,0.35,238.62,0.78,0.4384,54.9,0.02,AI半導体,09:30:00,Momentum (Long best / Short worst)
AI半導体 10:00:00 BW Reversion,492,-16.9,-24.9,216.7,-1.73,0.0847,43.9,-1.82,AI半導体,10:00:00,Reversion (Long worst / Short best)
AI半導体 10:00:00 BW Momentum,492,16.9,8.9,216.7,1.73,0.0847,56.1,0.65,AI半導体,10:00:00,Momentum (Long best / Short worst)
AI半導体 10:30:00 BW Reversion,492,-4.64,-12.64,191.75,-0.54,0.5919,50.0,-1.05,AI半導体,10:30:00,Reversion (Long worst / Short best)
AI半導体 10:30:00 BW Momentum,492,4.64,-3.36,191.75,0.54,0.5919,50.0,-0.28,AI半導体,10:30:00,Momentum (Long best / Short worst)
AI半導体 11:00:00 BW Reversion,492,0.9,-7.1,171.99,0.12,0.9078,49.8,-0.66,AI半導体,11:00:00,Reversion (Long worst / Short best)
AI半導体 11:00:00 BW Momentum,492,-0.9,-8.9,171.99,-0.12,0.9078,50.2,-0.82,AI半導体,11:00:00,Momentum (Long best / Short worst)
AI半導体 12:30:00 BW Reversion,492,-7.5,-15.5,151.72,-1.1,0.2737,49.2,-1.62,AI半導体,12:30:00,Reversion (Long worst / Short best)
AI半導体 12:30:00 BW Momentum,492,7.5,-0.5,151.72,1.1,0.2737,50.8,-0.05,AI半導体,12:30:00,Momentum (Long best / Short worst)
AI半導体 13:00:00 BW Reversion,492,-4.08,-12.08,120.93,-0.75,0.455,49.0,-1.59,AI半導体,13:00:00,Reversion (Long worst / Short best)
AI半導体 13:00:00 BW Momentum,492,4.08,-3.92,120.93,0.75,0.455,51.0,-0.51,AI半導体,13:00:00,Momentum (Long best / Short worst)
