label,N,mean_raw,mean_net,std,t_stat,p_val,win_rate,sharpe,sector,pair,pair_label
非鉄 (三井金属-三菱マテ),299,6.94,-1.06,167.01,0.72,0.4739,54.5,-0.1,非鉄,57060-57110,三井金属-三菱マテ
非鉄 (三井金属-住友鉱山),346,9.91,1.91,180.3,1.02,0.3082,54.0,0.17,非鉄,57060-57130,三井金属-住友鉱山
非鉄 (三井金属-DOWA),307,2.24,-5.76,170.73,0.23,0.8184,53.4,-0.54,非鉄,57060-57140,三井金属-DOWA
非鉄 (三井金属-古河電工),368,5.1,-2.9,218.34,0.45,0.6545,50.8,-0.21,非鉄,57060-58010,三井金属-古河電工
非鉄 (三井金属-住友電工),353,10.23,2.23,174.5,1.1,0.2722,50.7,0.2,非鉄,57060-58020,三井金属-住友電工
非鉄 (三井金属-フジクラ),385,3.23,-4.77,235.75,0.27,0.7885,48.6,-0.32,非鉄,57060-58030,三井金属-フジクラ
非鉄 (三菱マテ-住友鉱山),279,13.33,5.33,118.64,1.87,0.062,54.1,0.71,非鉄,57110-57130,三菱マテ-住友鉱山
非鉄 (三菱マテ-DOWA),252,8.94,0.94,87.67,1.61,0.1076,58.3,0.17,非鉄,57110-57140,三菱マテ-DOWA
非鉄 (三菱マテ-古河電工),395,-7.43,-15.43,199.05,-0.74,0.4592,49.9,-1.23,非鉄,57110-58010,三菱マテ-古河電工
非鉄 (三菱マテ-住友電工),337,-1.01,-9.01,159.34,-0.12,0.9073,50.1,-0.9,非鉄,57110-58020,三菱マテ-住友電工
非鉄 (三菱マテ-フジクラ),394,-6.68,-14.68,223.45,-0.59,0.5536,47.5,-1.04,非鉄,57110-58030,三菱マテ-フジクラ
非鉄 (住友鉱山-DOWA),302,12.04,4.04,133.33,1.57,0.1182,54.6,0.48,非鉄,57130-57140,住友鉱山-DOWA
非鉄 (住友鉱山-古河電工),391,-3.53,-11.53,235.94,-0.3,0.7679,48.8,-0.78,非鉄,57130-58010,住友鉱山-古河電工
非鉄 (住友鉱山-住友電工),365,-0.45,-8.45,179.58,-0.05,0.962,50.1,-0.75,非鉄,57130-58020,住友鉱山-住友電工
非鉄 (住友鉱山-フジクラ),389,-10.16,-18.16,236.79,-0.84,0.3988,48.1,-1.22,非鉄,57130-58030,住友鉱山-フジクラ
非鉄 (DOWA-古河電工),373,-8.24,-16.24,214.83,-0.74,0.4598,45.3,-1.2,非鉄,57140-58010,DOWA-古河電工
非鉄 (DOWA-住友電工),326,-13.09,-21.09,145.88,-1.62,0.1067,47.5,-2.3,非鉄,57140-58020,DOWA-住友電工
非鉄 (DOWA-フジクラ),379,-13.07,-21.07,224.04,-1.13,0.2573,48.3,-1.49,非鉄,57140-58030,DOWA-フジクラ
非鉄 (古河電工-住友電工),356,-0.16,-8.16,215.18,-0.01,0.9889,49.7,-0.6,非鉄,58010-58020,古河電工-住友電工
非鉄 (古河電工-フジクラ),362,11.68,3.68,251.63,0.88,0.3785,51.4,0.23,非鉄,58010-58030,古河電工-フジクラ
非鉄 (住友電工-フジクラ),387,6.78,-1.22,210.15,0.63,0.5265,50.4,-0.09,非鉄,58020-58030,住友電工-フジクラ
AI半導体 (ディスコ-ソシオネクスト),388,-6.58,-14.58,210.79,-0.61,0.5398,49.0,-1.1,AI半導体,61460-65260,ディスコ-ソシオネクスト
AI半導体 (ディスコ-アドバンテスト),390,-11.07,-19.07,171.89,-1.27,0.2049,49.0,-1.76,AI半導体,61460-68570,ディスコ-アドバンテスト
AI半導体 (ディスコ-レーザーテック),393,-10.13,-18.13,169.42,-1.18,0.2372,45.5,-1.7,AI半導体,61460-69200,ディスコ-レーザーテック
AI半導体 (ディスコ-ローム),391,-8.27,-16.27,202.1,-0.81,0.4197,46.0,-1.28,AI半導体,61460-69630,ディスコ-ローム
AI半導体 (ディスコ-太陽誘電),391,-10.42,-18.42,204.6,-1.01,0.3154,48.8,-1.43,AI半導体,61460-69760,ディスコ-太陽誘電
AI半導体 (ディスコ-東京エレクトロン),361,-18.33,-26.33,140.95,-2.47,0.0141,44.3,-2.97,AI半導体,61460-80350,ディスコ-東京エレクトロン
AI半導体 (ソシオネクスト-アドバンテスト),391,-7.13,-15.13,221.34,-0.64,0.5248,44.8,-1.09,AI半導体,65260-68570,ソシオネクスト-アドバンテスト
AI半導体 (ソシオネクスト-レーザーテック),400,-13.79,-21.79,207.57,-1.33,0.1852,45.2,-1.67,AI半導体,65260-69200,ソシオネクスト-レーザーテック
AI半導体 (ソシオネクスト-ローム),381,20.41,12.41,217.3,1.83,0.0679,53.0,0.91,AI半導体,65260-69630,ソシオネクスト-ローム
AI半導体 (ソシオネクスト-太陽誘電),389,2.83,-5.17,210.27,0.27,0.7908,49.9,-0.39,AI半導体,65260-69760,ソシオネクスト-太陽誘電
AI半導体 (ソシオネクスト-東京エレクトロン),386,9.55,1.55,190.8,0.98,0.3266,53.4,0.13,AI半導体,65260-80350,ソシオネクスト-東京エレクトロン
AI半導体 (アドバンテスト-レーザーテック),383,-11.54,-19.54,181.5,-1.24,0.2146,44.9,-1.71,AI半導体,68570-69200,アドバンテスト-レーザーテック
AI半導体 (アドバンテスト-ローム),390,-4.94,-12.94,220.13,-0.44,0.6584,44.4,-0.93,AI半導体,68570-69630,アドバンテスト-ローム
AI半導体 (アドバンテスト-太陽誘電),386,1.28,-6.72,222.91,0.11,0.9105,51.6,-0.48,AI半導体,68570-69760,アドバンテスト-太陽誘電
AI半導体 (アドバンテスト-東京エレクトロン),359,-0.92,-8.92,173.93,-0.1,0.9204,48.7,-0.81,AI半導体,68570-80350,アドバンテスト-東京エレクトロン
AI半導体 (レーザーテック-ローム),391,-6.93,-14.93,204.63,-0.67,0.5041,46.8,-1.16,AI半導体,69200-69630,レーザーテック-ローム
AI半導体 (レーザーテック-太陽誘電),391,-18.18,-26.18,206.19,-1.74,0.0824,47.3,-2.02,AI半導体,69200-69760,レーザーテック-太陽誘電
AI半導体 (レーザーテック-東京エレクトロン),369,-14.54,-22.54,153.42,-1.82,0.0699,45.0,-2.33,AI半導体,69200-80350,レーザーテック-東京エレクトロン
AI半導体 (ローム-太陽誘電),354,14.13,6.13,178.64,1.49,0.1381,52.3,0.54,AI半導体,69630-69760,ローム-太陽誘電
