pub_date,en_date,FrgnBal,IndBal,InvTrBal,TrstBnkBal,PropBal
2025-11-07,2025-10-31,3.71650523,-2.23949046,-3.2882294,1.41519091,-0.80725533
2025-11-13,2025-11-07,-3.21370409,5.19484986,2.63826259,0.76195827,-7.457088
2025-11-20,2025-11-14,5.21885223,-2.45564259,-0.41798997,-5.33746851,3.06720748
2025-11-28,2025-11-21,-4.03243124,1.31485072,-1.19669343,-0.85511901,3.1919326
2025-12-04,2025-11-28,-1.38828994,-4.26982623,0.33755653,0.25140439,3.66073659
2025-12-11,2025-12-05,0.48916475,1.63456839,1.68649897,-2.03973378,-3.43435268
2025-12-18,2025-12-12,2.02055472,-2.68853381,1.37607272,1.29765793,-4.77685061
2025-12-25,2025-12-19,-4.32227807,2.51955658,-0.74963913,-1.77517618,2.50466995
2026-01-06,2025-12-26,-0.37471712,-3.58147946,0.50327531,0.3336054,2.71619974
2026-01-08,2025-12-30,-0.02002089,1.73327563,-0.18183476,0.16964243,-1.94916447
2026-01-16,2026-01-09,12.12766146,-5.5149562,-0.30267878,-0.0440488,-6.87792032
2026-01-22,2026-01-16,7.50493712,-6.40167423,-0.43976512,-2.42243586,3.70923127
2026-01-29,2026-01-23,2.12782519,4.46246434,1.30528659,-4.22565795,-3.96532799
2026-02-05,2026-01-30,1.87026279,7.93592059,-0.93210776,-2.88259689,-8.09636985
2026-02-13,2026-02-06,2.48667393,-4.17040317,-0.55715237,-3.76475634,6.10023052
2026-02-19,2026-02-13,11.91806644,-11.38162022,-1.64455387,-4.33732326,7.31978235
2026-02-27,2026-02-20,5.23389703,5.58485275,-3.01452783,-9.4432361,0.67909594
2026-03-05,2026-02-27,7.45409937,-4.14743641,-3.55135784,-7.52961757,8.99056649
2026-03-12,2026-03-06,2.26130451,8.42566489,-1.88169229,-10.8339666,-1.89329892
2026-03-19,2026-03-13,-4.72897397,4.04898876,-1.11846727,-2.65925116,1.54050071
2026-03-26,2026-03-19,-4.91896033,3.09202366,0.05603495,-0.57807,4.62840545
2026-04-02,2026-03-27,-15.08629733,-0.04516517,3.52895026,-1.01301741,12.74734351
2026-04-09,2026-04-03,19.09324265,-4.50353357,1.00788538,1.43533908,-15.77995048
2026-04-16,2026-04-10,16.35174762,-7.85711849,-1.4915492,-0.54021305,-5.43908078
2026-04-23,2026-04-17,9.84959388,3.34129262,-0.88707287,-1.84577162,-9.55437851
2026-05-01,2026-04-24,8.26535901,1.12359047,-1.030629,-0.04179144,-8.33233723
2026-05-12,2026-05-01,3.88671302,2.70105836,1.33017356,1.15675005,-9.10687117
