hypothesis,horizon,N,gross,net,wr,std,t_stat,sharpe
H2a_MA25-15%超下,5,4427,2.7990483207664196,2.69904832076642,63.65484526767563,8.505623038883716,21.895709657214258,2.2527852642090487
H2a_MA25-15%超下,10,4427,4.879519330327076,4.7795193303270755,67.65303817483624,11.120345999830658,29.19533773933438,2.157576447599278
H13b_シクリカル × MA25-10%超下,10,5947,4.1210070074057565,4.021007007405756,66.20144610728099,10.543571351572687,30.141480537074216,1.9144646822205995
H13b_シクリカル × MA25-10%超下,5,5947,2.0067316090394733,1.906731609039473,60.23204977299479,7.665465797185931,20.18829817835872,1.7659007224077472
H2a_MA25-15%超下,20,4427,6.790201752335487,6.690201752335486,67.85633611926812,14.8810371546205,30.36017274577757,1.5958471276134236
H13b_シクリカル × MA25-10%超下,20,5947,6.8952275120706465,6.795227512070646,67.71481419202959,15.151957523288608,35.09367304733103,1.5919174025112288
H7a_BB-2σ近辺,5,8353,1.4905536555568464,1.3905536555568463,60.60098168322759,6.370644790180547,21.3838285647442,1.549600074699248
H7a_BB-2σ近辺,20,8353,4.409379321548999,4.309379321548999,63.64180533939901,11.275455104837372,35.7408290041926,1.35664405444633
H7a_BB-2σ近辺,10,8353,2.438231459735597,2.338231459735597,60.62492517658327,8.754113726581165,25.455638034341394,1.3408357644738145
H12_52週高値-15%超×MA25-8%超下,10,18339,2.643716039878451,2.5437160398784515,60.6030863187742,9.776976494807636,36.61829003264908,1.3060636059931934
H12_52週高値-15%超×MA25-8%超下,5,18339,1.2579844760001107,1.1579844760001108,57.222313103222646,6.967371054798644,24.45086158113339,1.1799104988770448
H8a_5日-8%超下落(oversold),5,12306,1.3486129410250234,1.2486129410250233,56.79343409718837,7.656624591301305,19.539274052555143,1.1577258917523967
H2b_MA25-15〜-10%,10,7856,2.208984351170835,2.108984351170835,59.521384928716905,9.598303784110474,20.398530656196957,1.1030092042710233
H8a_5日-8%超下落(oversold),20,12306,4.293447437771331,4.193447437771329,61.376564277588166,13.597146079374129,35.02812109724711,1.0947342683501617
H8a_5日-8%超下落(oversold),10,12306,2.3441395129730958,2.2441395129730957,57.64667641800748,10.350285303289457,25.12404656289147,1.0884232286081144
H12_52週高値-15%超×MA25-8%超下,20,18339,4.033061889707967,3.9330618897079663,60.39042477779596,13.692687255240363,39.88724336492231,1.0195942183288733
H2b_MA25-15〜-10%,20,7856,3.6854167062573597,3.5854167062573596,58.770366598778004,13.811331040487175,23.651124961139832,0.9214873451818401
