hypothesis,scale,horizon,N,gross,net,wr,t_stat,pf,sharpe
H1a_MA25<-15%,TOPIX500,5,2718,3.228392164268174,3.1283921642681736,66.96100073583517,21.242610420544594,2.8251634833103183,2.8030660497494075
H1b_MA25<-10%,TOPIX500,5,8384,1.8868881479780417,1.7868881479780419,62.11832061068703,25.321060527354938,2.0460757914149728,1.859185555043297
H1c_MA25 -10〜-5%,TOPIX500,5,23332,0.6009585762191852,0.5009585762191853,56.21464083661923,18.546410194385057,1.3346138598554917,0.7185490572205937
H2a_20d下落<-20%,TOPIX500,5,2929,3.0218313547025297,2.9218313547025296,66.64390576988734,22.240941249651513,2.9178641659334654,2.820938820187484
H2b_20d下落<-10%,TOPIX500,5,19828,1.2925634337654606,1.1925634337654605,59.421020778696786,31.636208207772714,1.7976716750786021,1.4716002788174998
H3a_20d上昇>+20%,TOPIX500,5,8606,0.195346938814607,0.09534693881460717,48.01301417615617,2.7028741305785937,1.0410590106146655,0.10095795925201448
H3b_20d上昇>+10%,TOPIX500,5,37953,0.24798948618150055,0.1479894861815006,49.90119358153506,8.94242451605154,1.0815672525234112,0.19446663057068755
H4a_BB<-1.8σ,TOPIX500,5,3967,1.7947473827455442,1.6947473827455442,63.62490547012855,18.22522491298949,2.18014297547612,1.9398078287280849
H4b_BB<-1.5σ,TOPIX500,5,7098,1.324085084536041,1.224085084536041,60.946745562130175,18.97500761543788,1.8262569767965895,1.4781719006876752
H5_52週高値×vol≥1.5x,TOPIX500,5,3215,0.19349639152436,0.09349639152436008,50.07776049766719,2.047450735118447,1.0496956283835048,0.12386831209282671
H6_5MA>25MA,TOPIX500,5,7755,0.34135127527170184,0.24135127527170186,51.06382978723404,7.00257267811233,1.1717446238653424,0.39914441823875474
H7a_5d<-8%,TOPIX500,5,8321,1.5263310779149657,1.426331077914966,59.2116332171614,19.718858366462598,1.7372626095995125,1.4341047451968991
H7b_5d>+10%,TOPIX500,5,7268,0.8369660903664017,0.7369660903664018,53.150798018712166,10.83741679100743,1.3756747634368016,0.7946451321687874
H8a_vol≥2.0x×陰線,TOPIX500,5,5636,1.0028302342941702,0.9028302342941702,56.52945351312988,13.761943498652647,1.61963535291354,1.1716238989777372
H8b_vol≥1.5x×陰線,TOPIX500,5,12982,0.7667177820673134,0.6667177820673136,55.014635649360656,16.40146264331441,1.4387012745096153,0.8886557341985916
H9a_MA25 -5〜0%,TOPIX500,5,85515,0.32603271869773176,0.22603271869773175,53.832660936677776,22.738000785527905,1.168794304899636,0.38269828728147176
