date,code,side,gap_pct,entry,exit,close,high,low,stopped,ret_pct,pnl
2016-05-12,57060,1,-3.878602503515642,177.0,184.0,184.0,185.0,172.0,False,3.878602503515645,0.03718602503515645
2016-05-16,57060,-1,1.6172859245600968,187.0,190.0,190.0,192.0,184.0,False,-1.5915455305899582,-0.017515455305899583
2016-05-17,57060,-1,2.5975486403260737,195.0,195.0,195.0,197.0,191.0,False,-0.0,-0.0016
2016-05-25,57060,-1,2.0726130517116954,195.0,192.0,192.0,196.0,191.0,False,1.5504186535965199,0.013904186535965198
2016-05-30,57060,-1,1.5915455305899582,190.0,189.0,189.0,192.0,187.0,False,0.5277057100843782,0.0036770571008437813
2016-06-06,57060,1,-2.185879381249907,181.0,188.0,188.0,189.0,180.0,False,3.794493156412347,0.036344931564123474
2016-06-07,57060,-1,1.5831465216680662,191.0,194.0,194.0,196.0,191.0,False,-1.558473101669833,-0.01718473101669833
2016-06-13,57060,1,-1.5915455305899568,187.0,187.0,187.0,190.0,185.0,False,0.0,-0.0016
2016-06-15,57060,1,-1.6172859245600957,184.0,185.0,185.0,189.0,182.0,False,0.5420067469339114,0.0038200674693391135
2016-06-20,57060,-1,2.127739844728488,190.0,195.0,195.0,199.0,188.0,False,-2.5975486403260737,-0.027575486403260737
2016-06-21,57060,1,-1.5504186535965199,192.0,195.0,195.0,195.0,191.0,False,1.5504186535965254,0.013904186535965254
2016-06-28,57060,1,-1.7910926566530219,166.0,168.0,168.0,170.0,162.0,False,1.197619104671562,0.010376191046715619
2016-06-29,57060,-1,4.08219945202552,175.0,169.0,169.0,175.0,168.0,False,3.488725900044055,0.03328725900044055
2016-06-30,57060,-1,1.759576189037966,172.0,169.0,169.0,173.0,168.0,False,1.7595761890379602,0.0159957618903796
2016-07-06,57060,1,-2.849195579430616,173.0,171.0,171.0,175.0,169.0,False,-1.1628037995119098,-0.0132280379951191
2016-07-11,57060,-1,2.8491955794306243,178.0,186.0,186.0,188.0,176.0,False,-4.396312342111621,-0.0455631234211162
2016-07-13,57060,-1,3.5809452696710777,199.0,201.0,201.0,202.0,192.0,False,-1.0000083334583398,-0.0116000833345834
2016-07-14,57060,1,-2.0101179321087264,197.0,202.0,202.0,202.0,195.0,False,2.506396866321622,0.02346396866321622
2016-07-19,57060,1,-1.503787736454056,198.0,205.0,205.0,205.0,198.0,False,3.4742948443872836,0.03314294844387284
2016-07-21,57060,-1,2.0000666706669437,202.0,198.0,198.0,203.0,195.0,False,2.0000666706669543,0.018400666706669542
2016-07-22,57060,1,-1.526747213078842,195.0,197.0,197.0,200.0,194.0,False,1.020417017424167,0.008604170174241667
2016-07-25,57060,-1,2.0101179321087304,201.0,195.0,195.0,201.0,194.0,False,3.030534949532892,0.028705349495328922
2016-07-27,57060,-1,1.5424470325631732,196.0,199.0,199.0,201.0,194.0,False,-1.5190165493975238,-0.01679016549397524
2016-07-28,57060,1,-1.519016549397512,196.0,197.0,197.0,200.0,195.0,False,0.5089069507471228,0.0034890695074712283
2016-08-02,57060,1,-1.5504186535965199,192.0,191.0,191.0,194.0,190.0,False,-0.5221943981151712,-0.006821943981151712
2016-08-03,57060,1,-2.116481119204327,187.0,182.0,182.0,188.0,181.0,False,-2.7101929777791267,-0.02870192977779127
2016-08-08,57060,-1,2.666824708216127,190.0,195.0,195.0,195.0,188.0,False,-2.5975486403260737,-0.027575486403260737
2016-08-09,57060,1,-1.5504186535965199,192.0,198.0,198.0,198.0,191.0,False,3.0771658666753687,0.029171658666753687
2016-08-10,57060,-1,4.4451762570833795,207.0,203.0,203.0,209.0,202.0,False,1.9512814223581716,0.017912814223581715
2016-08-17,57060,1,-1.526747213078842,195.0,204.0,204.0,204.0,195.0,False,4.512043528046964,0.043520435280469644
2016-08-22,57060,-1,1.9139340210697506,211.0,211.0,211.0,213.0,207.0,False,-0.0,-0.0016
2016-08-29,57060,-1,2.0000666706669437,202.0,203.0,203.0,205.0,201.0,False,-0.4938281640582577,-0.0065382816405825765
2016-09-26,57060,1,-1.9048194970694474,208.0,207.0,207.0,209.0,206.0,False,-0.4819286435948883,-0.006419286435948883
2016-09-30,57060,1,-1.869213301215252,212.0,210.0,210.0,214.0,210.0,False,-0.947874395454377,-0.01107874395454377
2016-10-03,57060,-1,2.8170876966696223,216.0,219.0,219.0,221.0,213.0,False,-1.379332213233577,-0.01539332213233577
2016-10-07,57060,-1,2.6550232094120965,229.0,229.0,229.0,233.0,227.0,False,-0.0,-0.0016
2016-10-12,57060,1,-2.597548640326068,228.0,228.0,228.0,230.0,227.0,False,0.0,-0.0016
2016-10-31,57060,1,-1.694955831377332,234.0,234.0,234.0,235.0,232.0,False,0.0,-0.0016
2016-11-02,57060,1,-1.731645001146093,229.0,230.0,230.0,231.0,226.0,False,0.4357305368955626,0.0027573053689556263
2016-11-09,57060,1,-1.7021687569430635,233.0,213.0,213.0,233.0,208.0,False,-8.97462878562754,-0.09134628785627541
2016-11-10,57060,-1,6.365785177197762,227.0,228.0,228.0,228.0,222.0,False,-0.4395611473038129,-0.005995611473038129
2016-11-11,57060,-1,2.5975486403260737,234.0,240.0,240.0,244.0,233.0,False,-2.5317807984289784,-0.026917807984289787
2016-11-16,57060,-1,2.8057952795157526,253.0,246.0,246.0,253.0,246.0,False,2.8057952795157384,0.02645795279515738
2016-11-17,57060,1,-1.6393809775676382,242.0,237.0,237.0,242.0,236.0,False,-2.0877585021555256,-0.022477585021555255
2016-11-18,57060,-1,2.087758502155518,242.0,240.0,240.0,242.0,239.0,False,0.8298802814695065,0.006698802814695066
2016-11-24,57060,-1,2.3905520853554387,254.0,257.0,257.0,258.0,253.0,False,-1.1741817876683194,-0.013341817876683195
2016-12-01,57060,-1,2.5975486403260737,273.0,272.0,272.0,275.0,271.0,False,0.3669728888962402,0.002069728888962402
2016-12-06,57060,-1,1.7153079226249492,294.0,305.0,305.0,307.0,293.0,False,-3.6732009268729944,-0.03833200926872994
2016-12-09,57060,-1,1.9169916107720124,316.0,317.0,317.0,319.0,312.0,False,-0.31595602903685177,-0.004759560290368518
