year,N_days,N,mu%,Sharpe,WR%,PF,Cum%,DD%
2016,100,100,-0.0828,-0.7,46.0,0.88,-8.3,-17.6
2017,115,115,-0.1178,-1.25,43.5,0.82,-13.5,-29.4
2018,136,136,-0.2313,-2.37,39.0,0.68,-31.5,-39.5
2019,129,129,-0.0348,-0.37,52.7,0.94,-4.5,-21.2
2020,158,158,-0.0219,-0.2,51.3,0.97,-3.5,-29.4
2021,143,143,-0.249,-2.47,44.1,0.66,-35.6,-37.8
2022,155,155,-0.1936,-1.83,49.7,0.73,-30.0,-31.6
2023,102,102,-0.3855,-4.76,37.3,0.46,-39.3,-37.7
2024,157,157,-0.1873,-1.36,44.6,0.8,-29.4,-43.4
2025,188,188,-0.2101,-1.52,45.2,0.78,-39.5,-44.8
2026,85,85,0.0655,0.33,41.2,1.06,5.6,-22.8
