strat,code,name,N,days,tpd,mu%,sd%,Sharpe,WR%,PF,Cum%,DD%
ORB(15min),57060,三井金属,231,231,1.0,-0.1216026628270184,2.4061859090705733,-0.79,48.1,0.87,-28.1,-68.9
GapFade(1.5%),57060,三井金属,43,43,1.0,0.026902059767974166,2.7115592568199123,0.16,48.8,1.03,1.2,-14.0
VWAP_MR(1.5σ),57060,三井金属,902,277,3.26,-0.18779575425294773,1.0961778229829158,-4.84,56.3,0.52,-169.4,-172.8
ORB(15min),57110,三菱マテリアル,249,249,1.0,-0.10385626496537781,1.3363593262793139,-1.22,46.2,0.8,-25.9,-34.9
GapFade(1.5%),57110,三菱マテリアル,31,31,1.0,0.2020582459573508,2.089661642504604,1.51,48.4,1.27,6.3,-9.4
VWAP_MR(1.5σ),57110,三菱マテリアル,940,277,3.39,-0.17111753860906326,0.6379624548080922,-7.73,39.4,0.32,-160.9,-161.9
ORB(15min),57130,住友金属鉱山,235,235,1.0,-0.11525563837989324,1.9907780701410904,-0.91,46.4,0.85,-27.1,-45.1
GapFade(1.5%),57130,住友金属鉱山,42,42,1.0,0.3199794762686164,2.9756497725523174,1.68,52.4,1.36,13.4,-8.7
VWAP_MR(1.5σ),57130,住友金属鉱山,882,277,3.18,-0.20477758939305993,0.9234629606252909,-6.19,50.7,0.41,-180.6,-185.6
ORB(15min),57140,DOWA HD,202,202,1.0,-0.06888495105859609,1.448203043719646,-0.74,46.5,0.88,-13.9,-24.1
GapFade(1.5%),57140,DOWA HD,28,28,1.0,0.05030885790577124,2.297928234662832,0.34,57.1,1.07,1.4,-8.8
VWAP_MR(1.5σ),57140,DOWA HD,810,277,2.92,-0.1654695492187966,0.7209237892828058,-6.14,47.5,0.41,-134.0,-137.0
ORB(15min),50160,JX金属,236,236,1.0,-0.1627626928255762,2.3312541762608987,-1.09,44.9,0.82,-38.4,-48.0
GapFade(1.5%),50160,JX金属,32,32,1.0,0.39307449283952584,3.5378372140758785,1.74,56.2,1.33,12.6,-11.9
VWAP_MR(1.5σ),50160,JX金属,914,275,3.32,-0.19763709743603677,1.2332837468753004,-4.57,57.0,0.52,-180.6,-184.7
ORB(15min),58010,古河電工,228,228,1.0,-0.13429992611784686,2.621674130396164,-0.8,50.9,0.87,-30.6,-62.2
GapFade(1.5%),58010,古河電工,43,43,1.0,0.7011455401354729,3.4130168494952153,3.22,58.1,1.69,30.1,-17.3
VWAP_MR(1.5σ),58010,古河電工,894,277,3.23,-0.1604442355156359,1.4092663612280647,-3.2,64.9,0.64,-143.4,-153.3
ORB(15min),58020,住友電工,230,230,1.0,-0.05465699598075425,2.2347045365981644,-0.38,44.8,0.93,-12.6,-38.4
GapFade(1.5%),58020,住友電工,26,26,1.0,1.3939425149888247,3.0853563847892884,7.07,65.4,4.57,36.2,-4.0
VWAP_MR(1.5σ),58020,住友電工,875,277,3.16,-0.2660482235152654,1.0722839863481795,-6.9,51.2,0.35,-232.8,-235.8
ORB(15min),58030,フジクラ,232,232,1.0,0.003100771674846701,3.074760442215389,0.02,53.0,1.0,0.7,-44.0
GapFade(1.5%),58030,フジクラ,45,45,1.0,0.692749114213726,3.383727873591268,3.2,53.3,1.71,31.2,-13.6
VWAP_MR(1.5σ),58030,フジクラ,869,275,3.16,-0.2587169348972755,1.4647182391279918,-4.91,61.1,0.45,-224.8,-233.9
