date,code,side,entry,exit,entry_ts,exit_ts,pnl,entry_z,exit_z
2025-04-01,58020,1,2428.0,2405.0,2025-04-01 10:00:00,2025-04-01 15:24:00,-0.01111796963952733,,
2025-04-02,58020,1,2394.0,2413.0,2025-04-02 10:00:00,2025-04-02 10:21:00,0.006305179507113247,-4.832943103725904,0.024795894371730066
2025-04-02,58020,-1,2426.0,2416.0,2025-04-02 10:45:00,2025-04-02 12:37:00,0.0025305304492898324,1.7615527089386975,0.23147294873578306
2025-04-02,58020,-1,2420.5,2415.0,2025-04-02 12:41:00,2025-04-02 12:46:00,0.0006748432930759353,1.885641923844202,-0.16016796931976196
2025-04-02,58020,-1,2420.5,2415.5,2025-04-02 12:53:00,2025-04-02 13:04:00,0.00046782538528768376,1.8152082744649822,-0.028845242220762533
2025-04-02,58020,-1,2419.5,2417.0,2025-04-02 13:10:00,2025-04-02 15:19:00,-0.0005661944701097685,2.0048904196895765,-0.09702585909228587
2025-04-03,58020,-1,2291.0,2282.5,2025-04-03 10:09:00,2025-04-03 10:16:00,0.002117069984371978,1.6447937919826756,0.17322509962522867
2025-04-03,58020,1,2269.5,2278.0,2025-04-03 10:27:00,2025-04-03 10:50:00,0.0021383221106071578,-1.8052340552887003,-0.27441892084453756
2025-04-03,58020,1,2273.5,2263.5,2025-04-03 12:36:00,2025-04-03 15:24:00,-0.006008206389051977,,
2025-04-04,58020,1,2128.5,2086.0,2025-04-04 10:00:00,2025-04-04 15:24:00,-0.021769149707489277,,
2025-04-07,58020,-1,1789.0,1749.0,2025-04-07 10:00:00,2025-04-07 14:48:00,0.021012608490117126,4.0362083936637445,0.2397000367386911
2025-04-07,58020,-1,1765.0,1745.5,2025-04-07 14:51:00,2025-04-07 15:11:00,0.009509642822306468,1.809567105732192,-0.2277401658137008
2025-04-08,58020,1,1951.0,1959.0,2025-04-08 10:30:00,2025-04-08 10:36:00,0.0024920773214295302,-1.6398085859183436,0.07613943337926404
2025-04-08,58020,-1,1967.5,2003.5,2025-04-08 10:38:00,2025-04-08 15:24:00,-0.019731949784640934,,
2025-04-09,58020,-1,1879.5,1865.5,2025-04-09 10:00:00,2025-04-09 10:14:00,0.00587667034302014,3.6636907417906834,-0.09892501392954194
2025-04-09,58020,-1,1880.0,1867.0,2025-04-09 10:15:00,2025-04-09 10:23:00,0.005338912282272244,3.733228687250219,0.14336191919313995
2025-04-09,58020,-1,1874.5,1876.0,2025-04-09 10:39:00,2025-04-09 12:52:00,-0.0023998933902032635,1.6657380494250373,0.2693435983315232
2025-04-09,58020,-1,1883.0,1873.0,2025-04-09 13:01:00,2025-04-09 13:11:00,0.0037248262130639472,1.6630513317116125,0.017568451848399603
2025-04-09,58020,1,1863.0,1869.0,2025-04-09 13:17:00,2025-04-09 13:37:00,0.0016154368539743928,-2.173714293764082,-0.2831737468053008
2025-04-09,58020,1,1857.0,1870.5,2025-04-09 13:41:00,2025-04-09 13:48:00,0.005643492435495104,-1.6157117826022318,-0.11554948849105466
2025-04-09,58020,1,1860.0,1868.5,2025-04-09 13:55:00,2025-04-09 14:15:00,0.0029594822182917174,-1.5644455177865182,-0.28399529043441635
2025-04-09,58020,1,1859.5,1869.0,2025-04-09 14:31:00,2025-04-09 15:00:00,0.0034958940904381763,-2.0405742727111984,-0.08303884254657354
2025-04-09,58020,-1,1881.5,1870.0,2025-04-09 15:12:00,2025-04-09 15:23:00,0.004530900184859632,1.6666027759641568,0.0030318864223210402
2025-04-10,58020,1,2121.0,2143.0,2025-04-10 10:00:00,2025-04-10 14:57:00,0.00871904090889463,-4.823353263281697,-0.10388806787770123
2025-04-10,58020,1,2135.5,2144.0,2025-04-10 15:05:00,2025-04-10 15:15:00,0.0023724319091713757,-1.7029828531730544,0.1767671098069521
2025-04-10,58020,1,2139.5,2139.5,2025-04-10 15:22:00,2025-04-10 15:24:00,-0.0016,,
2025-04-11,58020,-1,1983.0,2046.0,2025-04-11 10:00:00,2025-04-11 15:24:00,-0.0328758179917759,,
2025-04-14,58020,1,2069.0,2071.5,2025-04-14 10:09:00,2025-04-14 11:10:00,-0.000392416228086631,-1.7199181027546742,-0.2695547876390894
2025-04-14,58020,-1,2085.0,2074.5,2025-04-14 11:16:00,2025-04-14 12:33:00,0.0034486944599792227,1.6166226199426046,0.060912934940758216
2025-04-14,58020,1,2068.5,2040.0,2025-04-14 13:00:00,2025-04-14 15:24:00,-0.015473899063204146,,
2025-04-15,58020,-1,2169.0,2159.0,2025-04-15 10:02:00,2025-04-15 11:28:00,0.0030210803120670083,1.772765576296645,0.247783673608065
2025-04-15,58020,1,2151.0,2157.0,2025-04-15 12:50:00,2025-04-15 13:18:00,0.0011855171214262266,-1.9711384763682325,-0.13410800043882606
2025-04-15,58020,1,2153.5,2157.5,2025-04-15 13:26:00,2025-04-15 13:37:00,0.0002557184634178415,-1.5801787616455747,0.1322252288388686
2025-04-15,58020,1,2153.0,2157.5,2025-04-15 13:47:00,2025-04-15 14:01:00,0.00048792559322007934,-2.20678051033331,0.19664378832840268
2025-04-15,58020,1,2153.5,2151.5,2025-04-15 14:05:00,2025-04-15 15:24:00,-0.002529152215510994,,
2025-04-16,58020,1,2095.0,2104.5,2025-04-16 10:00:00,2025-04-16 10:25:00,0.0029243558543873205,-3.779347048112066,-0.292135151153287
2025-04-16,58020,1,2097.0,2062.0,2025-04-16 10:41:00,2025-04-16 15:24:00,-0.018431366325014742,,
2025-04-17,58020,1,2057.0,2060.5,2025-04-17 10:10:00,2025-04-17 10:23:00,0.00010006112591489941,-1.782727297705714,-0.2976342659714239
2025-04-17,58020,1,2057.0,2062.0,2025-04-17 10:29:00,2025-04-17 10:38:00,0.0008277749239481364,-1.7200508336549756,0.17674129355694104
2025-04-17,58020,-1,2063.5,2063.5,2025-04-17 11:01:00,2025-04-17 12:41:00,-0.0016,2.0114678386445104,0.17200654191655965
2025-04-17,58020,-1,2072.0,2064.5,2025-04-17 12:57:00,2025-04-17 14:09:00,0.002026258053228703,2.2877933644129773,0.18935361905448353
2025-04-17,58020,-1,2068.0,2080.0,2025-04-17 14:29:00,2025-04-17 15:24:00,-0.007385937067043926,,
2025-04-18,58020,-1,2064.0,2061.0,2025-04-18 10:11:00,2025-04-18 10:19:00,-0.0001454542890056761,1.644799671285133,0.0637846049205391
2025-04-18,58020,1,2058.5,2060.5,2025-04-18 10:20:00,2025-04-18 10:23:00,-0.0006288904310873957,-1.721444121442589,-0.2642609859748099
2025-04-18,58020,1,2057.0,2059.5,2025-04-18 10:28:00,2025-04-18 11:03:00,-0.0003853757768218129,-2.3065103822170756,-0.1639886624165805
2025-04-18,58020,1,2058.5,2060.0,2025-04-18 12:32:00,2025-04-18 12:36:00,-0.0008715794263327131,-1.5149998341511612,0.22437345479998805
