date,miner_long,miner_short,pnl_miner,wire_long,wire_short,pnl_wire,pnl_total
2025-04-01,57140,57130,0.00022887209680861643,58010,58030,-0.00014428182158682246,4.229513761089699e-05
2025-04-02,57140,50160,-0.008399156571654682,58010,58020,0.0032181436201959403,-0.0025905064757293706
2025-04-03,50160,57140,0.001149209770400378,58020,58010,-0.0015252319702505897,-0.00018801109992510581
2025-04-04,57140,57130,0.003532957844438602,58020,58030,-0.002862088850081463,0.0003354344971785695
2025-04-07,57060,50160,0.006353597973854824,58020,58030,0.00010328878326306204,0.003228443378558943
2025-04-08,57110,57130,-0.003848141547835228,,,,-0.001924070773917614
2025-04-09,50160,57060,-0.00483300422969677,58020,58030,-0.01560887330637594,-0.010220938768036356
2025-04-10,57060,57130,-0.003743808553201554,,,,-0.001871904276600777
2025-04-11,57140,57110,-0.0036395990938280585,58020,58010,0.0013679648910740524,-0.001135817101377003
2025-04-14,57130,50160,0.0061243831098316825,58020,58010,-0.009673869985971709,-0.001774743438070013
2025-04-15,57130,57110,-0.006651523955455997,58020,58010,0.002469919946892726,-0.0020908020042816355
2025-04-16,50160,57140,-0.0028264145538439327,58030,58020,-0.008559952527480395,-0.005693183540662164
2025-04-17,57110,50160,-5.513998008798869e-05,58030,58010,-0.005285310385110535,-0.002670225182599262
2025-04-18,57130,50160,0.0012672585678237874,58030,58020,-0.0005524190502486652,0.0003574197587875611
2025-04-21,57060,50160,0.0018888284756942183,58010,58020,-0.0051544463196985055,-0.0016328089220021436
2025-04-22,57130,50160,0.0012446442259031508,58010,58030,0.0016376018432867905,0.0014411230345949707
2025-04-23,50160,57140,-0.003092711540620763,58010,58020,-0.005018313098089408,-0.004055512319355086
2025-04-24,57130,57140,-0.01060796211003619,58020,58030,-0.014960029134188693,-0.01278399562211244
2025-04-25,57060,50160,-0.0023201054752663365,58030,58010,-1.6448404965641386e-05,-0.001168276940115989
2025-04-28,57110,50160,-0.0004965717205928765,58020,58010,-0.005233206223530136,-0.0028648889720615063
2025-04-30,57060,50160,-0.001039022358164427,58030,58020,-0.003975010449618925,-0.002507016403891676
2025-05-01,57140,50160,-0.0026467765229913677,58020,58010,-0.0008019033672787335,-0.0017243399451350506
2025-05-02,57110,50160,-0.010048550163562037,58030,58010,-0.005281143389477024,-0.00766484677651953
2025-05-07,50160,57130,0.0021747510718245905,58030,58020,0.0024903326440535393,0.002332541857939065
2025-05-08,57130,50160,0.0004096949436263116,58010,58020,0.0022358928169416026,0.0013227938802839571
