pair,name,entry_z,exit_z,N,N_days,trades/day,mean_%/trade,Sharpe,Winrate_%,PF,Cum_%,MaxDD_%
57140-58030,DOWA HD/フジクラ,2.5,0.0,162,162,1.0,0.06213973922280099,0.7430442779708208,45.06172839506173,1.1824461675301663,10.066637754093751,-19.97885876996711
50160-58030,JX金属/フジクラ,2.5,0.0,159,159,1.0,0.03487383358766386,0.39350956363672507,44.65408805031446,1.0895349932217482,5.544939540438561,-16.742654904430417
57140-58030,DOWA HD/フジクラ,3.0,0.0,147,147,1.0,0.030106700444306432,0.370952852434905,44.21768707482993,1.0918358820469496,4.42568496531305,-16.599662065890755
50160-58030,JX金属/フジクラ,3.0,0.0,136,136,1.0,0.02728770107884871,0.3339680448692535,49.26470588235294,1.0758667990253987,3.711127346723423,-18.070273884902885
58020-58030,住友電工/フジクラ,2.5,0.0,189,189,1.0,-0.0005338250156090741,-0.00649563602641585,39.682539682539684,0.9983799944914032,-0.10089292795011538,-21.319771114405114
57060-58030,三井金属/フジクラ,3.0,0.0,145,145,1.0,-0.006559381547452964,-0.08181054230302924,48.96551724137931,0.9830946998457134,-0.9511103243806763,-12.216860412878281
57060-58030,三井金属/フジクラ,2.5,0.0,175,175,1.0,-0.008812953694637393,-0.11299787635895898,48.0,0.9763746859092876,-1.542266896561542,-15.710342514235762
58010-58020,古河電工/住友電工,2.5,0.0,198,198,1.0,-0.011338859981614647,-0.16022636766418138,45.95959595959596,0.9676223174818576,-2.2450942763597,-22.199912566456817
50160-58030,JX金属/フジクラ,3.0,0.5,152,136,1.12,-0.016490748412528348,-0.2558369879717936,51.973684210526315,0.9477524666554098,-2.5065937587043075,-16.47849971962044
57110-58030,三菱マテリアル/フジクラ,3.0,0.0,144,144,1.0,-0.036429950394698755,-0.5436894679720707,41.66666666666667,0.8947133846934819,-5.245912856836618,-18.7525431772322
57140-58030,DOWA HD/フジクラ,2.0,0.5,270,185,1.46,-0.031862393986826845,-0.6181314428753681,47.40740740740741,0.8863507137468102,-8.60284637644325,-31.097487659492383
57140-58030,DOWA HD/フジクラ,2.5,0.5,199,162,1.23,-0.044014431832373135,-0.7047602520555455,44.72361809045226,0.8611474007030928,-8.758871934642249,-28.70609984431562
57060-50160,三井金属/JX金属,3.0,0.5,157,130,1.21,-0.031875663667733825,-0.7116957735546635,51.59235668789809,0.8935174398085167,-5.004479195834209,-10.613054962773681
58010-58020,古河電工/住友電工,3.0,0.0,162,162,1.0,-0.05444344776271464,-0.7273282901026925,43.82716049382716,0.8564584732875894,-8.819838537559779,-28.50723219975736
50160-58030,JX金属/フジクラ,2.5,0.5,200,159,1.26,-0.0446170692301341,-0.8049459564520456,51.0,0.8522776247291215,-8.92341384602682,-23.014792773856712
57140-58030,DOWA HD/フジクラ,3.0,0.5,162,147,1.1,-0.058045361923244936,-0.8537270671006085,45.06172839506173,0.8246634631881328,-9.403348631565683,-27.85797360710266
50160-58030,JX金属/フジクラ,2.0,0.5,264,177,1.49,-0.05414410044079143,-1.1432623182346249,53.78787878787878,0.8113787176449149,-14.294042516368938,-30.388188361614137
58010-58020,古河電工/住友電工,2.5,0.5,270,198,1.36,-0.055662496132193574,-1.2514828769211617,51.85185185185185,0.8028070804513118,-15.028873955692266,-32.746111184646445
57060-50160,三井金属/JX金属,3.0,0.0,130,130,1.0,-0.07425557683351322,-1.313420950426469,42.30769230769231,0.7953005656927196,-9.653224988356717,-12.799929694458854
57140-58010,DOWA HD/古河電工,2.0,0.5,247,178,1.39,-0.07630373257634548,-1.3682404022274706,54.25101214574899,0.7648308188975657,-18.84702194635733,-29.265818204730426
57110-58030,三菱マテリアル/フジクラ,2.5,0.0,162,162,1.0,-0.10756699903568522,-1.3839148717447243,39.50617283950617,0.7335632612369694,-17.425853843780992,-29.78685634719046
57060-58030,三井金属/フジクラ,3.0,0.5,175,145,1.21,-0.08532404053626297,-1.3951735600067183,52.0,0.7660855732985031,-14.93170709384602,-18.1435325899448
57140-58010,DOWA HD/古河電工,3.0,0.0,132,132,1.0,-0.11763853065339422,-1.6260191453539499,50.0,0.7246124010265795,-15.528286046248049,-18.919574421969546
58010-58020,古河電工/住友電工,3.0,0.5,198,162,1.22,-0.08621220590558586,-1.6649883765671292,48.98989898989899,0.7341060766843571,-17.070016769305997,-32.58218512505031
57110-58010,三菱マテリアル/古河電工,3.0,0.5,174,150,1.16,-0.09820680044912936,-1.6684911824523099,47.12643678160919,0.7196873985786616,-17.087983278148506,-26.87035664008672
57110-58010,三菱マテリアル/古河電工,2.0,0.5,299,198,1.51,-0.07929743220418516,-1.7438024632351299,52.508361204013376,0.7327903013825497,-23.709932229051383,-34.92652519330152
57060-58030,三井金属/フジクラ,2.5,0.5,231,175,1.32,-0.09727016573319018,-1.8220218823095882,53.246753246753244,0.708456204964255,-22.469408284366935,-26.17509994034279
58010-58030,古河電工/フジクラ,2.5,0.0,184,184,1.0,-0.170457958926462,-1.8410063324012593,43.47826086956522,0.6228213379312137,-31.364264442469008,-48.81730482204028
58020-58030,住友電工/フジクラ,2.5,0.5,245,189,1.3,-0.10652047594762143,-1.8844592493332637,42.44897959183673,0.658410909088073,-26.097516607167204,-30.72495519906037
58010-58030,古河電工/フジクラ,3.0,0.0,152,152,1.0,-0.16731506895642229,-1.9014347194116843,39.473684210526315,0.6089580664931052,-25.43189048137619,-42.60115132303175
57140-50160,DOWA HD/JX金属,2.5,0.0,165,165,1.0,-0.0945372656498117,-1.9156203064131716,40.60606060606061,0.7099691472725109,-15.598648832218926,-21.54571626343692
50160-58020,JX金属/住友電工,2.5,0.0,155,155,1.0,-0.12395323198304214,-1.9404463815053565,45.806451612903224,0.6999401259488454,-19.212750957371533,-25.976281431628596
57060-50160,三井金属/JX金属,2.0,0.5,268,169,1.59,-0.06998450858349904,-1.9862478536268513,54.1044776119403,0.7532676790077915,-18.755848300377735,-20.011620936533998
57060-50160,三井金属/JX金属,2.5,0.0,144,144,1.0,-0.11834006834332286,-2.012918379479214,39.58333333333333,0.7038116451665323,-17.040969841438496,-17.055283079836027
57140-58010,DOWA HD/古河電工,3.0,0.5,148,132,1.12,-0.12847230152355923,-2.026463820044842,48.64864864864865,0.6700922677903969,-19.013900625486777,-21.55854076131639
57130-58030,住友金属鉱山/フジクラ,3.0,0.0,152,152,1.0,-0.159662565408671,-2.0344181557474488,34.21052631578947,0.6278136795930255,-24.26870994211799,-40.55659682810477
57110-58010,三菱マテリアル/古河電工,3.0,0.0,150,150,1.0,-0.14580762740693526,-2.044542724670207,42.66666666666667,0.6662178737901217,-21.87114411104026,-29.905185913489813
57110-58010,三菱マテリアル/古河電工,2.5,0.5,215,169,1.27,-0.1191325365922774,-2.1546114800290477,50.697674418604656,0.6644676289531714,-25.61349536733965,-33.70690161388839
57130-58030,住友金属鉱山/フジクラ,2.5,0.0,177,177,1.0,-0.17296742326996759,-2.164046268511579,37.85310734463277,0.6229912971132374,-30.615233918784256,-49.244449683612956
57140-58010,DOWA HD/古河電工,2.5,0.0,155,155,1.0,-0.16714321048348538,-2.2490012625151587,46.45161290322581,0.630212892640711,-25.90719762494024,-28.112837823533404
57140-50160,DOWA HD/JX金属,3.0,0.0,140,140,1.0,-0.11373533952283275,-2.262894320292701,37.142857142857146,0.6597645031280398,-15.922947533196584,-19.78781158334621
58020-58030,住友電工/フジクラ,2.0,0.5,314,217,1.45,-0.11187324631169433,-2.2889640343431914,49.044585987261144,0.6261679059824667,-35.12819934187205,-39.15982663545224
57130-58030,住友金属鉱山/フジクラ,3.0,0.5,183,152,1.2,-0.1400119241915144,-2.3412369898280696,39.34426229508197,0.6261362562093331,-25.62218212704715,-38.72179746497713
58010-58030,古河電工/フジクラ,2.5,0.5,240,184,1.3,-0.13983186997955865,-2.343754039202915,45.83333333333333,0.591019739260251,-33.55964879509407,-47.45326761003794
57060-50160,三井金属/JX金属,2.5,0.5,188,144,1.31,-0.10056773433927096,-2.4063237073260044,50.53191489361703,0.6835835075997823,-18.90673405578294,-19.905463111354383
58010-58020,古河電工/住友電工,2.0,0.5,342,220,1.55,-0.09453043879364428,-2.4106827746851827,51.461988304093566,0.662941535447358,-32.32941006742634,-46.4166836712677
57140-58010,DOWA HD/古河電工,2.5,0.5,190,155,1.23,-0.13858205261156617,-2.4325902504938828,48.94736842105264,0.6249159197507735,-26.330589996197578,-28.369578833449154
58020-58030,住友電工/フジクラ,3.0,0.0,167,167,1.0,-0.14959022914183193,-2.532711911201549,32.93413173652694,0.5823172526388352,-24.981568266685944,-25.60692097434677
57110-58010,三菱マテリアル/古河電工,2.5,0.0,169,169,1.0,-0.19804481231159543,-2.6000055833952764,43.786982248520715,0.5916638777366334,-33.46957328065964,-42.47507634909246
58010-58030,古河電工/フジクラ,3.0,0.5,181,152,1.19,-0.18241168649583153,-2.642325019732979,41.988950276243095,0.5235988815301871,-33.016515255745524,-46.66240931224054
50160-58020,JX金属/住友電工,3.0,0.0,127,127,1.0,-0.17046384666790326,-2.721965510683,42.51968503937008,0.6068865318424728,-21.648908526823714,-28.01327161933106
58010-58030,古河電工/フジクラ,2.0,0.5,318,211,1.51,-0.1343320945670965,-2.722571448437841,47.79874213836478,0.5640868675847116,-42.717606072336686,-56.88503153459815
57060-58030,三井金属/フジクラ,2.0,0.5,294,190,1.55,-0.12821831470845022,-2.7701323219328473,53.40136054421769,0.6000709360686508,-37.69618452428436,-39.625774532925846
57060-58010,三井金属/古河電工,2.5,0.5,214,177,1.21,-0.17475044801378428,-2.784343519623511,48.13084112149533,0.5966594060195644,-37.39659587494984,-48.55787094512594
57060-58010,三井金属/古河電工,2.0,0.5,295,207,1.43,-0.14730704891587448,-2.8495680490841697,52.20338983050847,0.6116228806498882,-43.455579430182944,-53.321034684643955
57130-58030,住友金属鉱山/フジクラ,2.5,0.5,234,177,1.32,-0.15714814979480102,-2.8538670196224105,44.01709401709402,0.5767580734185167,-36.772667051983426,-48.103754653002774
57060-58020,三井金属/住友電工,2.5,0.0,188,188,1.0,-0.16385177887771274,-2.892458628919135,38.297872340425535,0.5962648335085582,-30.804134429010006,-31.6929019892109
57110-58030,三菱マテリアル/フジクラ,3.0,0.5,175,144,1.22,-0.1272378360979411,-2.9115317519276545,43.42857142857143,0.5926083676465106,-22.26662131713969,-26.189787721652213
57140-50160,DOWA HD/JX金属,2.5,0.5,201,165,1.22,-0.10453374730139235,-3.0047853003480474,43.78109452736319,0.6054141709437667,-21.01128320757987,-25.290625404512422
