pair,name,entry_z,exit_z,N,N_days,trades/day,mean_%/trade,Sharpe,Winrate_%,PF,Cum_%,MaxDD_%
57140-58030,DOWA HD/フジクラ,2.5,0.0,162,162,1.0,0.06213973922280099,0.7430442779708208,45.06172839506173,1.1824461675301663,10.066637754093751,-19.97885876996711
50160-58030,JX金属/フジクラ,2.5,0.0,159,159,1.0,0.03487383358766386,0.39350956363672507,44.65408805031446,1.0895349932217482,5.544939540438561,-16.742654904430417
58020-58030,住友電工/フジクラ,2.5,0.0,189,189,1.0,-0.0005338250156090741,-0.00649563602641585,39.682539682539684,0.9983799944914032,-0.10089292795011538,-21.319771114405114
57060-58030,三井金属/フジクラ,3.0,0.0,145,145,1.0,-0.006559381547452964,-0.08181054230302924,48.96551724137931,0.9830946998457134,-0.9511103243806763,-12.216860412878281
58010-58020,古河電工/住友電工,2.5,0.0,198,198,1.0,-0.011338859981614647,-0.16022636766418138,45.95959595959596,0.9676223174818576,-2.2450942763597,-22.199912566456817
57110-58030,三菱マテリアル/フジクラ,3.0,0.0,144,144,1.0,-0.036429950394698755,-0.5436894679720707,41.66666666666667,0.8947133846934819,-5.245912856836618,-18.7525431772322
57060-50160,三井金属/JX金属,3.0,0.5,157,130,1.21,-0.031875663667733825,-0.7116957735546635,51.59235668789809,0.8935174398085167,-5.004479195834209,-10.613054962773681
57140-58010,DOWA HD/古河電工,2.0,0.5,247,178,1.39,-0.07630373257634548,-1.3682404022274706,54.25101214574899,0.7648308188975657,-18.84702194635733,-29.265818204730426
57110-58010,三菱マテリアル/古河電工,3.0,0.5,174,150,1.16,-0.09820680044912936,-1.6684911824523099,47.12643678160919,0.7196873985786616,-17.087983278148506,-26.87035664008672
58010-58030,古河電工/フジクラ,2.5,0.0,184,184,1.0,-0.170457958926462,-1.8410063324012593,43.47826086956522,0.6228213379312137,-31.364264442469008,-48.81730482204028
57140-50160,DOWA HD/JX金属,2.5,0.0,165,165,1.0,-0.0945372656498117,-1.9156203064131716,40.60606060606061,0.7099691472725109,-15.598648832218926,-21.54571626343692
50160-58020,JX金属/住友電工,2.5,0.0,155,155,1.0,-0.12395323198304214,-1.9404463815053565,45.806451612903224,0.6999401259488454,-19.212750957371533,-25.976281431628596
57130-58030,住友金属鉱山/フジクラ,3.0,0.0,152,152,1.0,-0.159662565408671,-2.0344181557474488,34.21052631578947,0.6278136795930255,-24.26870994211799,-40.55659682810477
57060-58010,三井金属/古河電工,2.5,0.5,214,177,1.21,-0.17475044801378428,-2.784343519623511,48.13084112149533,0.5966594060195644,-37.39659587494984,-48.55787094512594
57060-58020,三井金属/住友電工,2.5,0.0,188,188,1.0,-0.16385177887771274,-2.892458628919135,38.297872340425535,0.5962648335085582,-30.804134429010006,-31.6929019892109
57140-58020,DOWA HD/住友電工,3.0,0.0,158,158,1.0,-0.16796697008646144,-3.0451901459213997,37.34177215189873,0.5447349181395011,-26.538781273660916,-30.465623347205483
57130-50160,住友金属鉱山/JX金属,3.0,0.5,176,149,1.18,-0.1301654703673043,-3.045583459314953,40.340909090909086,0.5986393739082546,-22.909122784645554,-24.984599542249843
57060-57140,三井金属/DOWA HD,3.0,0.0,138,138,1.0,-0.15802779333337338,-3.2358210885267935,39.85507246376812,0.5592266766117371,-21.807835480005526,-24.331630006337793
57110-58020,三菱マテリアル/住友電工,3.0,0.0,155,155,1.0,-0.1767438072739363,-3.3311128960013456,37.41935483870968,0.5058821632125191,-27.395290127460125,-30.74979941934893
57110-50160,三菱マテリアル/JX金属,2.5,0.0,172,172,1.0,-0.1707339134422973,-3.3412420119523127,31.976744186046513,0.5394230293209593,-29.366233112075125,-30.106866792423475
57130-58010,住友金属鉱山/古河電工,2.5,0.5,218,167,1.31,-0.16979197688559883,-3.4341374803385256,48.1651376146789,0.5701798804980631,-37.01465096106048,-42.903805227972256
50160-58010,JX金属/古河電工,3.0,0.5,171,146,1.17,-0.2326214398285756,-3.620367198909792,49.707602339181285,0.5290513442081648,-39.77826621068641,-43.3923277196001
57060-57110,三井金属/三菱マテリアル,3.0,0.0,145,145,1.0,-0.16386437643064516,-4.103847514144726,42.758620689655174,0.49346667986680326,-23.760334582443555,-24.003221797792488
57130-57140,住友金属鉱山/DOWA HD,3.0,0.0,167,167,1.0,-0.1483489101781107,-4.219488617677744,31.736526946107784,0.4561933899988843,-24.77426799974447,-26.625619887890984
57110-57130,三菱マテリアル/住友金属鉱山,2.5,0.0,202,202,1.0,-0.1287841196630855,-4.286758655346796,35.64356435643564,0.47397001414269174,-26.01439217194328,-27.01285795237876
57060-57130,三井金属/住友金属鉱山,2.5,0.5,219,175,1.25,-0.19677474690292124,-4.950005265229191,42.922374429223744,0.44605018536139085,-43.09366957173973,-44.12349957995794
57110-57140,三菱マテリアル/DOWA HD,2.5,0.0,196,196,1.0,-0.12319697643790502,-4.980776196785932,32.142857142857146,0.416263439617513,-24.146607381829384,-26.170957398243534
57130-58020,住友金属鉱山/住友電工,2.5,0.0,178,178,1.0,-0.26964610879616396,-5.083557797381323,34.26966292134831,0.39354512405867353,-47.99700736571719,-49.039846056896614
