pair,name,N_trades,N_days_active,trades_per_active_day,mean_per_trade_%,std_per_trade_%,Sharpe_ann,winrate_%,PF,avg_hold_min,cum_PnL_%,maxDD_%
57140-58030,DOWA HD/フジクラ,270,185,1.46,-0.031862393986826845,0.9747127070330132,-0.6181314428753681,47.40740740740741,0.8863507137468102,146.6925925925926,-8.60284637644325,-31.097487659492383
50160-58030,JX金属/フジクラ,264,177,1.49,-0.05414410044079143,0.9053231496114698,-1.1432623182346249,53.78787878787878,0.8113787176449149,137.31060606060606,-14.294042516368938,-30.388188361614137
57140-58010,DOWA HD/古河電工,247,178,1.39,-0.07630373257634548,1.028264613369145,-1.3682404022274706,54.25101214574899,0.7648308188975657,150.1012145748988,-18.84702194635733,-29.265818204730426
57110-58010,三菱マテリアル/古河電工,299,198,1.51,-0.07929743220418516,0.874677346397487,-1.7438024632351299,52.508361204013376,0.7327903013825497,134.11371237458195,-23.709932229051383,-34.92652519330152
57060-50160,三井金属/JX金属,268,169,1.59,-0.06998450858349904,0.694505298518384,-1.9862478536268513,54.1044776119403,0.7532676790077915,134.88059701492537,-18.755848300377735,-20.011620936533998
58020-58030,住友電工/フジクラ,314,217,1.45,-0.11187324631169433,0.9202488237228452,-2.2889640343431914,49.044585987261144,0.6261679059824667,140.06687898089172,-35.12819934187205,-39.15982663545224
58010-58020,古河電工/住友電工,342,220,1.55,-0.09453043879364428,0.7652729522561282,-2.4106827746851827,51.461988304093566,0.662941535447358,129.68421052631578,-32.32941006742634,-46.4166836712677
58010-58030,古河電工/フジクラ,318,211,1.51,-0.1343320945670965,0.9481037739044453,-2.722571448437841,47.79874213836478,0.5640868675847116,136.60377358490567,-42.717606072336686,-56.88503153459815
57060-58030,三井金属/フジクラ,294,190,1.55,-0.12821831470845022,0.9012171683096872,-2.7701323219328473,53.40136054421769,0.6000709360686508,133.05102040816325,-37.69618452428436,-39.625774532925846
57060-58010,三井金属/古河電工,295,207,1.43,-0.14730704891587448,0.9659471689715325,-2.8495680490841697,52.20338983050847,0.6116228806498882,142.4542372881356,-43.455579430182944,-53.321034684643955
57060-58020,三井金属/住友電工,346,221,1.57,-0.11438700960007842,0.6754524291732811,-3.3167053651101943,51.73410404624278,0.6086019810309335,134.01445086705203,-39.57790532162712,-41.06043238961016
50160-58020,JX金属/住友電工,263,173,1.52,-0.138095017580579,0.7807254977410133,-3.4136383688958314,51.71102661596958,0.5805889969747403,136.03041825095056,-36.318989623692275,-38.86853382352233
57130-58030,住友金属鉱山/フジクラ,297,193,1.54,-0.166100885041397,0.9179775194824109,-3.5133588718695217,46.801346801346796,0.5233943737747181,141.53198653198652,-49.331962857294926,-60.21149547763914
57130-50160,住友金属鉱山/JX金属,305,200,1.52,-0.11662908526498816,0.6298478048662841,-3.5792267565762037,45.57377049180328,0.5850784985497011,140.15737704918033,-35.57187100582141,-36.99074177859289
57110-58030,三菱マテリアル/フジクラ,268,180,1.49,-0.13733120643244506,0.7052219300551614,-3.719269194232863,41.7910447761194,0.5309731678531143,142.3955223880597,-36.80476332389527,-41.584504275919244
57110-50160,三菱マテリアル/JX金属,289,196,1.47,-0.11963618287693467,0.6099798526450542,-3.727786104298188,44.636678200692046,0.5552413793303552,146.12110726643598,-34.57485685143411,-35.84302535651786
57130-58010,住友金属鉱山/古河電工,279,190,1.47,-0.16209605745360528,0.8239758940034309,-3.731352588643287,50.53763440860215,0.5564572071338136,144.8673835125448,-45.22480002955589,-47.27303342111875
57140-50160,DOWA HD/JX金属,245,177,1.38,-0.12304883515793733,0.592145052303914,-3.8267390937508705,46.12244897959184,0.5519775417883663,148.12244897959184,-30.146964613694642,-34.647511799886985
57060-57140,三井金属/DOWA HD,264,187,1.41,-0.14392069067462485,0.654832112654709,-4.087497198512044,47.34848484848485,0.5207817700336257,153.11363636363637,-37.99506233810097,-40.865028169642656
57110-58020,三菱マテリアル/住友電工,308,208,1.48,-0.1446801361594871,0.646933374698244,-4.259671274264118,41.23376623376623,0.4746189175341456,143.1461038961039,-44.56148193712201,-46.805153159400966
50160-58010,JX金属/古河電工,276,184,1.5,-0.24541008337764098,1.0019914077203742,-4.695232225976755,50.72463768115942,0.45754860649039025,140.18840579710144,-67.73318301222893,-70.85264130743425
57140-58020,DOWA HD/住友電工,292,194,1.51,-0.16221650943464186,0.6509939903733214,-4.785107243165197,42.12328767123288,0.44448335073764234,138.9554794520548,-47.36722075491543,-53.12422650928094
57060-57110,三井金属/三菱マテリアル,278,190,1.46,-0.1535136991424167,0.5706634005539389,-5.093258943456123,44.24460431654676,0.4577941728498644,149.6726618705036,-42.67680836159183,-42.72640941787046
57110-57130,三菱マテリアル/住友金属鉱山,361,228,1.58,-0.10610889199520102,0.37978905697981413,-5.502734411259979,36.84210526315789,0.43775184035433795,129.51246537396122,-38.30531001026757,-39.13601399681165
57060-57130,三井金属/住友金属鉱山,276,195,1.42,-0.20221326708671694,0.6643625188711046,-5.667934209009439,45.289855072463766,0.3980440394801636,150.58333333333334,-55.8108617159339,-56.817619872740124
57130-57140,住友金属鉱山/DOWA HD,356,224,1.59,-0.1242595908917344,0.42031347752721293,-5.833653573689395,41.853932584269664,0.3927885603632643,125.49438202247191,-44.23641435745748,-47.05878643274367
57130-58020,住友金属鉱山/住友電工,272,199,1.37,-0.22853127712475696,0.6760515284505575,-6.1859556731485625,43.75,0.3708620656554329,160.08823529411765,-62.16050737793387,-63.24968346821134
57110-57140,三菱マテリアル/DOWA HD,349,229,1.52,-0.11133599639264705,0.3112394817351977,-6.912241946529855,37.53581661891118,0.3179081897798443,122.84240687679083,-38.85626274103386,-39.16315439559979
