pair,name,Sharpe_nocost,Cum_nocost_%
57110-57140,三菱マテリアル/DOWA HD,3.021281327869273,16.983737258966183
57110-57130,三菱マテリアル/住友金属鉱山,2.7947559238706168,19.454689989732444
57060-50160,三井金属/JX金属,2.5547521907062043,24.12415169962224
57140-58030,DOWA HD/フジクラ,2.4858735763629363,34.59715362355675
50160-58030,JX金属/フジクラ,2.2351661611076796,27.945957483631062
57110-58010,三菱マテリアル/古河電工,1.7747023150683383,24.130067770948642
57130-57140,住友金属鉱山/DOWA HD,1.6779160773289143,12.72358564254256
58010-58020,古河電工/住友電工,1.669582258164345,22.390589932573647
57140-58010,DOWA HD/古河電工,1.5007996429283428,20.67297805364268
57130-50160,住友金属鉱山/JX金属,1.3310087970255267,13.22812899417861
57060-58020,三井金属/住友電工,1.3225701983736105,15.782094678372871
57110-50160,三菱マテリアル/JX金属,1.257710443190726,11.665143148565878
57140-50160,DOWA HD/JX金属,1.1491572990452046,9.053035386305355
58020-58030,住友電工/フジクラ,0.9846894759387159,15.111800658127988
57060-58030,三井金属/フジクラ,0.6866372707503516,9.34381547571565
57110-58030,三菱マテリアル/フジクラ,0.6139270729242812,6.075236676104727
50160-58020,JX金属/住友電工,0.5414799879604076,5.761010376307725
58010-58030,古河電工/フジクラ,0.520223455891403,8.16239392766332
57060-57140,三井金属/DOWA HD,0.45666909680185036,4.24493766189903
57110-58020,三菱マテリアル/住友電工,0.4510472941159953,4.71851806287798
57060-58010,三井金属/古河電工,0.2455376584087872,3.744420569817041
57060-57110,三井金属/三菱マテリアル,0.2152017053682287,1.803191638408164
57130-58010,住友金属鉱山/古河電工,-0.04824996689196958,-0.5848000295558776
57140-58020,DOWA HD/住友電工,-0.06538320536678884,-0.6472207549154322
57130-58030,住友金属鉱山/フジクラ,-0.12904566150328503,-1.8119628572949105
57060-57130,三井金属/住友金属鉱山,-1.1832162352248146,-11.650861715933875
50160-58010,JX金属/古河電工,-1.6340819023355506,-23.573183012228903
57130-58020,住友金属鉱山/住友電工,-1.8550259196537868,-18.640507377933908
