date,entry_time,exit_time,hold_min,position,entry_z,exit_z,pnl
2025-04-30,2025-04-30 11:02:00,2025-04-30 15:24:00,262,1,-2.190493661764946,-3.418886646273758,-0.0065327645785265166
2025-05-01,2025-05-01 10:15:00,2025-05-01 10:25:00,10,1,-2.1133447239282233,-0.38638235387136277,5.918554463082352e-05
2025-05-01,2025-05-01 13:39:00,2025-05-01 15:24:00,105,1,-2.0102717697087313,-2.2976048783165455,-0.0013629977140059656
2025-05-02,2025-05-02 10:03:00,2025-05-02 10:52:00,49,-1,2.3025827465955215,0.4951482684593129,-0.0005800434742025027
2025-05-02,2025-05-02 11:15:00,2025-05-02 13:43:00,148,1,-2.6666038346130483,-0.2734269790232387,0.0024375496079782873
2025-05-02,2025-05-02 14:16:00,2025-05-02 15:00:00,44,-1,2.1602777703203957,0.18074393369054684,0.0023920896661460732
2025-05-09,2025-05-09 12:32:00,2025-05-09 15:24:00,172,-1,2.7226093891874465,5.348937209374586,0.0033197723116207964
2025-06-26,2025-06-26 10:39:00,2025-06-26 15:11:00,272,-1,4.080335136043761,0.4564724471069476,0.0017698531434122459
2025-06-27,2025-06-27 13:07:00,2025-06-27 13:49:00,42,-1,2.1966449371864516,0.44889255083123747,0.003285081713176578
2025-06-27,2025-06-27 14:48:00,2025-06-27 15:24:00,36,-1,2.164047161043407,1.941242554367345,-0.00224256245271494
2025-06-30,2025-06-30 10:35:00,2025-06-30 10:57:00,22,-1,2.4205781848079706,0.44816138338692085,0.00057073310238974
2025-06-30,2025-06-30 11:06:00,2025-06-30 12:34:00,88,-1,2.789743208524509,0.2289033185444522,0.0022524619231842633
2025-06-30,2025-06-30 12:55:00,2025-06-30 14:02:00,67,1,-2.7625925426979148,-0.3809476482240333,0.006733871235200708
2025-06-30,2025-06-30 14:06:00,2025-06-30 15:24:00,78,1,-2.413508334487644,-5.5299082469786285,0.001222271075244062
2025-07-01,2025-07-01 10:06:00,2025-07-01 10:34:00,28,1,-2.080060757697678,-0.31846566703606277,0.004421937157190186
2025-07-01,2025-07-01 10:55:00,2025-07-01 13:46:00,171,1,-2.2452367074874027,-0.3358287671233907,0.0017890809193729354
2025-07-01,2025-07-01 14:11:00,2025-07-01 15:24:00,73,-1,2.782327565317302,3.0695429235954004,-0.002794362911135997
2025-07-02,2025-07-02 13:44:00,2025-07-02 15:22:00,98,-1,2.355536360175898,0.4013908219242057,-0.0012432589927649231
2025-07-04,2025-07-04 11:06:00,2025-07-04 13:12:00,126,1,-2.2973669042083245,-0.4221456790046407,0.0007253714741812069
2025-07-04,2025-07-04 13:40:00,2025-07-04 15:24:00,104,1,-2.228615626905645,-0.9305194165990404,0.0021493697838012383
2025-07-07,2025-07-07 10:29:00,2025-07-07 13:14:00,165,-1,2.113040083478387,0.3360964436387283,-0.00044694825075703945
2025-07-07,2025-07-07 13:20:00,2025-07-07 14:22:00,62,-1,2.3264839515613582,0.17819288606836817,0.0018015943026774264
2025-07-07,2025-07-07 14:40:00,2025-07-07 15:24:00,44,1,-2.27813690285204,-1.8825779281590513,0.0017224870980619732
2025-07-08,2025-07-08 14:47:00,2025-07-08 15:24:00,37,-1,2.215354408112711,1.0322877094806835,0.00375707167536462
2025-07-09,2025-07-09 10:38:00,2025-07-09 10:47:00,9,-1,2.001024531969273,-0.06075910903502643,0.0022388389718092953
2025-07-09,2025-07-09 12:49:00,2025-07-09 12:59:00,10,-1,2.0021215460422583,-0.1836022605776096,0.002492205470628607
2025-07-09,2025-07-09 13:21:00,2025-07-09 15:24:00,123,1,-2.024437419311712,-2.715536359463727,-0.002768077933041766
2025-07-10,2025-07-10 10:20:00,2025-07-10 15:24:00,304,-1,2.4378928392218855,6.467028190394242,-0.01547612092108247
2025-07-11,2025-07-11 10:36:00,2025-07-11 15:24:00,288,-1,2.1363217475594456,3.6516801105079844,-0.00807771611392415
2025-07-14,2025-07-14 10:00:00,2025-07-14 10:03:00,3,-1,2.5367008079992077,0.27661502103726393,0.0020132111234970424
2025-07-14,2025-07-14 10:51:00,2025-07-14 13:19:00,148,-1,2.1389724073003458,0.424651585957274,0.0038452232258563163
2025-07-14,2025-07-14 13:45:00,2025-07-14 14:16:00,31,1,-2.093896659643479,-0.36235742350774225,0.0005324716104253906
2025-07-15,2025-07-15 10:07:00,2025-07-15 10:18:00,11,-1,2.1196759277693613,-0.3012875465761278,0.0044023549779334675
2025-07-15,2025-07-15 11:30:00,2025-07-15 12:32:00,62,1,-2.090172819989726,-0.486856438340056,0.0020174569274905556
2025-07-15,2025-07-15 14:59:00,2025-07-15 15:24:00,25,1,-2.2130899720261983,-2.2179961217637945,-0.0011928901467634775
2025-07-16,2025-07-16 10:26:00,2025-07-16 12:36:00,130,1,-2.099472556998218,-0.10815270142438788,-0.00016951807860420692
2025-07-17,2025-07-17 10:28:00,2025-07-17 10:36:00,8,1,-2.0967616272283087,-0.2663380407762265,0.0015773781866368472
2025-07-17,2025-07-17 10:57:00,2025-07-17 15:24:00,267,1,-2.304858629290461,-6.852013739848579,-0.009519179299588737
2025-07-18,2025-07-18 10:00:00,2025-07-18 15:24:00,324,-1,2.329617400796654,0.8727197301384602,0.00405924510105697
2025-07-22,2025-07-22 12:35:00,2025-07-22 13:52:00,77,-1,2.1251319428120166,0.2264189534585523,0.002573384359451241
2025-07-23,2025-07-23 10:25:00,2025-07-23 12:31:00,126,-1,2.107425838831927,0.4518863074678829,0.005665228873102779
2025-07-25,2025-07-25 10:21:00,2025-07-25 11:22:00,61,-1,2.3664825750013025,0.4183273439960599,0.0006444769665250193
2025-07-25,2025-07-25 13:00:00,2025-07-25 13:17:00,17,1,-2.017137295368854,-0.12762396202168766,-7.786331318404148e-05
2025-07-25,2025-07-25 15:05:00,2025-07-25 15:24:00,19,1,-2.4483952724615987,-1.8270324898302943,-0.0010909023407409378
2025-07-28,2025-07-28 10:20:00,2025-07-28 11:23:00,63,1,-2.2485232538740294,-0.47518134190329003,0.0022089268202561156
2025-07-29,2025-07-29 10:10:00,2025-07-29 11:15:00,65,-1,2.080100563416984,0.35351707109394653,0.00047439949410001234
2025-07-29,2025-07-29 13:44:00,2025-07-29 15:24:00,100,1,-2.2645933303210923,-2.6165933856929895,-0.0024974977074465705
2025-07-30,2025-07-30 10:01:00,2025-07-30 10:15:00,14,1,-2.3415094201216244,-0.366492904768232,-0.0007414479152401618
2025-07-30,2025-07-30 10:30:00,2025-07-30 10:52:00,22,1,-2.0175527532334634,-0.012913964429300592,0.00048003781522033937
2025-07-30,2025-07-30 11:16:00,2025-07-30 12:45:00,89,-1,2.0253726657585496,0.4615018569497981,0.003077516538132246
2025-07-30,2025-07-30 12:54:00,2025-07-30 15:24:00,150,-1,2.12701470279357,5.391572107959442,-0.006771614872581366
2025-07-31,2025-07-31 10:00:00,2025-07-31 11:20:00,80,1,-2.3486807591650245,-0.4319867647699577,0.003391580485777284
2025-07-31,2025-07-31 12:44:00,2025-07-31 15:24:00,160,-1,2.016005993727795,2.1331222173059494,0.0014002225359246985
