code,name,sector,strat,N_days,Sharpe,Cum%,DD%,WR%
57060,三井金属,非鉄金属,MA,17,5.76,516.2,-47.6,41.2
57060,三井金属,非鉄金属,RSI,11,1.02,7.7,-33.5,45.5
57110,三菱マテリアル,非鉄金属,MA,22,3.12,246.9,-97.1,36.4
57110,三菱マテリアル,非鉄金属,RSI,15,2.23,18.4,-19.5,66.7
57130,住友金属鉱山,非鉄金属,MA,17,5.18,204.7,-39.8,41.2
57130,住友金属鉱山,非鉄金属,RSI,19,2.22,27.9,-34.4,63.2
57140,DOWA HD,非鉄金属,MA,24,0.91,24.0,-76.9,37.5
57140,DOWA HD,非鉄金属,RSI,13,3.75,24.2,-17.2,69.2
58010,古河電工,非鉄金属,MA,18,5.13,510.8,-76.9,50.0
58010,古河電工,非鉄金属,RSI,20,3.63,44.3,-29.1,75.0
58020,住友電工,非鉄金属,MA,18,3.01,118.1,-62.9,38.9
58020,住友電工,非鉄金属,RSI,15,4.63,49.8,-34.6,73.3
58030,フジクラ,非鉄金属,MA,19,0.97,60.5,-153.9,52.6
58030,フジクラ,非鉄金属,RSI,13,4.28,62.3,-30.1,61.5
83060,三菱UFJ,銀行業,MA,18,9.62,112.5,-13.6,72.2
83060,三菱UFJ,銀行業,RSI,13,3.55,34.2,-32.3,61.5
83160,三井住友,銀行業,MA,20,5.4,93.4,-22.4,55.0
83160,三井住友,銀行業,RSI,13,5.13,53.3,-30.0,76.9
84110,みずほ,銀行業,MA,16,6.31,371.0,-12.8,75.0
84110,みずほ,銀行業,RSI,13,-0.13,-0.9,-36.3,61.5
68570,アドバンテスト,半導体,MA,18,6.07,234.9,-47.3,50.0
68570,アドバンテスト,半導体,RSI,13,9.59,51.1,-13.8,76.9
69200,レーザーテック,半導体,MA,14,4.57,160.3,-48.5,50.0
69200,レーザーテック,半導体,RSI,16,4.53,53.2,-21.7,81.2
80350,東京エレクトロン,半導体,MA,19,-0.63,-23.7,-130.4,47.4
80350,東京エレクトロン,半導体,RSI,14,7.26,48.2,-11.7,71.4
80010,伊藤忠商事,商社,MA,17,-1.69,-63.9,-132.5,58.8
80010,伊藤忠商事,商社,RSI,14,15.8,67.3,-5.2,92.9
80310,三井物産,商社,MA,14,1.15,22.2,-57.7,57.1
80310,三井物産,商社,RSI,11,3.84,23.0,-17.8,72.7
80580,三菱商事,商社,MA,16,5.81,125.4,-24.5,50.0
80580,三菱商事,商社,RSI,12,9.62,83.9,-14.7,91.7
33820,セブン&アイ,小売業,MA,21,-5.25,-158.1,-156.8,23.8
33820,セブン&アイ,小売業,RSI,13,-0.03,-0.2,-19.3,61.5
99830,ファストリテ,小売業,MA,22,3.06,53.6,-18.8,50.0
99830,ファストリテ,小売業,RSI,14,5.03,41.4,-24.1,64.3
72030,トヨタ自動車,自動車,MA,21,1.79,27.8,-35.2,38.1
72030,トヨタ自動車,自動車,RSI,19,14.87,96.7,-7.6,89.5
72670,ホンダ,自動車,MA,16,-3.6,-79.8,-106.0,56.2
72670,ホンダ,自動車,RSI,21,7.74,60.9,-11.0,66.7
79740,任天堂,その他製品,MA,18,-2.27,-153.0,-247.3,55.6
79740,任天堂,その他製品,RSI,15,4.64,40.0,-19.0,66.7
