code,name,no_N,no_Sh,no_Cum,no_DD,yes_N,yes_Sh,yes_Cum,yes_DD,trade_reduction%
57060,三井金属,17,5.76,516.2,-47.6,14,5.64,459.3,-51.7,17.647058823529417
57110,三菱マテリアル,22,3.12,246.9,-97.1,16,2.2,49.7,-36.8,27.27272727272727
57130,住友金属鉱山,17,5.18,204.7,-39.8,13,6.1,205.0,-28.3,23.529411764705888
57140,DOWA HD,24,0.91,24.0,-76.9,19,1.85,39.9,-30.8,20.833333333333336
58010,古河電工,18,5.13,510.8,-76.9,14,4.07,209.0,-40.5,22.22222222222222
58020,住友電工,18,3.01,118.1,-62.9,15,2.7,99.5,-47.7,16.666666666666664
58030,フジクラ,19,0.97,60.5,-153.9,16,-0.25,-13.5,-153.9,15.789473684210531
83060,三菱UFJ,18,9.62,112.5,-13.6,14,7.16,81.7,-17.3,22.22222222222222
83160,三井住友,20,5.4,93.4,-22.4,16,5.03,71.4,-22.4,19.999999999999996
84110,みずほ,16,6.31,371.0,-12.8,15,5.69,315.2,-13.9,6.25
68570,アドバンテスト,18,6.07,234.9,-47.3,16,3.43,104.7,-50.2,11.111111111111116
69200,レーザーテック,14,4.57,160.3,-48.5,11,2.43,82.9,-43.1,21.42857142857143
80310,三井物産,14,1.15,22.2,-57.7,11,0.75,13.0,-62.2,21.42857142857143
80580,三菱商事,16,5.81,125.4,-24.5,14,5.85,114.5,-24.5,12.5
99830,ファストリテ,22,3.06,53.6,-18.8,18,0.51,7.0,-31.7,18.181818181818176
72030,トヨタ自動車,21,1.79,27.8,-35.2,10,8.37,69.5,-11.2,52.38095238095239
