sector,code,name,BH_Sharpe,BH_Cum%,MA_Sharpe,MA_Cum%,MA_DD%,MA_N,RSI_Sharpe,RSI_Cum%,RSI_DD%,RSI_N
非鉄金属,57060,三井金属,0.67,560.8,5.76,516.2,-47.6,17,1.02,7.7,-33.5,11
非鉄金属,57110,三菱マテリアル,0.35,277.1,3.12,246.9,-97.1,22,2.23,18.4,-19.5,15
非鉄金属,57130,住友金属鉱山,0.5,215.2,5.18,204.7,-39.8,17,2.22,27.9,-34.4,19
非鉄金属,57140,DOWA HD,0.45,275.8,0.91,24.0,-76.9,24,3.75,24.2,-17.2,13
非鉄金属,58010,古河電工,0.63,534.3,5.13,510.8,-76.9,18,3.63,44.3,-29.1,20
非鉄金属,58020,住友電工,0.64,221.4,3.01,118.1,-62.9,18,4.63,49.8,-34.6,15
非鉄金属,58030,フジクラ,0.3,223.9,0.97,60.5,-153.9,19,4.28,62.3,-30.1,13
銀行業,83060,三菱UFJ,0.62,179.5,9.62,112.5,-13.6,18,3.55,34.2,-32.3,13
銀行業,83160,三井住友,0.13,57.3,5.4,93.4,-22.4,20,5.13,53.3,-30.0,13
銀行業,84110,みずほ,0.49,380.3,6.31,371.0,-12.8,16,-0.13,-0.9,-36.3,13
半導体,68570,アドバンテスト,0.5,322.5,6.07,234.9,-47.3,18,9.59,51.1,-13.8,13
半導体,69200,レーザーテック,0.57,340.0,4.57,160.3,-48.5,14,4.53,53.2,-21.7,16
半導体,80350,東京エレクトロン,0.37,193.3,-0.63,-23.7,-130.4,19,7.26,48.2,-11.7,14
商社,80010,伊藤忠商事,0.06,35.1,-1.69,-63.9,-132.5,17,15.8,67.3,-5.2,14
商社,80310,三井物産,0.41,147.4,1.15,22.2,-57.7,14,3.84,23.0,-17.8,11
商社,80580,三菱商事,0.26,110.9,5.81,125.4,-24.5,16,9.62,83.9,-14.7,12
小売業,33820,セブン&アイ,-0.21,-94.7,-5.25,-158.1,-156.8,21,-0.03,-0.2,-19.3,13
小売業,99830,ファストリテ,0.2,95.1,3.06,53.6,-18.8,22,5.03,41.4,-24.1,14
自動車,72030,トヨタ自動車,-0.11,-63.6,1.79,27.8,-35.2,21,14.87,96.7,-7.6,19
自動車,72670,ホンダ,-0.17,-78.6,-3.6,-79.8,-106.0,16,7.74,60.9,-11.0,21
その他製品,79740,任天堂,-0.09,-71.5,-2.27,-153.0,-247.3,18,4.64,40.0,-19.0,15
