strat,code,name,IS_Sharpe,OOS_Sharpe,IS_Cum%,OOS_Cum%,verdict
S1_RSI_long,57060,三井金属,-6.45,0.0,-27.6,0.0,
S1_RSI_long,57110,三菱マテリアル,0.49,0.0,3.1,0.0,
S1_RSI_long,57130,住友金属鉱山,0.58,4.94,4.7,23.2,✓
S1_RSI_long,57140,DOWA HD,-0.27,0.0,-1.1,0.0,
S1_RSI_long,58010,古河電工,1.6,11.92,15.4,28.9,✓
S1_RSI_long,58020,住友電工,2.46,0.0,22.8,0.0,
S1_RSI_long,58030,フジクラ,-2.25,0.0,-18.2,0.0,
S2_RSI_short,57060,三井金属,-3.34,-4.61,-33.4,-112.5,
S2_RSI_short,57110,三菱マテリアル,-0.54,-10.29,-3.9,-60.6,
S2_RSI_short,57130,住友金属鉱山,-1.98,-9.97,-19.6,-78.0,
S2_RSI_short,57140,DOWA HD,9.37,-5.54,62.6,-36.7,
S2_RSI_short,58010,古河電工,-2.33,-9.67,-18.0,-221.8,
S2_RSI_short,58020,住友電工,4.85,-5.89,21.0,-80.5,
S2_RSI_short,58030,フジクラ,-6.86,-11.79,-70.9,-215.1,
S3_MACD_long,57060,三井金属,-1.05,4.65,-35.3,157.3,
S3_MACD_long,57110,三菱マテリアル,0.48,-0.24,9.7,-4.3,
S3_MACD_long,57130,住友金属鉱山,0.42,1.12,15.4,28.3,✓
S3_MACD_long,57140,DOWA HD,1.33,-0.59,119.0,-11.3,
S3_MACD_long,58010,古河電工,2.2,2.23,264.8,113.8,✓
S3_MACD_long,58020,住友電工,0.71,5.17,13.0,117.6,✓
S3_MACD_long,58030,フジクラ,0.83,-1.14,29.4,-93.9,
S4_MA25_75,57060,三井金属,4.64,7.42,272.3,243.9,✓
S4_MA25_75,57110,三菱マテリアル,2.66,5.71,162.7,84.2,✓
S4_MA25_75,57130,住友金属鉱山,3.99,6.95,98.4,106.4,✓
S4_MA25_75,57140,DOWA HD,-3.34,3.91,-32.4,56.4,
S4_MA25_75,58010,古河電工,3.77,7.53,254.1,256.7,✓
S4_MA25_75,58020,住友電工,-4.95,0.0,-42.7,0.0,
S4_MA25_75,58030,フジクラ,-0.47,1.91,-7.1,67.6,
S5_BB_long,57060,三井金属,-0.41,13.79,-4.8,36.8,
S5_BB_long,57110,三菱マテリアル,3.43,5.24,41.9,14.5,✓
S5_BB_long,57130,住友金属鉱山,0.06,6.08,1.0,40.1,✓
S5_BB_long,57140,DOWA HD,-0.82,1.69,-9.5,6.1,
S5_BB_long,58010,古河電工,-3.38,-1.57,-49.2,-10.8,
S5_BB_long,58020,住友電工,-0.32,5.42,-4.0,25.0,
S5_BB_long,58030,フジクラ,-0.25,8.27,-4.1,59.0,
