code,entry_date,exit_date,entry,exit,hold_days,ret_pct,pnl
58030,2016-06-14,2016-07-13,515.0,489.0,29,-5.1804411188864075,-0.05340441118886407
58030,2016-11-10,2016-11-11,611.0,630.0,1,3.0622860213983,0.029022860213983
58030,2017-03-09,2017-04-11,818.0,796.0,33,-2.7263150758364,-0.028863150758363997
58030,2017-08-02,2017-09-14,917.0,910.0,43,-0.7662872745569137,-0.009262872745569138
58030,2017-10-17,2017-10-24,885.0,920.0,7,3.878602503515645,0.03718602503515645
58030,2018-02-06,2018-03-13,867.0,759.0,35,-13.303719938491195,-0.13463719938491195
58030,2018-03-26,2018-04-17,692.0,712.0,22,2.8491955794306243,0.02689195579430624
58030,2018-06-20,2018-07-20,717.0,697.0,30,-2.8290429839096434,-0.029890429839096434
58030,2018-08-14,2018-08-30,646.0,680.0,16,5.1293294387550485,0.049693294387550484
58030,2018-09-05,2018-09-25,603.0,630.0,20,4.380262265839284,0.04220262265839284
58030,2018-10-01,2018-11-05,540.0,495.0,35,-8.701137698962981,-0.08861137698962981
58030,2018-12-12,2019-01-09,441.0,444.0,28,0.6779686985378769,0.005179686985378769
58030,2019-03-11,2019-04-03,455.0,440.0,23,-3.3522692038643562,-0.03512269203864356
58030,2019-05-09,2019-06-12,425.0,370.0,34,-13.858616328614668,-0.14018616328614666
58030,2019-08-05,2019-09-02,360.0,338.0,28,-6.3058135967136915,-0.06465813596713692
58030,2020-01-09,2020-02-06,446.0,398.0,28,-11.386694673562634,-0.11546694673562634
58030,2020-02-10,2020-03-26,372.0,299.0,45,-21.845028088246018,-0.22005028088246018
58030,2020-04-23,2020-04-28,267.0,303.0,5,12.64841471091197,0.1248841471091197
58030,2020-07-31,2020-08-12,291.0,317.0,12,8.557850670578802,0.083978506705788
58030,2020-09-25,2020-10-02,299.0,296.0,7,-1.0084119066626047,-0.011684119066626048
58030,2020-10-30,2020-11-05,284.0,354.0,6,22.032267497256832,0.21872267497256834
58030,2021-04-22,2021-04-30,520.0,565.0,8,8.299691957096783,0.08139691957096783
58030,2021-05-18,2021-06-15,480.0,480.0,28,0.0,-0.0016
58030,2021-06-22,2021-06-24,469.0,481.0,2,2.5264501659481793,0.023664501659481793
58030,2021-10-07,2021-10-14,620.0,678.0,7,8.94278099012583,0.0878278099012583
58030,2021-11-10,2021-11-26,576.0,606.0,16,5.077232537342314,0.04917232537342314
58030,2021-12-21,2022-01-05,546.0,582.0,15,6.385147198653277,0.06225147198653277
58030,2022-03-03,2022-03-23,596.0,584.0,20,-2.0339684237122673,-0.021939684237122673
58030,2022-07-04,2022-07-19,743.0,776.0,15,4.345647546545956,0.04185647546545956
58030,2022-09-16,2022-10-19,952.0,907.0,33,-4.842258467622877,-0.05002258467622876
58030,2022-12-22,2023-01-25,1026.0,969.0,34,-5.715841383994864,-0.058758413839948634
58030,2023-03-15,2023-04-03,923.0,945.0,19,2.355569299089053,0.02195569299089053
58030,2023-07-13,2023-07-26,1148.0,1199.5,13,4.388350540023753,0.04228350540023753
58030,2023-10-04,2023-10-13,1141.0,1211.0,9,5.95413936910167,0.0579413936910167
58030,2023-12-15,2023-12-28,1031.0,1081.5,13,4.781976137615352,0.04621976137615352
58030,2024-07-26,2024-08-13,2879.5,3138.0,18,8.596898634625088,0.08436898634625088
58030,2025-04-01,2025-04-25,5450.0,5050.0,24,-7.622736538788426,-0.07782736538788426
58030,2026-03-31,2026-04-27,4250.0,6037.0,27,35.09882168779637,0.3493882168779637
58030,2026-05-20,2026-05-22,4275.0,4850.0,2,12.619460256066834,0.12459460256066833
