label,kind,direction,horizon_min,n,mean_bps,sd_bps,win_rate,t_stat,sharpe_per_trade
ALL,volumeSpike,momentum,5,28160,-7.74,32.31,0.318,-40.22,-0.24
ALL,volumeSpike,momentum,15,27511,-7.2,46.22,0.38,-25.84,-0.156
ALL,volumeSpike,momentum,30,26538,-6.97,58.56,0.412,-19.38,-0.119
ALL,volumeSpike,reversion,5,28160,-8.26,32.31,0.338,-42.88,-0.256
ALL,volumeSpike,reversion,15,27511,-8.8,46.22,0.397,-31.58,-0.19
ALL,volumeSpike,reversion,30,26538,-9.03,58.56,0.42,-25.13,-0.154
ALL,vwapDeviation,momentum,5,84455,-7.79,40.68,0.346,-55.62,-0.191
ALL,vwapDeviation,momentum,15,83235,-6.85,61.04,0.407,-32.36,-0.112
ALL,vwapDeviation,momentum,30,80314,-6.22,79.63,0.431,-22.15,-0.078
ALL,vwapDeviation,reversion,5,84455,-8.21,40.68,0.352,-58.67,-0.202
ALL,vwapDeviation,reversion,15,83235,-9.15,61.04,0.406,-43.26,-0.15
ALL,vwapDeviation,reversion,30,80314,-9.78,79.63,0.429,-34.8,-0.123
IS,volumeSpike,momentum,5,15447,-7.77,27.58,0.303,-35.04,-0.282
IS,volumeSpike,momentum,15,15085,-7.46,40.54,0.371,-22.61,-0.184
IS,volumeSpike,momentum,30,14525,-7.33,50.66,0.404,-17.44,-0.145
IS,volumeSpike,reversion,5,15447,-8.23,27.58,0.327,-37.08,-0.298
IS,volumeSpike,reversion,15,15085,-8.54,40.54,0.389,-25.87,-0.211
IS,volumeSpike,reversion,30,14525,-8.67,50.66,0.412,-20.62,-0.171
IS,vwapDeviation,momentum,5,42359,-7.84,37.02,0.335,-43.59,-0.212
IS,vwapDeviation,momentum,15,41675,-6.95,54.79,0.398,-25.89,-0.127
IS,vwapDeviation,momentum,30,40132,-6.74,71.13,0.424,-18.98,-0.095
IS,vwapDeviation,reversion,5,42359,-8.16,37.02,0.343,-45.37,-0.22
IS,vwapDeviation,reversion,15,41675,-9.05,54.79,0.399,-33.72,-0.165
IS,vwapDeviation,reversion,30,40132,-9.26,71.13,0.423,-26.09,-0.13
OOS,volumeSpike,momentum,5,12713,-7.71,37.26,0.336,-23.32,-0.207
OOS,volumeSpike,momentum,15,12426,-6.88,52.3,0.392,-14.67,-0.132
OOS,volumeSpike,momentum,30,12013,-6.53,66.87,0.421,-10.7,-0.098
OOS,volumeSpike,reversion,5,12713,-8.29,37.26,0.352,-25.09,-0.223
OOS,volumeSpike,reversion,15,12426,-9.12,52.3,0.406,-19.43,-0.174
OOS,volumeSpike,reversion,30,12013,-9.47,66.87,0.429,-15.53,-0.142
OOS,vwapDeviation,momentum,5,42096,-7.73,44.07,0.358,-35.99,-0.175
OOS,vwapDeviation,momentum,15,41560,-6.74,66.73,0.416,-20.6,-0.101
OOS,vwapDeviation,momentum,30,40182,-5.71,87.29,0.439,-13.11,-0.065
OOS,vwapDeviation,reversion,5,42096,-8.27,44.07,0.362,-38.5,-0.188
OOS,vwapDeviation,reversion,15,41560,-9.26,66.73,0.413,-28.28,-0.139
OOS,vwapDeviation,reversion,30,40182,-10.29,87.29,0.436,-23.64,-0.118
sector:半導体,volumeSpike,momentum,5,17107,-8.06,30.47,0.322,-34.59,-0.264
sector:半導体,volumeSpike,momentum,15,16725,-7.22,45.77,0.385,-20.4,-0.158
sector:半導体,volumeSpike,momentum,30,16150,-6.8,56.98,0.414,-15.17,-0.119
sector:半導体,volumeSpike,reversion,5,17107,-7.94,30.47,0.345,-34.09,-0.261
sector:半導体,volumeSpike,reversion,15,16725,-8.78,45.77,0.4,-24.8,-0.192
sector:半導体,volumeSpike,reversion,30,16150,-9.2,56.98,0.422,-20.52,-0.161
sector:半導体,vwapDeviation,momentum,5,55384,-7.79,40.01,0.346,-45.83,-0.195
sector:半導体,vwapDeviation,momentum,15,54575,-6.81,60.65,0.406,-26.25,-0.112
sector:半導体,vwapDeviation,momentum,30,52692,-6.35,78.64,0.429,-18.55,-0.081
sector:半導体,vwapDeviation,reversion,5,55384,-8.21,40.01,0.35,-48.29,-0.205
sector:半導体,vwapDeviation,reversion,15,54575,-9.19,60.65,0.404,-35.38,-0.151
sector:半導体,vwapDeviation,reversion,30,52692,-9.65,78.64,0.43,-28.15,-0.123
sector:非鉄,volumeSpike,momentum,5,11053,-7.26,34.96,0.312,-21.82,-0.208
sector:非鉄,volumeSpike,momentum,15,10786,-7.17,46.91,0.372,-15.88,-0.153
sector:非鉄,volumeSpike,momentum,30,10388,-7.23,60.94,0.408,-12.09,-0.119
sector:非鉄,volumeSpike,reversion,5,11053,-8.74,34.96,0.326,-26.29,-0.25
sector:非鉄,volumeSpike,reversion,15,10786,-8.83,46.91,0.392,-19.55,-0.188
sector:非鉄,volumeSpike,reversion,30,10388,-8.77,60.94,0.416,-14.67,-0.144
sector:非鉄,vwapDeviation,momentum,5,29071,-7.78,41.95,0.347,-31.61,-0.185
sector:非鉄,vwapDeviation,momentum,15,28660,-6.91,61.79,0.409,-18.93,-0.112
sector:非鉄,vwapDeviation,momentum,30,27622,-5.97,81.47,0.435,-12.18,-0.073
sector:非鉄,vwapDeviation,reversion,5,29071,-8.22,41.95,0.356,-33.42,-0.196
sector:非鉄,vwapDeviation,reversion,15,28660,-9.09,61.79,0.409,-24.91,-0.147
sector:非鉄,vwapDeviation,reversion,30,27622,-10.03,81.47,0.429,-20.46,-0.123
