label,factor,n_weeks,q_lo_bps,q_hi_bps,LS_mean_bps,LS_sharpe_ann,LS_win
ALL,margin_ratio,256,4.4,16.7,-27.7,-0.91,0.441
ALL,long_chg,256,20.9,27.7,-33.1,-1.77,0.383
ALL,short_chg,256,22.0,22.9,-39.1,-1.68,0.352
ALL,short_ratio,256,19.8,3.8,-55.9,-1.53,0.402
ALL,net_chg,256,19.7,24.3,-35.4,-1.64,0.418
IS,margin_ratio,138,-0.1,14.7,-25.2,-0.79,0.457
IS,long_chg,138,10.7,13.7,-37.0,-2.02,0.37
IS,short_chg,138,21.7,10.6,-51.2,-2.27,0.283
IS,short_ratio,138,13.4,0.6,-52.8,-1.41,0.428
IS,net_chg,138,7.3,22.6,-24.7,-1.15,0.442
OOS,margin_ratio,118,9.8,19.1,-30.6,-1.07,0.424
OOS,long_chg,118,32.8,44.2,-28.6,-1.49,0.398
OOS,short_chg,118,22.4,37.4,-25.1,-1.04,0.432
OOS,short_ratio,118,27.3,7.7,-59.6,-1.67,0.373
OOS,net_chg,118,34.1,26.3,-47.8,-2.21,0.39
