label,q,n,car0_%,d5_bps,d10_bps,d20_bps
ALL,0,962,-6.54,-20.9,-50.2,-57.6
ALL,1,850,-3.47,-37.1,-14.5,13.6
ALL,2,825,-2.19,-33.1,-63.1,-55.8
ALL,3,859,-1.24,-34.0,-27.8,-24.0
ALL,4,880,-0.44,-10.0,-4.9,35.7
ALL,5,800,0.29,18.2,18.7,48.6
ALL,6,842,1.09,-16.4,-3.8,61.2
ALL,7,842,2.05,7.0,4.6,25.4
ALL,8,833,3.49,-19.7,9.2,32.2
ALL,9,943,7.13,18.3,17.9,68.8
OOS,0,517,-7.1,-80.3,-126.6,-113.7
OOS,1,467,-3.85,-46.5,-12.7,43.2
OOS,2,450,-2.4,-17.8,-61.7,-38.3
OOS,3,465,-1.34,-31.7,-12.7,-1.0
OOS,4,485,-0.48,-32.2,-24.4,12.5
OOS,5,434,0.3,3.6,-2.5,70.9
OOS,6,457,1.18,-9.4,14.4,160.7
OOS,7,458,2.21,6.4,-22.3,-8.2
OOS,8,459,3.73,-47.8,-14.4,37.1
OOS,9,512,7.62,-6.3,3.8,45.2
