label,family,param,hold,n,mean_bps,win_rate,t_stat,sharpe_per_trade,ann_sharpe_approx
ALL,BO_donchian,L20,3,73108,-14.0,0.474,-9.2,-0.034,-0.31
ALL,BO_donchian,L20,5,73053,-7.8,0.481,-3.8,-0.014,-0.1
ALL,BO_donchian,L20,10,72880,4.0,0.491,1.4,0.005,0.03
ALL,BO_donchian,L60,3,43485,-13.5,0.473,-6.6,-0.032,-0.29
ALL,BO_donchian,L60,5,43444,-8.5,0.481,-3.1,-0.015,-0.1
ALL,BO_donchian,L60,10,43340,1.7,0.49,0.4,0.002,0.01
ALL,MR_rsi,L10r30,3,165777,5.9,0.503,5.3,0.013,0.12
ALL,MR_rsi,L10r30,5,165545,19.2,0.517,13.1,0.032,0.22
ALL,MR_rsi,L10r30,10,165140,40.8,0.523,19.7,0.049,0.24
ALL,MR_rsi,L25r30,3,52688,16.8,0.506,7.7,0.034,0.3
ALL,MR_rsi,L25r30,5,52607,34.7,0.526,12.1,0.053,0.37
ALL,MR_rsi,L25r30,10,52373,61.8,0.54,15.5,0.068,0.34
ALL,MR_zscore,L10z2.0,3,44352,9.2,0.515,4.5,0.021,0.19
ALL,MR_zscore,L10z2.0,5,44288,21.3,0.521,7.9,0.037,0.26
ALL,MR_zscore,L10z2.0,10,44191,62.7,0.53,16.4,0.078,0.39
ALL,MR_zscore,L25z2.0,3,56411,11.7,0.515,6.1,0.026,0.23
ALL,MR_zscore,L25z2.0,5,56325,27.4,0.529,10.7,0.045,0.32
ALL,MR_zscore,L25z2.0,10,56111,63.3,0.541,17.7,0.075,0.37
IS,BO_donchian,L20,3,37024,-14.2,0.482,-7.5,-0.039,-0.35
IS,BO_donchian,L20,5,37062,-4.2,0.491,-1.7,-0.009,-0.06
IS,BO_donchian,L20,10,37056,3.8,0.496,1.1,0.006,0.03
IS,BO_donchian,L60,3,21198,-15.7,0.48,-6.2,-0.042,-0.38
IS,BO_donchian,L60,5,21226,-9.2,0.487,-2.8,-0.019,-0.13
IS,BO_donchian,L60,10,21222,-9.4,0.486,-2.0,-0.014,-0.07
IS,MR_rsi,L10r30,3,88680,-3.8,0.488,-2.5,-0.008,-0.08
IS,MR_rsi,L10r30,5,88645,1.0,0.502,0.5,0.002,0.01
IS,MR_rsi,L10r30,10,88662,-3.1,0.506,-1.1,-0.004,-0.02
IS,MR_rsi,L25r30,3,31796,12.3,0.503,4.2,0.024,0.22
IS,MR_rsi,L25r30,5,31792,25.1,0.523,6.6,0.037,0.26
IS,MR_rsi,L25r30,10,31797,36.3,0.536,7.2,0.041,0.2
IS,MR_zscore,L10z2.0,3,23746,1.4,0.509,0.5,0.003,0.03
IS,MR_zscore,L10z2.0,5,23706,8.9,0.514,2.5,0.016,0.11
IS,MR_zscore,L10z2.0,10,23737,34.7,0.521,6.7,0.044,0.22
IS,MR_zscore,L25z2.0,3,30777,-9.1,0.493,-3.4,-0.02,-0.18
IS,MR_zscore,L25z2.0,5,30738,-4.6,0.506,-1.3,-0.008,-0.05
IS,MR_zscore,L25z2.0,10,30767,11.2,0.521,2.3,0.013,0.06
OOS,BO_donchian,L20,3,36084,-13.9,0.466,-5.8,-0.031,-0.28
OOS,BO_donchian,L20,5,35991,-11.4,0.471,-3.5,-0.019,-0.13
OOS,BO_donchian,L20,10,35824,4.2,0.485,0.9,0.005,0.02
OOS,BO_donchian,L60,3,22287,-11.3,0.467,-3.6,-0.024,-0.22
OOS,BO_donchian,L60,5,22218,-7.8,0.475,-1.8,-0.012,-0.09
OOS,BO_donchian,L60,10,22118,12.3,0.495,2.1,0.014,0.07
OOS,MR_rsi,L10r30,3,77097,17.1,0.52,10.4,0.037,0.34
OOS,MR_rsi,L10r30,5,76900,40.2,0.535,18.5,0.067,0.47
OOS,MR_rsi,L10r30,10,76478,91.7,0.541,29.9,0.108,0.53
OOS,MR_rsi,L25r30,3,20892,23.5,0.511,7.2,0.05,0.45
OOS,MR_rsi,L25r30,5,20815,49.4,0.53,11.2,0.078,0.55
OOS,MR_rsi,L25r30,10,20576,101.3,0.544,15.6,0.109,0.54
OOS,MR_zscore,L10z2.0,3,20606,18.2,0.522,6.0,0.042,0.38
OOS,MR_zscore,L10z2.0,5,20582,35.7,0.53,8.6,0.06,0.42
OOS,MR_zscore,L10z2.0,10,20454,95.2,0.541,16.7,0.117,0.58
OOS,MR_zscore,L25z2.0,3,25634,36.8,0.542,13.2,0.082,0.74
OOS,MR_zscore,L25z2.0,5,25587,65.9,0.557,17.7,0.111,0.78
OOS,MR_zscore,L25z2.0,10,25344,126.5,0.565,24.4,0.153,0.76
