feature,fwd_bars,n_bars,gross_bps,net_bps,win_rate,ann_sharpe,t_stat
avg_l1_imb,1,1822,0.33,-4.67,0.272,-117.66,-17.66
avg_l1_imb,3,1820,0.52,-4.48,0.365,-36.17,-9.4
avg_l1_imb,5,1818,-0.24,-5.24,0.397,-24.49,-8.21
avg_depth10_imb,1,1822,-2.55,-7.55,0.187,-156.63,-23.51
avg_depth10_imb,3,1820,-2.07,-7.07,0.311,-50.14,-13.03
avg_depth10_imb,5,1818,-2.26,-7.26,0.347,-30.36,-10.18
avg_w_imb,1,1822,-1.61,-6.61,0.195,-157.02,-23.57
avg_w_imb,3,1820,-1.64,-6.64,0.315,-50.04,-13.0
avg_w_imb,5,1818,-1.82,-6.82,0.355,-29.63,-9.93
avg_vwap_dev_pct,1,1822,0.19,-4.81,0.286,-94.45,-14.18
avg_vwap_dev_pct,3,1820,0.12,-4.88,0.359,-32.63,-8.48
avg_vwap_dev_pct,5,1818,-0.38,-5.38,0.388,-22.74,-7.63
