feature,fwd_bars,n_bars,gross_bps,net_bps,win_rate,ann_sharpe,t_stat
l1_imb,1,22207,-0.02,-5.02,0.035,-370.48,-194.16
l1_imb,3,22205,-0.04,-5.04,0.094,-134.64,-122.22
l1_imb,6,22202,0.01,-4.99,0.158,-66.8,-85.75
l1_imb,12,22196,0.07,-4.93,0.229,-31.48,-57.13
depth10_imb,1,22206,-0.14,-5.14,0.036,-391.5,-205.18
depth10_imb,3,22204,-0.14,-5.14,0.101,-150.71,-136.8
depth10_imb,6,22201,-0.22,-5.22,0.159,-74.54,-95.67
depth10_imb,12,22195,-0.37,-5.37,0.226,-35.94,-65.23
w_imb,1,22206,-0.08,-5.08,0.035,-364.18,-190.86
w_imb,3,22204,-0.07,-5.07,0.101,-132.19,-119.99
w_imb,6,22201,-0.1,-5.1,0.162,-68.96,-88.52
w_imb,12,22195,-0.32,-5.32,0.23,-33.28,-60.41
