symbol,n,IC,t_stat,feature
285A,1807,0.0984,4.2,avg_l1_imb
3436,1794,-0.01,-0.42,avg_l1_imb
4062,1819,0.0083,0.35,avg_l1_imb
4063,1814,-0.0283,-1.2,avg_l1_imb
5016,1808,0.0761,3.24,avg_l1_imb
5706,1748,-0.0528,-2.21,avg_l1_imb
5711,1456,0.006,0.23,avg_l1_imb
5713,1789,-0.0584,-2.48,avg_l1_imb
5714,523,-0.0277,-0.63,avg_l1_imb
5801,1813,0.0081,0.34,avg_l1_imb
5802,1811,0.0515,2.19,avg_l1_imb
5803,1631,0.0736,2.98,avg_l1_imb
6146,1707,-0.0021,-0.09,avg_l1_imb
6526,1813,0.0321,1.37,avg_l1_imb
6723,1795,0.0047,0.2,avg_l1_imb
6857,1816,0.0226,0.96,avg_l1_imb
6920,1784,0.0717,3.03,avg_l1_imb
6963,1795,-0.0086,-0.37,avg_l1_imb
7735,1591,0.0182,0.72,avg_l1_imb
7741,861,-0.0375,-1.1,avg_l1_imb
8035,1793,0.0354,1.5,avg_l1_imb
9984,1810,0.0359,1.53,avg_l1_imb
285A,1807,-0.1262,-5.4,avg_depth10_imb
3436,1794,-0.0188,-0.8,avg_depth10_imb
4062,1819,-0.0959,-4.11,avg_depth10_imb
4063,1814,-0.0589,-2.51,avg_depth10_imb
5016,1808,-0.0693,-2.95,avg_depth10_imb
5706,1748,-0.0186,-0.78,avg_depth10_imb
5711,1456,-0.057,-2.18,avg_depth10_imb
5713,1789,-0.0356,-1.51,avg_depth10_imb
5714,523,-0.0357,-0.82,avg_depth10_imb
5801,1813,-0.0966,-4.13,avg_depth10_imb
5802,1811,-0.0442,-1.88,avg_depth10_imb
5803,1631,-0.1224,-4.98,avg_depth10_imb
6146,1707,-0.0947,-3.93,avg_depth10_imb
6526,1813,-0.0721,-3.08,avg_depth10_imb
6723,1795,-0.0736,-3.12,avg_depth10_imb
6857,1816,-0.0716,-3.06,avg_depth10_imb
6920,1784,-0.0701,-2.97,avg_depth10_imb
6963,1795,-0.0426,-1.81,avg_depth10_imb
7735,1591,-0.0833,-3.33,avg_depth10_imb
7741,861,-0.036,-1.06,avg_depth10_imb
8035,1793,-0.0385,-1.63,avg_depth10_imb
9984,1810,-0.1413,-6.07,avg_depth10_imb
285A,1807,-0.145,-6.22,avg_w_imb
3436,1794,0.0072,0.31,avg_w_imb
4062,1819,-0.0805,-3.44,avg_w_imb
4063,1814,-0.0316,-1.35,avg_w_imb
5016,1808,-0.0907,-3.87,avg_w_imb
5706,1748,0.0253,1.06,avg_w_imb
5711,1456,-0.0392,-1.49,avg_w_imb
5713,1789,-0.0051,-0.21,avg_w_imb
5714,523,0.0327,0.75,avg_w_imb
5801,1813,-0.0642,-2.74,avg_w_imb
5802,1811,-0.0609,-2.6,avg_w_imb
5803,1631,-0.1335,-5.44,avg_w_imb
6146,1707,-0.0637,-2.64,avg_w_imb
6526,1813,-0.074,-3.16,avg_w_imb
6723,1795,-0.0751,-3.19,avg_w_imb
6857,1816,-0.0623,-2.66,avg_w_imb
6920,1784,-0.0923,-3.91,avg_w_imb
6963,1795,-0.0261,-1.1,avg_w_imb
7735,1591,-0.0709,-2.83,avg_w_imb
7741,861,0.0216,0.63,avg_w_imb
8035,1793,-0.0498,-2.11,avg_w_imb
9984,1810,-0.136,-5.84,avg_w_imb
285A,1807,0.0233,0.99,avg_vwap_dev_pct
3436,1794,0.0109,0.46,avg_vwap_dev_pct
4062,1819,0.0153,0.65,avg_vwap_dev_pct
4063,1814,0.013,0.55,avg_vwap_dev_pct
5016,1808,0.0075,0.32,avg_vwap_dev_pct
5706,1748,-0.0012,-0.05,avg_vwap_dev_pct
5711,1456,-0.0027,-0.1,avg_vwap_dev_pct
5713,1789,-0.0138,-0.58,avg_vwap_dev_pct
5714,523,-0.0406,-0.93,avg_vwap_dev_pct
5801,1813,0.0068,0.29,avg_vwap_dev_pct
5802,1811,0.0183,0.78,avg_vwap_dev_pct
5803,1631,-0.0092,-0.37,avg_vwap_dev_pct
6146,1707,0.0029,0.12,avg_vwap_dev_pct
6526,1813,-0.0251,-1.07,avg_vwap_dev_pct
6723,1795,-0.026,-1.1,avg_vwap_dev_pct
6857,1816,-0.0259,-1.1,avg_vwap_dev_pct
6920,1784,-0.0081,-0.34,avg_vwap_dev_pct
6963,1795,-0.0144,-0.61,avg_vwap_dev_pct
7735,1591,-0.0192,-0.77,avg_vwap_dev_pct
7741,861,-0.0564,-1.66,avg_vwap_dev_pct
8035,1793,-0.0051,-0.22,avg_vwap_dev_pct
9984,1810,0.0143,0.61,avg_vwap_dev_pct
