label,hold,n_obs,n_days,gross_bps,net_bps,win_rate,sharpe,t_stat,dow_filter
全曜日_ALL,5,8636,214,36.9,16.9,0.486,0.17,0.36,全曜日
全曜日_IS,5,3932,107,-6.6,-26.6,0.467,-0.31,-0.47,全曜日
全曜日_OOS,5,4704,107,80.3,60.3,0.505,0.55,0.81,全曜日
全曜日_ALL,10,8577,213,70.0,50.0,0.559,0.38,1.11,全曜日
全曜日_IS,10,3932,107,9.4,-10.6,0.523,-0.09,-0.19,全曜日
全曜日_OOS,10,4645,106,131.1,111.1,0.594,0.77,1.59,全曜日
全曜日_ALL,20,8032,204,130.0,110.0,0.529,0.38,1.56,全曜日
全曜日_IS,20,3932,107,110.8,90.8,0.561,0.37,1.1,全曜日
全曜日_OOS,20,4100,97,151.1,131.1,0.495,0.4,1.11,全曜日
月_ALL,5,1971,44,218.2,198.2,0.5,1.33,1.26,月
月_IS,5,1007,24,-10.0,-30.0,0.417,-0.43,-0.3,月
月_OOS,5,964,20,492.1,472.1,0.6,2.33,1.49,月
月_ALL,10,1971,44,201.3,181.3,0.614,1.04,1.39,月
月_IS,10,1007,24,27.1,7.1,0.583,0.06,0.06,月
月_OOS,10,964,20,410.4,390.4,0.65,1.8,1.63,月
月_ALL,20,1846,42,356.8,336.8,0.571,0.91,1.69,月
月_IS,20,1007,24,243.2,223.2,0.625,1.01,1.42,月
月_OOS,20,839,18,508.3,488.3,0.5,0.96,1.16,月
火_ALL,5,2119,47,-110.6,-130.6,0.447,-1.79,-1.75,火
火_IS,5,1052,26,-56.0,-76.0,0.5,-1.03,-0.75,火
火_OOS,5,1067,21,-178.2,-198.2,0.381,-2.7,-1.77,火
火_ALL,10,2060,46,-72.9,-92.9,0.5,-0.98,-1.34,火
火_IS,10,1052,26,-111.1,-131.1,0.423,-1.42,-1.46,火
火_OOS,10,1008,20,-23.1,-43.1,0.6,-0.43,-0.39,火
火_ALL,20,2018,45,-123.3,-143.3,0.378,-0.61,-1.17,火
火_IS,20,1052,26,-245.8,-265.8,0.346,-1.04,-1.51,火
火_OOS,20,966,19,44.4,24.4,0.421,0.12,0.15,火
水_ALL,5,1340,38,92.4,72.4,0.526,0.92,0.81,水
水_IS,5,617,19,162.6,142.6,0.526,1.45,0.9,水
水_OOS,5,723,19,22.1,2.1,0.526,0.04,0.03,水
水_ALL,10,1340,38,37.1,17.1,0.579,0.13,0.16,水
水_IS,10,617,19,69.1,49.1,0.579,0.35,0.3,水
水_OOS,10,723,19,5.1,-14.9,0.579,-0.11,-0.1,水
水_ALL,20,1285,37,160.2,140.2,0.649,0.49,0.85,水
水_IS,20,617,19,352.4,332.4,0.737,1.08,1.35,水
水_OOS,20,668,18,-42.7,-62.7,0.556,-0.24,-0.3,水
木_ALL,5,1577,42,5.2,-14.8,0.429,-0.22,-0.2,木
木_IS,5,657,19,117.5,97.5,0.474,1.58,0.99,木
木_OOS,5,920,23,-87.6,-107.6,0.391,-1.54,-1.06,木
木_ALL,10,1577,42,85.2,65.2,0.548,0.55,0.72,木
木_IS,10,657,19,147.9,127.9,0.579,1.2,1.06,木
木_OOS,10,920,23,33.4,13.4,0.522,0.1,0.1,木
木_ALL,20,1398,39,35.0,15.0,0.487,0.06,0.11,木
木_IS,20,657,19,156.7,136.7,0.579,0.74,0.92,木
木_OOS,20,741,20,-80.7,-100.7,0.4,-0.37,-0.47,木
金_ALL,5,1629,43,-5.6,-25.6,0.535,-0.26,-0.25,金
金_IS,5,599,19,-227.8,-247.8,0.421,-2.19,-1.36,金
金_OOS,5,1030,24,170.3,150.3,0.625,1.99,1.4,金
金_ALL,10,1629,43,102.6,82.6,0.558,0.65,0.86,金
金_IS,10,599,19,-46.3,-66.3,0.474,-0.5,-0.44,金
金_OOS,10,1030,24,220.4,200.4,0.625,1.67,1.65,金
金_ALL,20,1485,41,238.6,218.6,0.585,0.76,1.39,金
金_IS,20,599,19,144.1,124.1,0.579,0.58,0.72,金
金_OOS,20,886,22,320.3,300.3,0.591,0.88,1.17,金
月曜除外_ALL,5,6665,170,-10.1,-30.1,0.482,-0.38,-0.7,月曜除外
月曜除外_IS,5,2925,83,-5.6,-25.6,0.482,-0.29,-0.38,月曜除外
月曜除外_OOS,5,3740,87,-14.4,-34.4,0.483,-0.49,-0.65,月曜除外
月曜除外_ALL,10,6606,169,35.8,15.8,0.544,0.13,0.35,月曜除外
月曜除外_IS,10,2925,83,4.3,-15.7,0.506,-0.13,-0.25,月曜除外
月曜除外_OOS,10,3681,86,66.2,46.2,0.581,0.38,0.72,月曜除外
月曜除外_ALL,20,6186,162,71.2,51.2,0.519,0.2,0.71,月曜除外
月曜除外_IS,20,2925,83,72.5,52.5,0.542,0.21,0.55,月曜除外
月曜除外_OOS,20,3261,79,69.7,49.7,0.494,0.18,0.46,月曜除外
月曜のみ_ALL,5,1971,44,218.2,198.2,0.5,1.33,1.26,月曜のみ
月曜のみ_IS,5,1007,24,-10.0,-30.0,0.417,-0.43,-0.3,月曜のみ
月曜のみ_OOS,5,964,20,492.1,472.1,0.6,2.33,1.49,月曜のみ
月曜のみ_ALL,10,1971,44,201.3,181.3,0.614,1.04,1.39,月曜のみ
月曜のみ_IS,10,1007,24,27.1,7.1,0.583,0.06,0.06,月曜のみ
月曜のみ_OOS,10,964,20,410.4,390.4,0.65,1.8,1.63,月曜のみ
月曜のみ_ALL,20,1846,42,356.8,336.8,0.571,0.91,1.69,月曜のみ
月曜のみ_IS,20,1007,24,243.2,223.2,0.625,1.01,1.42,月曜のみ
月曜のみ_OOS,20,839,18,508.3,488.3,0.5,0.96,1.16,月曜のみ
火水木_ALL,5,5036,127,-11.6,-31.6,0.465,-0.43,-0.69,火水木
火水木_IS,5,2326,64,60.4,40.4,0.5,0.51,0.59,火水木
火水木_OOS,5,2710,63,-84.7,-104.7,0.429,-1.58,-1.79,火水木
火水木_ALL,10,4977,126,13.0,-7.0,0.54,-0.06,-0.14,火水木
火水木_IS,10,2326,64,19.3,-0.7,0.516,-0.01,-0.01,火水木
火水木_OOS,10,2651,62,6.5,-13.5,0.565,-0.11,-0.18,火水木
火水木_ALL,20,4701,121,14.4,-5.6,0.496,-0.02,-0.07,火水木
火水木_IS,20,2326,64,51.3,31.3,0.531,0.12,0.27,火水木
火水木_OOS,20,2375,57,-27.0,-47.0,0.456,-0.2,-0.42,火水木
木金_ALL,5,3206,85,-0.3,-20.3,0.482,-0.24,-0.32,木金
木金_IS,5,1256,38,-55.2,-75.2,0.447,-0.81,-0.71,木金
木金_OOS,5,1950,47,44.1,24.1,0.511,0.32,0.32,木金
木金_ALL,10,3206,85,94.0,74.0,0.553,0.6,1.13,木金
木金_IS,10,1256,38,50.8,30.8,0.526,0.26,0.32,木金
木金_OOS,10,1950,47,128.9,108.9,0.574,0.87,1.21,木金
木金_ALL,20,2883,80,139.3,119.3,0.538,0.45,1.16,木金
木金_IS,20,1256,38,150.4,130.4,0.579,0.66,1.17,木金
木金_OOS,20,1627,42,129.4,109.4,0.5,0.35,0.65,木金
