label,gap_q,n,mean_bps,t,wr
全期間,0,1955,1.1136424439957506,0.12436591724134893,46.24040920716113
全期間,1,1955,-8.721215792989147,-1.1461303838149988,48.18414322250639
全期間,2,1955,9.040867635596674,1.3043123010772053,48.84910485933504
全期間,3,1955,-1.8535576305299695,-0.23918842683723068,48.08184143222506
全期間,4,1955,18.1558018427713,1.745455046129969,47.51918158567775
IS(<2024),0,1044,17.071998556670575,1.4541197337060943,47.98850574712644
IS(<2024),1,1043,-8.55863981335974,-0.8766936423795156,47.84276126558006
IS(<2024),2,1043,16.655154306942364,1.70634359832424,50.04793863854267
IS(<2024),3,1043,-7.661636533835893,-0.7759077252596183,46.692233940556086
IS(<2024),4,1043,30.63610745730558,2.3107172758415504,48.513902205177374
OOS(2024+),0,912,-14.836938895471086,-1.0825545589634453,44.29824561403509
OOS(2024+),1,912,-12.390842372286441,-1.050439327002243,48.35526315789473
OOS(2024+),2,911,7.1775431564049175,0.7005606337966949,48.73765093304062
OOS(2024+),3,912,2.165744079513923,0.18537954706400378,48.35526315789473
OOS(2024+),4,912,0.8340017349614735,0.05053229494130133,46.60087719298245
大ギャップ上昇(≥150bps),0,968,2.83992114538727,0.29413843838355686,48.86363636363637
大ギャップ上昇(≥150bps),1,967,-0.5968307858137278,-0.056249532059005986,47.569803516028955
大ギャップ上昇(≥150bps),2,967,-0.4291424496956137,-0.03744069808705641,48.500517063081695
大ギャップ上昇(≥150bps),3,967,17.121991323263913,1.3675776701404576,49.9482936918304
大ギャップ上昇(≥150bps),4,968,18.00008532894883,1.0694140811928325,45.14462809917356
大ギャップ下落(≤-150bps),0,797,23.96213634413096,1.538731622385646,46.800501882057716
大ギャップ下落(≤-150bps),1,796,-21.303925582244066,-1.5931708964105045,45.22613065326633
大ギャップ下落(≤-150bps),2,796,-6.013372464898745,-0.5014760865622779,48.743718592964825
大ギャップ下落(≤-150bps),3,796,-13.225946999785593,-1.13711921452579,48.618090452261306
大ギャップ下落(≤-150bps),4,796,-2.6996465561295806,-0.22805854046186605,46.608040201005025
