label,factor,n_months,gross_bps,net_bps,win_rate,sharpe,t_stat,mode
ALL,margin_ratio,61,-4.6,-14.6,0.443,-0.17,-0.38,mixed
ALL,long_chg,61,-49.5,-59.5,0.393,-1.02,-2.29,mixed
ALL,short_chg,61,63.5,53.5,0.689,0.63,1.42,mixed
ALL,net_chg,61,-59.0,-69.0,0.361,-0.83,-1.88,mixed
ALL,margin_ratio,61,-8.6,-18.6,0.459,-0.26,-0.59,sector_neutral
ALL,long_chg,61,-34.3,-44.3,0.328,-0.89,-2.0,sector_neutral
ALL,short_chg,61,64.5,54.5,0.656,0.92,2.07,sector_neutral
ALL,net_chg,61,-70.6,-80.6,0.311,-1.38,-3.1,sector_neutral
ALL,margin_ratio,61,30.6,20.6,0.574,0.32,0.73,size_neutral
ALL,long_chg,61,-59.3,-69.3,0.393,-1.09,-2.46,size_neutral
ALL,short_chg,61,20.0,10.0,0.541,0.15,0.33,size_neutral
ALL,net_chg,61,-25.4,-35.4,0.393,-0.54,-1.23,size_neutral
ALL,margin_ratio,61,6.7,-3.3,0.475,-0.07,-0.15,sector_size_neutral
ALL,long_chg,61,-49.0,-59.0,0.311,-1.17,-2.63,sector_size_neutral
ALL,short_chg,61,36.6,26.6,0.656,0.54,1.22,sector_size_neutral
ALL,net_chg,61,-53.8,-63.8,0.279,-1.33,-2.99,sector_size_neutral
IS,margin_ratio,34,3.2,-6.8,0.471,-0.08,-0.13,mixed
IS,long_chg,34,-67.4,-77.4,0.353,-1.48,-2.49,mixed
IS,short_chg,34,101.4,91.4,0.706,1.39,2.35,mixed
IS,net_chg,34,-89.3,-99.3,0.353,-1.54,-2.58,mixed
IS,margin_ratio,34,11.8,1.8,0.529,0.03,0.04,sector_neutral
IS,long_chg,34,-52.6,-62.6,0.235,-1.31,-2.2,sector_neutral
IS,short_chg,34,86.0,76.0,0.647,1.48,2.49,sector_neutral
IS,net_chg,34,-93.1,-103.1,0.265,-2.0,-3.37,sector_neutral
IS,margin_ratio,34,55.6,45.6,0.588,0.72,1.21,size_neutral
IS,long_chg,34,-45.8,-55.8,0.412,-0.85,-1.42,size_neutral
IS,short_chg,34,42.5,32.5,0.529,0.69,1.16,size_neutral
IS,net_chg,34,-46.7,-56.7,0.382,-1.13,-1.9,size_neutral
IS,margin_ratio,34,7.6,-2.4,0.471,-0.05,-0.08,sector_size_neutral
IS,long_chg,34,-60.0,-70.0,0.324,-1.45,-2.45,sector_size_neutral
IS,short_chg,34,78.5,68.5,0.676,1.59,2.68,sector_size_neutral
IS,net_chg,34,-69.2,-79.2,0.265,-1.74,-2.93,sector_size_neutral
OOS,margin_ratio,27,-14.4,-24.4,0.407,-0.29,-0.43,mixed
OOS,long_chg,27,-27.1,-37.1,0.444,-0.56,-0.84,mixed
OOS,short_chg,27,15.8,5.8,0.667,0.06,0.08,mixed
OOS,net_chg,27,-21.0,-31.0,0.37,-0.31,-0.46,mixed
OOS,margin_ratio,27,-34.2,-44.2,0.37,-0.6,-0.9,sector_neutral
OOS,long_chg,27,-11.3,-21.3,0.444,-0.41,-0.61,sector_neutral
OOS,short_chg,27,37.3,27.3,0.667,0.4,0.6,sector_neutral
OOS,net_chg,27,-42.3,-52.3,0.37,-0.79,-1.18,sector_neutral
OOS,margin_ratio,27,-1.0,-11.0,0.556,-0.17,-0.26,size_neutral
OOS,long_chg,27,-76.1,-86.1,0.37,-1.41,-2.11,size_neutral
OOS,short_chg,27,-8.4,-18.4,0.556,-0.21,-0.32,size_neutral
OOS,net_chg,27,1.4,-8.6,0.407,-0.11,-0.16,size_neutral
OOS,margin_ratio,27,5.5,-4.5,0.481,-0.1,-0.15,sector_size_neutral
OOS,long_chg,27,-35.2,-45.2,0.296,-0.84,-1.25,sector_size_neutral
OOS,short_chg,27,-16.2,-26.2,0.63,-0.49,-0.74,sector_size_neutral
OOS,net_chg,27,-34.3,-44.3,0.296,-0.86,-1.3,sector_size_neutral
