label,hold,n_signal,n_weeks,bull_avg_bps,bear_avg_bps,gross_bps,net_bps,win_rate,sharpe,t_stat
ALL,5,22758,281,-5.2,9.0,-19.4,-39.4,0.406,-1.32,-3.06
ALL,10,22583,280,2.2,19.2,-8.5,-28.5,0.429,-0.69,-1.59
ALL,20,22228,278,17.1,37.0,-21.3,-41.3,0.464,-0.76,-1.75
IS,5,11307,156,-6.8,4.6,-20.0,-40.0,0.397,-1.15,-2.0
IS,10,11286,156,15.5,15.8,10.5,-9.5,0.442,-0.2,-0.35
IS,20,11243,156,28.2,31.5,12.2,-7.8,0.481,-0.14,-0.24
OOS,5,11451,125,-3.7,13.8,-18.7,-38.7,0.416,-1.69,-2.61
OOS,10,11297,124,-10.0,22.9,-32.6,-52.6,0.411,-1.54,-2.38
OOS,20,10985,122,6.8,43.2,-64.0,-84.0,0.443,-1.63,-2.5
ALL_SN,5,22758,281,-5.2,9.0,-19.4,-39.4,0.406,-1.32,-3.06
ALL_SN,10,22583,280,2.2,19.2,-8.5,-28.5,0.429,-0.69,-1.59
ALL_SN,20,22228,278,17.1,37.0,-21.3,-41.3,0.464,-0.76,-1.75
IS_SN,5,11307,156,-6.8,4.6,-20.0,-40.0,0.397,-1.15,-2.0
IS_SN,10,11286,156,15.5,15.8,10.5,-9.5,0.442,-0.2,-0.35
IS_SN,20,11243,156,28.2,31.5,12.2,-7.8,0.481,-0.14,-0.24
OOS_SN,5,11451,125,-3.7,13.8,-18.7,-38.7,0.416,-1.69,-2.61
OOS_SN,10,11297,124,-10.0,22.9,-32.6,-52.6,0.411,-1.54,-2.38
OOS_SN,20,10985,122,6.8,43.2,-64.0,-84.0,0.443,-1.63,-2.5
