scenario,label,hold,n_days,n_obs,gross_bps,net_bps,win_rate,sharpe,t_stat
A_baseline,ALL,5,214,11321,39.0,19.0,0.491,0.19,0.4
A_baseline,ALL,10,213,11252,76.6,56.6,0.563,0.43,1.26
A_baseline,ALL,20,204,10699,135.0,115.0,0.534,0.4,1.63
A_baseline,IS,5,107,5366,-6.6,-26.6,0.467,-0.31,-0.47
A_baseline,IS,10,107,5366,9.4,-10.6,0.523,-0.09,-0.19
A_baseline,IS,20,107,5366,110.8,90.8,0.561,0.37,1.1
A_baseline,OOS,5,107,5955,84.6,64.6,0.514,0.59,0.87
A_baseline,OOS,10,106,5886,144.3,124.3,0.604,0.86,1.78
A_baseline,OOS,20,97,5333,161.7,141.7,0.505,0.43,1.21
B_car0_3pct,ALL,5,46,4145,-1.5,-21.5,0.522,-0.2,-0.2
B_car0_3pct,ALL,10,45,4112,22.6,2.6,0.511,0.01,0.02
B_car0_3pct,ALL,20,40,3843,153.0,133.0,0.575,0.44,0.8
B_car0_3pct,IS,5,11,1778,32.7,12.7,0.636,0.16,0.07
B_car0_3pct,IS,10,11,1778,-217.7,-237.7,0.455,-1.31,-0.88
B_car0_3pct,IS,20,11,1778,-70.8,-90.8,0.636,-0.24,-0.23
B_car0_3pct,OOS,5,35,2367,-12.2,-32.2,0.486,-0.28,-0.24
B_car0_3pct,OOS,10,34,2334,100.4,80.4,0.529,0.46,0.54
B_car0_3pct,OOS,20,29,2065,237.9,217.9,0.552,0.8,1.23
C_sector_neutral,ALL,5,186,4120,-29.7,-49.7,0.473,-0.71,-1.38
C_sector_neutral,ALL,10,185,4084,-61.1,-81.1,0.476,-0.55,-1.51
C_sector_neutral,ALL,20,177,3749,-46.3,-66.3,0.542,-0.24,-0.91
C_sector_neutral,IS,5,79,1729,-13.1,-33.1,0.443,-0.61,-0.78
C_sector_neutral,IS,10,79,1729,-66.0,-86.0,0.456,-0.68,-1.22
C_sector_neutral,IS,20,79,1729,2.0,-18.0,0.557,-0.06,-0.16
C_sector_neutral,OOS,5,107,2391,-41.9,-61.9,0.495,-0.77,-1.14
C_sector_neutral,OOS,10,106,2355,-57.5,-77.5,0.491,-0.48,-1.0
C_sector_neutral,OOS,20,98,2020,-85.2,-105.2,0.531,-0.38,-1.08
D_sector_extreme,ALL,5,41,575,23.0,3.0,0.512,0.02,0.02
D_sector_extreme,ALL,10,41,567,62.8,42.8,0.537,0.18,0.24
D_sector_extreme,ALL,20,36,462,239.9,219.9,0.556,0.46,0.79
D_sector_extreme,OOS,5,26,369,36.8,16.8,0.538,0.13,0.1
D_sector_extreme,OOS,10,26,361,159.1,139.1,0.538,0.65,0.67
D_sector_extreme,OOS,20,21,256,-173.1,-193.1,0.524,-0.5,-0.65
