,eneos_vwap_trend,vwap_morning_meanrevert,lasertec_ma25_support,bank_absorption
2024-11-07,0.005294760820045608,0.0025134917077544562,0.0,0.0
2024-11-08,0.010965087472864244,0.0,0.0,0.002061248471546169
2024-11-11,0.0,0.0,0.0,0.0040521172446358646
2024-11-12,0.0,0.0,0.0,0.0035628671790747988
2024-11-13,0.05017709765270401,0.0,0.0,0.0038690779197278076
2024-11-14,0.0,0.0,0.0,0.004063999461579188
2024-11-15,0.0,0.0,0.0,0.005897839599746937
2024-11-18,0.0,0.0,0.0,0.0023498791016331017
2024-11-19,0.0,0.0,0.0,0.002474416090819314
2024-11-20,0.0,0.0,0.0,0.0012837320946736197
2024-11-21,-0.0026915340547422504,0.0,0.0,0.0005184015033546106
2024-11-22,0.00529095632809602,0.0,0.0,0.0005909564040276065
2024-11-25,0.0,0.0,0.0,0.001007031574016284
2024-11-26,0.0017394412282910167,0.0,0.0,0.0
2024-11-27,0.0,0.0,0.0,0.0
2024-11-28,0.0,0.0022556387967405424,0.0,0.0
2024-11-29,0.0,0.0,0.0,0.0
2024-12-02,0.0,0.0,0.0,0.0
2024-12-03,0.0,0.0,0.0,0.0
2024-12-04,0.0,0.0,0.0,0.0004361290322580836
2024-12-05,0.0006936930368209419,0.0,0.0,0.0004361290322580836
2024-12-06,0.0,0.0,0.0,0.0004361290322580836
2024-12-09,-0.007649999999999979,0.0,0.0,0.0004361290322580836
2024-12-10,0.008946943795351171,0.0,0.0,0.0004361290322580836
2024-12-11,0.0,0.0,0.0,0.0
2024-12-12,0.0,0.0,0.0,0.0
2024-12-13,0.0,0.0,0.0,0.0
2024-12-16,0.0023241208519069858,0.0,0.0,0.0
2024-12-17,0.0,0.0,0.0,0.0
2024-12-18,0.0,0.0,0.0,0.0
2024-12-19,0.0,0.0,0.0,0.0
2024-12-20,0.0,0.0,0.0,0.0
2024-12-23,0.0,0.0,0.0,0.004988094848218807
2024-12-24,0.0,0.0,0.0,0.004988094848218807
2024-12-25,0.0,0.0,0.0,0.004988094848218807
2024-12-26,0.0,0.0,0.0,0.004988094848218807
2024-12-27,0.0,0.0,0.0,0.004988094848218807
2024-12-30,0.0,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0,0.0
2025-01-07,-0.012556576707998967,-0.010839970171513879,0.0,0.0
2025-01-08,0.0,0.0,0.0,-0.00018167768174884628
2025-01-09,0.0,0.0,0.0,-0.00018167768174884628
2025-01-10,0.0,0.0,0.0,-0.00018167768174884628
2025-01-14,-0.02262762055143923,0.0,0.0,-0.00018167768174884628
2025-01-15,0.0,0.0,0.0,0.002107663397627815
2025-01-16,8.953616448410563e-05,0.0,0.0,0.004397004477004476
2025-01-17,-0.021637189776515787,0.0,0.0,0.004397004477004476
2025-01-20,0.0,0.0,0.0,0.004397004477004476
2025-01-21,0.0,0.0,0.0,0.004397004477004476
2025-01-22,0.0,-0.037599124726477126,0.0,0.0
2025-01-23,0.0,0.0,0.0,0.0
2025-01-24,0.0,0.0,0.0,0.0
2025-01-27,0.0,0.0,0.0,0.009330631983657125
2025-01-28,0.0,0.00021206900738630593,0.0,0.0028275837667266737
2025-01-29,0.0,0.0,0.0,0.0028275837667266737
2025-01-30,0.0,0.0,0.0,0.0028275837667266737
2025-01-31,0.0,0.0,0.0,0.0028275837667266737
2025-02-03,0.0,0.046581953951462314,0.0,-0.0006372178562063561
2025-02-04,0.0,0.0,0.0,-0.003661712708589033
2025-02-05,0.0,0.0,0.0,-0.003234480749180954
2025-02-06,0.0,0.0,0.0,-0.002685676706033065
2025-02-07,0.0,0.0,0.0,-0.0026571633265523365
2025-02-10,0.0,0.0,0.0,-0.0026959099810978417
2025-02-12,-0.005618940936863481,0.0,0.0,-0.00015402246855523492
2025-02-13,0.0,0.0,0.0,-0.0005463043261487334
2025-02-14,0.0,0.0,0.0,0.0027774638289410204
2025-02-17,-0.015026725953662546,0.0,0.0,0.004446439316701833
2025-02-18,0.0041098504628531264,0.0,0.0,0.000516863021178429
2025-02-19,0.0,0.0,0.0,0.00018648124263081855
2025-02-20,0.0,0.0,0.0,0.00032676641557687254
2025-02-21,0.0003066305499940917,0.0,0.0,-0.0016535049511676987
2025-02-25,0.01818108108108103,0.028482331453536243,0.0,-0.0016535049511676987
2025-02-26,0.0,0.0,0.0,-0.0006049959165023763
2025-02-27,0.0,0.0,0.0,-0.0012000334661410237
2025-02-28,-0.00190432493418573,0.0,0.0,0.0041243132280671755
2025-03-03,-0.00846451612903225,0.0,0.0,0.0031245068791920863
2025-03-04,0.0,0.0,0.0,0.0031245068791920863
2025-03-05,0.0,0.00943248361252731,0.0,0.0031245068791920863
2025-03-06,0.0,0.0,0.0,0.003796136368044048
2025-03-07,0.0,0.04389451452038724,0.0,0.00245796931327536
2025-03-10,0.0,-0.04040000000000003,0.0,0.009906504723346811
2025-03-11,-0.012198262673408556,0.004199211563731886,0.0,0.01221527498765901
2025-03-12,0.0,0.0,0.0,0.01921321512201121
2025-03-13,0.0,0.0,0.0,0.01921321512201121
2025-03-14,0.0,0.0,0.0,0.01921321512201121
2025-03-17,0.0,0.0,0.0,0.021074557201744087
2025-03-18,0.0,0.0,0.0,0.019214841398938264
2025-03-19,0.0,0.0,0.0,0.0009960560402859447
2025-03-21,0.0,0.0,0.0,0.0009960560402859447
2025-03-24,0.0,0.0,0.0,0.0009960560402859447
2025-03-25,0.0,0.0,0.0,0.0009960560402859447
2025-03-26,0.0,0.0,0.0,-0.0032333541573702136
2025-03-27,0.0,0.0,0.0,-0.008819076154806491
2025-03-28,0.0,0.0,0.0,-0.008819076154806491
2025-03-31,0.0,0.0,0.0,-0.021492304810127146
2025-04-01,0.010151438261524938,0.0,0.0,-0.021492304810127146
2025-04-02,0.0026860228880031924,0.0,0.0,-0.021492304810127146
2025-04-03,-0.008834864104967189,0.0,0.0,-0.034165533465447796
2025-04-04,0.0,0.0,0.0,0.0005804117392100832
2025-04-07,0.015846684350132544,0.0216765984159718,0.0,0.018533791773152838
2025-04-08,0.0,0.0,0.0,0.017123139268780663
2025-04-09,-0.006791818472355371,0.0,0.0,0.017072183425368866
2025-04-10,0.00150281030444972,0.0,0.0,0.014616992066330034
2025-04-11,0.0,0.0,0.0,0.017309100198261696
2025-04-14,0.0,0.0,0.0,0.007583537907906269
2025-04-15,0.0,0.0,0.0,0.00542784733296229
2025-04-16,0.0,0.0,0.0,0.004536035903000303
2025-04-17,0.0,0.0,0.0,0.0117529295645886
2025-04-18,0.0,0.021949570200573153,0.0,0.0
2025-04-21,0.0,0.0,0.0,0.0
2025-04-22,0.0,0.0,0.0,0.0
2025-04-23,0.0052760296900014715,0.0,0.0,0.0
2025-04-24,0.0,0.0,0.0,0.0
2025-04-25,0.0,0.0,0.0,0.0
2025-04-28,-0.00471220353600692,0.0,0.0,-0.005132264808362361
2025-04-30,0.0,-0.01490381679389312,0.0,-0.005132264808362361
2025-05-01,0.0,-0.004200967519004939,0.0,-0.005132264808362361
2025-05-02,0.0,0.0,0.0,-0.005132264808362361
2025-05-07,0.0,0.0,0.0,0.024752735613037924
2025-05-08,0.0,0.0,0.0,0.034714402420171354
2025-05-09,-0.004314988814317732,0.0,0.0,0.034714402420171354
2025-05-12,0.0,0.0,0.0,0.034714402420171354
2025-05-13,0.006319252118025155,0.0,0.0,0.01885553389918553
2025-05-14,0.0,0.0,0.0,-0.003266928538135104
2025-05-15,0.0,0.0,0.0,-4.369727190740171e-05
2025-05-16,0.0,0.0,0.0,0.00028885272487776565
2025-05-19,0.0,0.0,0.0,0.001503496993804678
2025-05-20,0.0,0.0,0.0,0.0036489189525039756
2025-05-21,0.0,0.0,0.0,0.0062739225257444605
2025-05-22,0.0,0.0,0.0,0.0032878836275118672
2025-05-23,0.0,0.0,0.0,0.003621953857188934
2025-05-26,0.0,0.0,0.0,0.0020964779137924517
2025-05-27,0.0,0.0,0.0,0.0020964779137924517
2025-05-28,0.0,0.0,0.0,0.0020964779137924517
2025-05-29,0.0,0.0,0.0,0.0
2025-05-30,0.0,0.0,0.0,0.0
2025-06-02,0.0,0.0,0.0,0.0
2025-06-03,0.0,0.0,0.0077572027972027955,0.0
2025-06-04,0.0,0.0,0.0077572027972027955,0.0
2025-06-05,0.0,0.0,0.0077572027972027955,0.0
2025-06-06,0.0,0.0,0.0077572027972027955,0.0
2025-06-09,0.0,0.0,0.0077572027972027955,0.0
2025-06-10,0.0,0.0,0.0077572027972027955,0.0
2025-06-11,0.0,0.0,0.0077572027972027955,0.0
2025-06-12,0.0,0.0,0.0077572027972027955,0.0
2025-06-13,4.0404040404066425e-06,0.0,0.0077572027972027955,0.0
2025-06-16,0.013984584068394713,0.0,0.0077572027972027955,-0.0036843587594300154
2025-06-17,0.0,0.0,0.0,-0.0036843587594300154
2025-06-18,0.0,0.012436185819070866,0.0,-0.0036843587594300154
2025-06-19,-0.003983735354927731,0.0,0.0,-0.0036843587594300154
2025-06-20,0.0,0.0,0.0,-0.0036843587594300154
2025-06-23,0.011928767123287677,0.0,0.0,0.0024771912144855275
2025-06-24,0.0,-0.004777564979480163,0.0,0.0024771912144855275
2025-06-25,0.0,0.0,0.0,0.0024771912144855275
2025-06-26,0.0,0.0,0.0,0.0024771912144855275
2025-06-27,0.0,0.0,0.0,0.0024771912144855275
2025-06-30,0.0,0.0,0.0,0.0
2025-07-01,0.0,0.0,0.0,0.00030486755835299666
2025-07-02,0.0,0.0,0.0,0.00030486755835299666
2025-07-03,0.0,0.0,0.0,0.00030486755835299666
2025-07-04,0.0,0.0,0.0,0.00030486755835299666
2025-07-07,0.0,0.0,0.0,0.00030486755835299666
2025-07-08,0.0,0.0,0.0,0.0
2025-07-09,0.0024436018957347374,0.0,0.0,0.0
2025-07-10,0.0,0.0,0.0,0.0
2025-07-11,0.0,0.0,0.0,-0.003514252146407601
2025-07-14,0.0,0.0,0.0,-0.003514252146407601
2025-07-15,0.0,-0.015099429574374755,0.0,-0.003514252146407601
2025-07-16,0.0,0.0,0.0,-0.003514252146407601
2025-07-17,0.0017771669614913947,0.0,0.0,-0.003514252146407601
2025-07-18,0.0,0.008074576271186419,-0.010039999999999999,0.0
2025-07-22,0.0,0.0,-0.010039999999999999,0.0
2025-07-23,0.0,0.0,-0.010039999999999999,0.0
2025-07-24,0.0,0.0,-0.010039999999999999,0.001060664547888696
2025-07-25,0.0,0.0,-0.010039999999999999,0.00044576640586530783
2025-07-28,0.0,0.0,-0.010039999999999999,0.00044576640586530783
2025-07-29,0.0,0.0,-0.010039999999999999,0.000855581556835366
2025-07-30,0.0,0.0,-0.010039999999999999,0.000541654297239485
2025-07-31,0.0,0.0,-0.010039999999999999,0.0002407058772856256
2025-08-01,0.0,0.0,-0.010039999999999999,0.0005139781935340395
2025-08-04,-0.0001425666108894493,0.0,0.0,0.0005139781935340395
2025-08-05,0.0,0.0,0.0,-0.0009888588350087301
2025-08-06,0.0,0.0,0.0,0.007345902923702998
2025-08-07,0.0009536795471327246,0.0,0.0,0.014699759737895892
2025-08-08,0.0,0.0,0.0,0.014699759737895892
2025-08-12,0.0,0.0,0.0,0.015261428631531985
2025-08-13,0.004978271782000787,0.0,0.0,0.012263202315946764
2025-08-14,0.0,0.0,0.0,0.010059207665372006
2025-08-15,0.009633835025084593,0.0,0.0,0.010059207665372006
2025-08-18,0.0,0.0,0.0,0.010059207665372006
2025-08-19,0.0,0.0,0.0,0.0068255413069488
2025-08-20,-0.004633409610984063,0.0,0.0,0.003792143034257314
2025-08-21,0.0,0.0,0.0,0.002918783643892333
2025-08-22,0.0,0.0,0.0,0.002918783643892333
2025-08-25,0.0,0.0,0.0,0.002918783643892333
2025-08-26,-0.0024913210177762045,0.0,0.0,0.002918783643892333
2025-08-27,0.010372833723653451,0.0,0.0,-0.0019246402951424411
2025-08-28,0.0,0.0,0.0,-0.0019246402951424411
2025-08-29,0.0,0.0,0.0,-0.0019246402951424411
2025-09-01,0.0,0.0,0.0,-0.0019246402951424411
2025-09-02,-0.006132554293903736,0.0,0.0,-0.0019246402951424411
2025-09-03,0.0,0.0,0.0,0.0
2025-09-04,0.0,0.0,0.0,0.005890611467824909
2025-09-05,0.0,0.0,0.0,0.005890611467824909
2025-09-08,0.0,0.0,0.0,0.005890611467824909
2025-09-09,0.0,0.0,0.0,0.005890611467824909
2025-09-10,0.0,0.0,0.0,0.003560675820457939
2025-09-11,0.0,0.0,0.0,-0.0034291311216429676
2025-09-12,0.0,0.0,0.0,-0.0034291311216429676
2025-09-16,0.016441644794400644,0.0,0.0,-0.0034291311216429676
2025-09-17,0.0,0.0,0.0,-0.0034291311216429676
2025-09-18,0.0,0.0,0.0,0.0
2025-09-19,0.0,0.011446510430079783,0.0,0.0
2025-09-22,0.0,-0.0018174344436570507,0.0,0.005264576307775839
2025-09-24,0.0,0.011353643629525135,0.0,0.005264576307775839
2025-09-25,0.0,0.0,0.0,0.005264576307775839
2025-09-26,0.0,0.0,0.0,0.005264576307775839
2025-09-29,0.0,0.0,0.0,0.002816809350366092
2025-09-30,-0.006716916488222634,0.0,0.0,-0.004608641050198665
2025-10-01,0.0,0.0,0.0,-0.0034535641657830554
2025-10-02,0.0,0.0,0.0,-0.0014889603588075628
2025-10-03,0.0,0.0,0.0,-0.0014889603588075628
2025-10-06,-0.0021219113215667383,0.005453658536585371,0.0,-0.0008794827898669702
2025-10-07,0.0,0.0,0.0,-0.004675600570457406
2025-10-08,0.0,0.0,0.0,-0.0055339181737393255
2025-10-09,0.0,0.0,0.0,-0.008179112183257932
2025-10-10,0.018940519974635483,0.0,0.0,-0.008179112183257932
2025-10-14,-0.011631101511879006,0.0,0.0,-0.008179112183257932
2025-10-15,0.0,0.0,0.0,0.008004265324368608
2025-10-16,0.0,0.0,0.0,0.008004265324368608
2025-10-17,0.0,0.0,0.0,0.008004265324368608
2025-10-20,0.0,0.0,0.0,0.008004265324368608
2025-10-21,0.0,0.0,0.0,0.008004265324368608
2025-10-22,0.0,0.0,0.0,0.0
2025-10-23,0.009994569367840446,0.0,0.0,0.0
2025-10-24,0.0,0.0,0.0,0.0
2025-10-27,0.0,0.0,0.0,0.0
2025-10-28,0.0,0.0,0.0,0.0
2025-10-29,0.0,0.0,0.0,0.000495020835917417
2025-10-30,0.0,0.0,0.0,0.000495020835917417
2025-10-31,0.0,0.012976136971642526,0.0,0.000495020835917417
2025-11-04,0.0,0.0,0.0,0.000495020835917417
2025-11-05,-0.006239416058394108,0.01864731158157339,0.0,0.000495020835917417
2025-11-06,0.0,0.0,0.0,0.005188778924884332
2025-11-07,0.0,0.0,0.0,0.005188778924884332
2025-11-10,0.0,0.0,0.0,0.005188778924884332
2025-11-11,0.0,0.0,0.0,0.004732059700948912
2025-11-12,-0.009709162175404228,0.0,0.0,0.0023838677055387472
2025-11-13,0.022936643495531327,0.0,0.0,0.0016826399007023507
2025-11-14,0.00537756379393346,0.0,0.0,-0.002022725200134814
2025-11-17,0.0,0.0,0.0,-0.0010020728005228393
2025-11-18,0.03378886198547211,0.0,0.0,-0.0015699529183532876
2025-11-19,0.0,0.0,0.0,0.00029302926396923296
2025-11-20,8.426150121061439e-05,0.0,0.015032361454288741,0.002187577076561314
2025-11-21,-0.0052947626040136695,0.0,0.015032361454288741,0.007444194501920758
2025-11-25,0.0,0.0,0.015032361454288741,0.009409073269725314
