n,mean_net,t,sharpe,thresh,direction,target,mode,period
87971,-11.181121608806711,-10.874872933778311,-0.5797282062081799,3.0,上昇後,翌日day(寄→引),momentum,ALL
87971,-8.818878391193289,-8.57733108341584,-0.4572486311630587,3.0,上昇後,翌日day(寄→引),fade,ALL
38189,-11.181660308842323,-7.897319227862594,-0.6389701272370438,3.0,上昇後,翌日day(寄→引),momentum,IS
38189,-8.818339691157677,-6.228166629756401,-0.5039194072120645,3.0,上昇後,翌日day(寄→引),fade,IS
49782,-11.180708358723148,-7.6764358416109735,-0.5439931844991215,3.0,上昇後,翌日day(寄→引),momentum,OOS
49782,-8.819291641276852,-6.055137499396255,-0.42909933709357345,3.0,上昇後,翌日day(寄→引),fade,OOS
87971,8.920945552914052,10.44949729197983,0.5570518715708787,3.0,上昇後,翌日gap(前日引→寄),momentum,ALL
87971,-28.920945552914052,-33.87638008147622,-1.8059147152386466,3.0,上昇後,翌日gap(前日引→寄),fade,ALL
38189,18.81164265379619,15.31400783335909,1.2390525508032302,3.0,上昇後,翌日gap(前日引→寄),momentum,IS
38189,-38.81164265379619,-31.59542260950967,-2.5563777558439384,3.0,上昇後,翌日gap(前日引→寄),fade,IS
49782,1.33354786729298,1.1330029148822827,0.08029062919703292,3.0,上昇後,翌日gap(前日引→寄),momentum,OOS
49782,-21.333547867292978,-18.125312567511532,-1.2844563163278286,3.0,上昇後,翌日gap(前日引→寄),fade,OOS
80521,-11.070183202576235,-10.500063883756985,-0.5850693748862983,3.0,下落後,翌日day(寄→引),momentum,ALL
80521,-8.929816797423765,-8.469927292745727,-0.47194903967822655,3.0,下落後,翌日day(寄→引),fade,ALL
34967,-23.948001725606535,-15.297695509979016,-1.2935011819992008,3.0,下落後,翌日day(寄→引),momentum,IS
34967,3.9480017256065345,2.5219360246923004,0.21324304871527222,3.0,下落後,翌日day(寄→引),fade,IS
45554,-1.1852404907441123,-0.8330976655497997,-0.06171669529591232,3.0,下落後,翌日day(寄→引),momentum,OOS
45554,-18.814759509255886,-13.22476944337369,-0.979703940901989,3.0,下落後,翌日day(寄→引),fade,OOS
80521,-17.57260055663213,-17.096783988747823,-0.9526422726186023,3.0,下落後,翌日gap(前日引→寄),momentum,ALL
80521,-2.4273994433678725,-2.3616722979573055,-0.1315936884145673,3.0,下落後,翌日gap(前日引→寄),fade,ALL
34967,-0.5938090789457764,-0.42200609715743376,-0.03568285073578111,3.0,下落後,翌日gap(前日引→寄),momentum,IS
34967,-19.406190921054225,-13.791521857202767,-1.1661462219732768,3.0,下落後,翌日gap(前日引→寄),fade,IS
45554,-30.605427566340577,-20.99230035849714,-1.5551302786698227,3.0,下落後,翌日gap(前日引→寄),momentum,OOS
45554,10.605427566340577,7.274275793740411,0.5388855127380876,3.0,下落後,翌日gap(前日引→寄),fade,OOS
30356,-5.3700833847880665,-2.323626354590777,-0.21086962507450427,5.0,上昇後,翌日day(寄→引),momentum,ALL
30356,-14.629916615211933,-6.330341146818813,-0.5744799122225831,5.0,上昇後,翌日day(寄→引),fade,ALL
12417,-10.355961912542908,-3.2457075840278415,-0.4605439209118135,5.0,上昇後,翌日day(寄→引),momentum,IS
12417,-9.644038087457092,-3.0225804059013486,-0.4288836857193254,5.0,上昇後,翌日day(寄→引),fade,IS
17939,-1.9189627159028486,-0.5946060684246065,-0.07019403802368127,5.0,上昇後,翌日day(寄→引),momentum,OOS
17939,-18.08103728409715,-5.602555173917213,-0.6613890974063973,5.0,上昇後,翌日day(寄→引),fade,OOS
30356,20.312378824365947,10.435321524453329,0.9470078238034595,5.0,上昇後,翌日gap(前日引→寄),momentum,ALL
30356,-40.31237882436595,-20.71016093610857,-1.879451859031343,5.0,上昇後,翌日gap(前日引→寄),fade,ALL
12417,38.703803747634275,13.50926963179761,1.9168738537937229,5.0,上昇後,翌日gap(前日引→寄),momentum,IS
12417,-58.703803747634275,-20.49011819122291,-2.907408978606043,5.0,上昇後,翌日gap(前日引→寄),fade,IS
17939,7.582219770225649,2.8875538244499626,0.340879573405442,5.0,上昇後,翌日gap(前日引→寄),momentum,OOS
17939,-27.58221977022565,-10.504198849140478,-1.240034659212978,5.0,上昇後,翌日gap(前日引→寄),fade,OOS
24885,-11.63123342459327,-4.70492953051714,-0.4715788345743769,5.0,下落後,翌日day(寄→引),momentum,ALL
24885,-8.36876657540673,-3.3852348721144154,-0.3393047877545549,5.0,下落後,翌日day(寄→引),fade,ALL
10647,-26.903278067167587,-7.413877971102224,-1.1360614175865906,5.0,下落後,翌日day(寄→引),momentum,IS
10647,6.903278067167587,1.9023726797451646,0.2915090067240457,5.0,下落後,翌日day(寄→引),fade,IS
14238,-0.2109876520487628,-0.06280665598861969,-0.008322449736995785,5.0,下落後,翌日day(寄→引),momentum,OOS
14238,-19.789012347951235,-5.890779288851793,-0.7805815127633619,5.0,下落後,翌日day(寄→引),fade,OOS
24885,-28.187576020006208,-10.920288707544119,-1.094549235757278,5.0,下落後,翌日gap(前日引→寄),momentum,ALL
24885,8.187576020006208,3.1719894569853517,0.3179310299346711,5.0,下落後,翌日gap(前日引→寄),fade,ALL
10647,-0.8139204267239712,-0.24430915839367442,-0.037436576363400975,5.0,下落後,翌日gap(前日引→寄),momentum,IS
10647,-19.18607957327603,-5.7589597207771925,-0.8824709510611938,5.0,下落後,翌日gap(前日引→寄),fade,IS
14238,-48.657256530027,-12.967952621732783,-1.7183709622379737,5.0,下落後,翌日gap(前日引→寄),momentum,OOS
14238,28.657256530027,7.637626357353246,1.0120545421259826,5.0,下落後,翌日gap(前日引→寄),fade,OOS
