strategy,freq,n_buy,mean_pct,sharpe,tstat
"V4 (M+T+0.5S, gate-5%)",日次,10469,4.872,4.481,28.879
"V4 (M+T+0.5S, gate-5%)",週次(金),2110,4.772,4.359,12.613
"V5a (M+0.5S,  gate-3%)",日次,10183,7.919,5.605,35.631
"V5a (M+0.5S,  gate-3%)",週次(金),2073,7.365,5.301,15.204
"V5b (M+0.5S≥2, gate-3%)",日次,6807,8.613,5.769,29.984
"V5b (M+0.5S≥2, gate-3%)",週次(金),1395,8.001,5.339,12.562
"V4 (M+T+0.5S, gate-5%)",daily_IS(21-23),4949,0.421,0.589,2.612
"V4 (M+T+0.5S, gate-5%)",daily_OOS(24-26),5520,8.862,6.897,32.281
"V5a (M+0.5S,  gate-3%)",daily_IS(21-23),4830,2.098,2.38,10.421
"V5a (M+0.5S,  gate-3%)",daily_OOS(24-26),5353,13.171,7.781,35.862
"V5b (M+0.5S≥2, gate-3%)",daily_IS(21-23),3025,1.807,2.054,7.117
"V5b (M+0.5S≥2, gate-3%)",daily_OOS(24-26),3782,14.056,7.948,30.789
