score,period,n,ls_sharpe,ls_t,long_sharpe,short_sharpe,ls_mean_pct
V4 (M+T+0.5S),全期間,1179,3.97,8.586,7.255,4.127,1.989
V4 (M+T+0.5S),IS(22-23),490,2.5,3.486,6.381,4.149,0.811
V4 (M+T+0.5S),OOS(24-26),565,6.189,9.268,9.215,4.063,3.729
V6a (r20_adj),全期間,1179,4.172,9.024,7.505,4.048,2.167
V6a (r20_adj),IS(22-23),490,2.003,2.793,6.816,4.342,0.695
V6a (r20_adj),OOS(24-26),565,6.994,10.472,9.67,3.716,4.297
V6b (r20_adj+0.5d75),全期間,1179,4.65,10.059,7.7,3.711,2.549
V6b (r20_adj+0.5d75),IS(22-23),490,2.638,3.679,6.974,4.225,0.944
V6b (r20_adj+0.5d75),OOS(24-26),565,7.581,11.352,9.922,3.17,4.913
V6c (1.5M+0.5T),全期間,1179,3.321,7.183,6.512,4.18,1.665
V6c (1.5M+0.5T),IS(22-23),490,1.807,2.519,5.838,4.388,0.629
V6c (1.5M+0.5T),OOS(24-26),565,5.46,8.176,8.101,3.955,3.276
