wM,wT,wS,n_is,sh_is,n_oos,sh_oos
0.0,0.5,0.5,93,4.343627532643762,315,6.502227705250108
0.0,1.0,0.0,1413,3.581626800708836,3362,7.492767620948637
0.5,0.5,0.0,1387,3.5791427262945477,3333,7.586763959344064
0.0,0.5,1.0,1080,2.6865341997978396,2246,7.512215844900936
0.0,1.0,0.5,1290,2.597514872833334,2802,7.332409895700984
0.5,1.0,0.0,2168,2.5578244216921657,4555,7.199258791111291
1.0,0.5,0.0,2351,2.361335406944076,5119,7.282123847067552
1.5,0.0,0.0,2325,2.348583659908858,5094,7.331574091235453
1.0,0.0,0.0,2325,2.348583659908858,5094,7.331574091235453
0.5,0.5,0.5,1683,2.3056779279895445,3257,7.254018989647641
0.0,0.0,1.0,317,2.300957504703533,678,5.4174637633903355
1.0,0.5,1.0,3009,2.2326837469087466,5111,6.7087839975896175
1.5,0.0,1.0,3190,2.2201014124601612,5599,6.820067625032338
0.5,0.0,1.0,1503,2.2000051884040976,2815,7.389460012845992
0.5,1.0,1.0,2623,2.176450175995746,4709,6.877144076244607
1.5,0.0,0.5,3176,2.1656640461047916,5713,6.932645210300398
0.5,1.0,0.5,2460,2.1596009437910717,4504,6.963107927570443
1.0,0.5,0.5,2760,2.0130258914815817,5159,7.072064233290251
1.5,0.5,1.0,3435,1.9653341038779695,5804,6.752119951315093
2.0,0.0,1.0,3698,1.9423442602964083,6077,6.768487602573442
