factor,ic_mean,icir_all,icir_is,icir_oos
S,0.05116811309139797,3.294067583228631,4.643659854023325,1.177319442403599
d75,0.060641418707971656,3.1872460148512314,2.821279202934169,4.976752178817272
r20_adj,0.053200475803129456,2.995324779353901,1.7386969127775636,7.298497674353165
r60,0.05271383016485187,2.7481947815092327,2.260365674941415,3.710506210155167
d25,0.053270401227272494,2.7193340474660084,1.0647730447481427,7.23961953395419
T,0.04741236281600541,2.616822871261594,1.4884570871885026,6.211137653584916
r20,0.04460398133276043,2.29959868799299,0.7145099785673354,6.475118300825733
r10,0.04379291547938928,2.2400012922682304,0.7869300479855216,6.349229815294076
M,0.03930117739893573,2.1892825924157777,0.9263597923280669,5.912796506911204
vol_ratio,0.027252309233565582,1.5750642541257647,1.4157701894803922,2.5591244355394545
r5,0.02440109928162583,1.2541692216591067,0.179629690694163,3.9220097520541457
vol20,0.022662651178684108,1.086211615949348,2.4290846793917344,0.2096948053413721
d5,0.01775679676061263,0.9365288805179272,0.10758665660861556,2.7948538874489044
