period,lead,follow,lag,r
all,上流,装置,-5,0.7783936751234042
all,上流,装置,-4,0.778180264937647
all,上流,装置,-3,0.7782442894498945
all,上流,装置,-2,0.7727793156809983
all,上流,装置,-1,0.7726675037156043
all,上流,装置,0,0.7715705898411054
all,上流,装置,1,0.7726675037156043
all,上流,装置,2,0.7727793156809983
all,上流,装置,3,0.7782442894498945
all,上流,装置,4,0.778180264937647
all,上流,装置,5,0.7783936751234042
all,上流,部品,-5,0.8001953775652302
all,上流,部品,-4,0.8001099805918578
all,上流,部品,-3,0.7993868232364822
all,上流,部品,-2,0.8011952252766563
all,上流,部品,-1,0.8010928224287176
all,上流,部品,0,0.8010344630492496
all,上流,部品,1,0.8010928224287176
all,上流,部品,2,0.8011952252766563
all,上流,部品,3,0.7993868232364822
all,上流,部品,4,0.8001099805918578
all,上流,部品,5,0.8001953775652302
all,上流,AI下流,-5,0.5139880073391879
all,上流,AI下流,-4,0.5139993375808108
all,上流,AI下流,-3,0.5141098971314886
all,上流,AI下流,-2,0.512910766765057
all,上流,AI下流,-1,0.5128814104692212
all,上流,AI下流,0,0.5127684622648028
all,上流,AI下流,1,0.5128814104692212
all,上流,AI下流,2,0.512910766765057
all,上流,AI下流,3,0.5141098971314886
all,上流,AI下流,4,0.5139993375808108
all,上流,AI下流,5,0.5139880073391879
all,装置,上流,-5,0.7783936751234042
all,装置,上流,-4,0.778180264937647
all,装置,上流,-3,0.7782442894498945
all,装置,上流,-2,0.7727793156809983
all,装置,上流,-1,0.7726675037156043
all,装置,上流,0,0.7715705898411054
all,装置,上流,1,0.7726675037156043
all,装置,上流,2,0.7727793156809983
all,装置,上流,3,0.7782442894498945
all,装置,上流,4,0.778180264937647
all,装置,上流,5,0.7783936751234042
all,装置,部品,-5,0.730282634349871
all,装置,部品,-4,0.7298389083590924
all,装置,部品,-3,0.7287701227824228
all,装置,部品,-2,0.7252627578100719
all,装置,部品,-1,0.7250200345797451
all,装置,部品,0,0.7246182790818961
all,装置,部品,1,0.7250200345797451
all,装置,部品,2,0.7252627578100719
all,装置,部品,3,0.7287701227824228
all,装置,部品,4,0.7298389083590924
all,装置,部品,5,0.730282634349871
all,装置,AI下流,-5,0.48016505425648714
all,装置,AI下流,-4,0.4795620394511404
