dt,mkt_am,mkt_pm,am_bucket
2024-11-05,0.003955028424917695,6.332458380289437e-05,0〜+0.5%
2024-11-06,0.015960185877611725,-0.001053291625998126,+1〜+2%
2024-11-07,-0.004241007682743159,0.003938094383061247,-0.5〜0%
2024-11-08,-0.008025267814355246,-0.0016837222310686325,-1〜-0.5%
2024-11-11,-0.0021870878737981878,0.00505048643030054,-0.5〜0%
2024-11-12,0.004312097055098536,-0.009424353340409985,0〜+0.5%
2024-11-13,-0.006766561971462382,-0.0027393865076537705,-1〜-0.5%
2024-11-14,0.0003233572482057235,-0.009285539221923001,0〜+0.5%
2024-11-15,0.002157148840752937,-0.003737360280159588,0〜+0.5%
2024-11-18,0.00174180948103934,-0.0021701660370366644,0〜+0.5%
2024-11-19,0.001410483005055455,0.0036778575377942944,0〜+0.5%
2024-11-20,-0.0043876437717176335,0.0008126639926378787,-0.5〜0%
2024-11-21,-0.0036401764082878646,-0.0021651481092641476,-0.5〜0%
2024-11-22,0.004790640007887655,-0.0027949249453633395,0〜+0.5%
2024-11-25,0.00047334361784583394,-0.002676142715347102,0〜+0.5%
2024-11-26,-0.01018887653639495,0.001875325544649946,-2〜-1%
2024-11-27,-0.004204342261743819,-0.0005704338421188233,-0.5〜0%
2024-11-28,0.010408349562584133,0.0024595704946224492,+1〜+2%
2024-11-29,-0.001258955523139033,0.0013793342772739196,-0.5〜0%
2024-12-02,0.004032620994718477,0.006201250925330554,0〜+0.5%
2024-12-03,0.0067898304404217635,0.0025537604446517355,+0.5〜+1%
2024-12-04,-0.009927554720847873,0.0020696005996436,-1〜-0.5%
2024-12-05,-0.005242839662725144,-0.0023275659190100965,-1〜-0.5%
2024-12-06,-0.007335550434692093,0.001574627856001943,-1〜-0.5%
2024-12-09,-0.002782964688680289,-0.0017624091481130706,-0.5〜0%
2024-12-10,-0.006279905734252094,0.0012209808991797417,-1〜-0.5%
2024-12-11,-0.004169619237332518,0.006288101120047851,-0.5〜0%
2024-12-12,-0.00037760335469256266,-0.0029587449044756126,-0.5〜0%
2024-12-13,-0.002359544678194767,0.0027549013669664253,-0.5〜0%
2024-12-16,0.0009780127686843168,-0.004424142697065079,0〜+0.5%
2024-12-17,-0.0015149668551107027,-0.00399658188479243,-0.5〜0%
2024-12-18,0.005806730226137796,-0.003678631411790318,+0.5〜+1%
2024-12-19,0.009506682079869273,0.002213583944963688,+0.5〜+1%
2024-12-20,-0.0018080512198478129,-0.005592300152332925,-0.5〜0%
2024-12-23,-0.00037202792998762216,0.002316298332165815,-0.5〜0%
2024-12-24,-0.0035709610449145834,0.0004016506450790814,-0.5〜0%
2024-12-25,-0.007091327390703481,0.0070781450033648085,-1〜-0.5%
2024-12-26,0.006142460247309303,0.005618887989349144,+0.5〜+1%
2024-12-27,0.006919878755694563,0.002838339165822124,+0.5〜+1%
2024-12-30,-0.005643164457266743,-0.0012540584722566712,-1〜-0.5%
2025-01-06,-0.011271528287301514,-0.0002817671421217232,-2〜-1%
2025-01-07,0.004539679141032499,-0.0017409317459722853,0〜+0.5%
2025-01-08,0.0032181645214892974,0.000378553718259865,0〜+0.5%
2025-01-09,-0.007818452099093676,-0.0036940578676300595,-1〜-0.5%
2025-01-10,0.0030327284855998465,-0.005634349892674001,0〜+0.5%
2025-01-14,-0.011473892932852028,0.0012527349343897203,-2〜-1%
2025-01-15,-0.005986744420009182,-0.003919384309570817,-1〜-0.5%
2025-01-16,-0.006337116887524541,-0.00042338485841598013,-1〜-0.5%
2025-01-17,-0.004394799247242399,0.007221188169947245,-0.5〜0%
2025-01-20,0.0071412681846714605,-0.0014612495912484323,+0.5〜+1%
2025-01-21,-0.00769593085558304,0.0020869375371954805,-1〜-0.5%
2025-01-22,0.0037004967434831836,0.00010650749916001611,0〜+0.5%
2025-01-23,-0.0019652530292341795,0.00190171285440807,-0.5〜0%
2025-01-24,0.00438823237265453,-0.006538599907365157,0〜+0.5%
2025-01-27,-0.006328359421879834,-0.00407430347437895,-1〜-0.5%
2025-01-28,0.009119677944582958,-0.004352058101150483,+0.5〜+1%
2025-01-29,-0.001266955219065413,0.0025196643368631407,-0.5〜0%
2025-01-30,0.004534763394206358,0.0008959660794078971,0〜+0.5%
2025-01-31,-0.002237711009948147,0.0030554633095072306,-0.5〜0%
2025-02-03,-0.0038180521823146358,-0.0022381215535244798,-0.5〜0%
2025-02-04,0.0014022852178028115,-0.00624031658875566,0〜+0.5%
2025-02-05,-0.007815370404087666,0.0027501071438237852,-1〜-0.5%
2025-02-06,0.0018630163086077514,0.001706045780341275,0〜+0.5%
2025-02-07,0.0004825364397096259,-0.0007086718212157287,0〜+0.5%
2025-02-10,-5.1517350884548835e-05,0.0029728910003112897,-0.5〜0%
2025-02-12,-0.005105474016028794,0.00436087184352335,-1〜-0.5%
2025-02-13,0.0067669585165941095,0.0008290140232500159,+0.5〜+1%
2025-02-14,-0.004954055828035641,-0.004245778013152264,-0.5〜0%
2025-02-17,0.002242627371372357,-0.0011048086683072879,0〜+0.5%
2025-02-18,0.0021765475476010453,0.001051531278607463,0〜+0.5%
