,I1_金曜半導体ON,I2_NVDA安→半導体ON,I3_SOX安→半導体ONショート,D1_SOX高→半導体CO,D2_SOX3連陽→半導体CO,D3_半導体個別-3%リバ,D4_銅3連上→非鉄CO,S1_半導体MOM5日,S2_半導体Zリバ5日,S3_信用倍率>5MOМ5日
I1_金曜半導体ON,1.0,0.3497950580406183,-0.26372208840738115,0.10682018057278188,0.1392755131476457,0.05701980833739686,0.06282601548153234,0.02673216741122739,-0.00757641539514556,-0.009305916359105045
I2_NVDA安→半導体ON,0.3497950580406183,1.0,-0.7392747387882516,0.03850335069172433,0.05833870848126115,0.038159313585520604,0.0011985244803240861,0.04685542404852401,0.10770723411626036,0.06210968440053776
I3_SOX安→半導体ONショート,-0.26372208840738115,-0.7392747387882516,1.0,0.024384187711109853,0.013915621625710256,-0.034539831875381094,-0.04653136778201488,0.021924846797790564,-0.051849752073163315,0.012629937709687462
D1_SOX高→半導体CO,0.10682018057278188,0.03850335069172433,0.024384187711109853,1.0,0.3376792937404275,0.2583384995448187,0.15723841137686662,0.005756372751665788,0.08352459993305769,0.17415796143349352
D2_SOX3連陽→半導体CO,0.1392755131476457,0.05833870848126115,0.013915621625710256,0.3376792937404275,1.0,0.17632526845410956,0.22027845179088412,0.049442988726539495,0.01999664187721647,0.03337180026388276
D3_半導体個別-3%リバ,0.05701980833739686,0.038159313585520604,-0.034539831875381094,0.2583384995448187,0.17632526845410956,1.0,0.05953229464597984,0.053625638275849916,0.04069478811915535,0.06537403114510613
D4_銅3連上→非鉄CO,0.06282601548153234,0.0011985244803240861,-0.04653136778201488,0.15723841137686662,0.22027845179088412,0.05953229464597984,1.0,-0.04599613707811593,-0.018801768233349093,-0.06885803911770871
S1_半導体MOM5日,0.02673216741122739,0.04685542404852401,0.021924846797790564,0.005756372751665788,0.049442988726539495,0.053625638275849916,-0.04599613707811593,1.0,0.2867965265145193,0.26372308752906265
S2_半導体Zリバ5日,-0.00757641539514556,0.10770723411626036,-0.051849752073163315,0.08352459993305769,0.01999664187721647,0.04069478811915535,-0.018801768233349093,0.2867965265145193,1.0,0.739175950822807
S3_信用倍率>5MOМ5日,-0.009305916359105045,0.06210968440053776,0.012629937709687462,0.17415796143349352,0.03337180026388276,0.06537403114510613,-0.06885803911770871,0.26372308752906265,0.739175950822807,1.0
