strategy,N,win_rate,mean_ret,t_stat,sharpe,cls
D4: NK225 RSI<30翌日ロング,0,0.0,0.0,0.0,0.0,データ不足
D5: 52週高値ブレイク翌日,988,0.521255060728745,0.1477531616376218,2.0881621969431174,1.0551298833924776,★弱↑
D6: 個別-2%以上翌日リバウンド,2777,0.5365502340655384,0.1865454251805398,3.1476617680165226,0.9483717277306903,★★強↑
D7: 月末3日前→月末最終日,1188,0.494949494949495,-0.03789526310445189,-0.43287702755011565,-0.11515394539189533,中立
D8: 月曜日リターン,4334,0.5013844023996308,-0.08684737973626978,-2.3338459547628827,-0.5628311337098678,▼弱↓
D8: 火曜日リターン,4840,0.5466942148760331,0.22815488270514342,7.466290436308654,1.7038342308128196,★★強↑
D8: 水曜日リターン,4840,0.4981404958677686,0.1361105564190104,4.463642996894812,1.0186193260380823,★★強↑
D8: 木曜日リターン,4884,0.4997952497952498,0.07571612717082112,2.3290127749420844,0.5290890566563912,★弱↑
D8: 金曜日リターン,4840,0.4896694214876033,-0.01151521130546575,-0.3663423875080743,-0.08360064550911718,中立
D9: ギャップアップ+1%→当日継続,4593,0.46636185499673416,-0.024920786619013643,-0.9384927670033926,-0.21985191889225028,中立
D9b: ギャップダウン-1%→当日逆張り(ロング),3955,0.5279393173198483,0.09999614731411018,3.290200296695171,0.8306236168308276,★★強↑
S4: RSI<30→5日後,2321,0.5924170616113744,0.8709137656607647,8.571601760709395,1.263377857978006,★★強↑
S5: 52週高値ブレイク→20日後,965,0.48704663212435234,0.4682561313395941,1.4588099458692303,0.16678057668767637,中立
S6: 5/20日GC→5日後,765,0.48366013071895425,0.16431225692629498,0.9098760055639297,0.2336957429631993,中立
S7: 前月-10%→翌月初10日,99,0.46464646464646464,1.129080820902602,1.473597955581438,0.7472505491513376,中立
S8: 出来高2倍+上昇→5日継続,393,0.5343511450381679,0.6241177392283378,2.2217047772763943,0.796633533388693,★弱↑
S8b: 出来高2倍+下落→5日逆張りロング,384,0.5598958333333334,1.2837424117080285,4.147884610947673,1.5046744536441772,★★強↑
S9: RSI>70→5日後ショート,3391,0.48982601002654086,-0.25570366184161414,-3.070152049738469,-0.37434781591056765,▼▼強↓
S10a: BB+2σタッチ→10日逆張りショート,7221,0.46835618335410606,-0.5530146551239284,-6.995650277312309,-0.4132946295062017,▼▼強↓
S10b: BB-2σタッチ→10日逆張りロング,765,0.5816993464052288,1.5399889370554871,5.5558326883030364,1.0090269124535898,★★強↑
