strategy,n,win_rate,mean_net,sharpe_annual,t_stat,p_value,max_dd,edge_class
ORB3  (9:03→14:50),2195,0.4710706150341686,0.0002896539683773943,0.7069701161479346,0.9331104349279769,0.3508656266258602,-0.5122556605034714,noise
ORB5+SOX陽線フィルター→14:50,1111,0.495949594959496,0.00039052318137504187,0.9057947384928262,0.8505533326412116,0.3952009544601184,-0.44509461517610016,noise
ORB5+SOX陰線フィルター→14:50,871,0.46842709529276694,0.0003041430597858714,0.7066206803483642,0.587503081056023,0.5570183257608161,-0.28250135648073993,noise
ORB5ロングのみ→14:50,1732,0.4590069284064665,1.32407880466798e-05,0.031067500913262765,0.03642461676006677,0.9709479857194853,-0.4670079964772066,noise
ORB5タイトレンジ(0.3-0.8%)→14:50,828,0.45893719806763283,1.8872059120708923e-05,0.06189389262473555,0.05017388071712576,0.9599959407295042,-0.2999718378495344,noise
ORB5ワイドレンジ(>1%)→14:50,1225,0.5151020408163265,0.0009024369371583182,1.7896900321685507,1.764658169554544,0.07787060019128758,-0.4305925386207563,noise
ORB5+出来高1.5倍フィルター→14:50,318,0.49056603773584906,0.0007915637448133398,1.5764870536478233,0.7919881727319071,0.428959817824927,-0.19627217071030267,noise
ORB5+ギャップ方向整合→14:50,1775,0.4895774647887324,0.0004335828945191244,1.0708274654756746,1.2709644641012412,0.20390792196830718,-0.3570288027170575,noise
ORB10 (9:10→14:50),2670,0.4853932584269663,0.00024904021669131324,0.5828619571255215,0.8484691738193808,0.3962528199737084,-0.6161719443734223,noise
ORB5前引け出口(→11:25),2536,0.4913249211356467,0.000262992152106824,0.723788360424334,1.0268356702190315,0.3045958179762019,-0.485035591261038,noise
VWAP_RECLAIM (下→上抜け→20分),4424,0.3569168173598553,-0.0011456272276734701,-6.480663735168881,-12.143441198932244,2.1028101594967307e-33,-0.9945900445858267,strong_neg
VWAP_RECLAIM (下→上抜け→30分),4424,0.3688969258589512,-0.001172827139120846,-5.652481382230856,-10.591596493532762,6.643718249542551e-26,-0.9952588338379613,strong_neg
前場H/L→後場ブレイク方向,1703,0.2947739283617146,-0.0004471083677272255,-6.810029470346024,-7.917189549751216,4.3445528429431425e-15,-0.5342255402405565,strong_neg
"セクターリプル 8035→他3銘柄(lag5分,15分保有)",768,0.4505208333333333,-0.0010929974402397221,-4.414078038845994,-3.446159264088258,0.0005995612187673539,-0.5901973075195568,strong_neg
"セクターリプル 8035→他3銘柄(lag10分,20分保有)",768,0.4231770833333333,-0.0010911513281204365,-4.552854738519062,-3.5545050171558614,0.0004018831191020687,-0.5926127218368835,strong_neg
前場+0.5%→後場60分キャリー,2071,0.4065668759053597,-0.001407763317128017,-6.723864259104534,-8.62032647894526,1.3032675708671378e-17,-0.9492202881143293,strong_neg
前場+1.0%→後場60分キャリー,1402,0.4087018544935806,-0.001464631043520189,-6.625865005895122,-6.98926194987691,4.261433970172268e-12,-0.8760013596263017,strong_neg
