strategy,n,win_rate,mean_net,sharpe_annual,t_stat,p_value,max_dd,edge_class
ORB5  (9:05ブレイク→11:25出口),2536,0.5800473186119873,0.002658358581194165,7.590129198875311,10.76808612728575,1.803342630750317e-26,-0.13663419034287916,strong_pos
ORB15 (9:15ブレイク→11:25出口),2588,0.5115919629057187,0.0009334668992280585,2.8563369629870676,4.093608478205622,4.377263520620388e-05,-0.1605136571866128,strong_pos
ORB5  (9:05ブレイク→14:50出口),2557,0.6077434493547126,0.003830109870794854,9.45578894153785,13.470318402341144,5.241873110110318e-40,-0.13337676119639408,strong_pos
GAP_GO   (ギャップ2%超→1時間継続),838,0.45704057279236276,-0.002511046879623192,-4.535382436947866,-3.6987131444894925,0.0002308370776683602,-0.9045948611366393,strong_neg
GAP_FILL (ギャップ2%超→1時間逆張り),838,0.4821002386634845,0.0005110468796231915,0.9230385386703099,0.7527600645179049,0.45180576566126207,-0.34604698372837794,noise
GAP_GO   (ギャップ1%超→30分継続),1529,0.44015696533682147,-0.002048557285194838,-4.768342485679041,-5.252740078816225,1.7098081152317076e-07,-0.965783200056173,strong_neg
GAP_FILL (ギャップ1%超→30分逆張り),1529,0.48855461085676916,4.855728519483742e-05,0.1130247944039093,0.12450654902587878,0.9009305920988626,-0.501987400706275,noise
"VWAP_REV (乖離0.5%→VWAP回帰, 最大30分)",7275,0.47917525773195874,-0.0011202793372041232,-5.504196130548747,-13.225896718235656,1.771751900221231e-39,-0.999770926258156,strong_neg
"VWAP_REV (乖離1.0%→VWAP回帰, 最大30分)",2733,0.46615440907427735,-0.0011806239637938455,-4.599566016495997,-6.774096824183863,1.5272081349214004e-11,-0.9652299612369859,strong_neg
FIRST15_REV (前場15分逆張り→前場引け),1990,0.40804020100502514,-0.0025398832142972364,-6.653192151581599,-8.361252372287037,1.1506352319826708e-16,-0.9947708598832158,strong_neg
FIRST15_MOM (前場15分順張り→前場引け),1990,0.5045226130653266,0.0005398832142972361,1.414217293107659,1.7772863653298838,0.07567391524932904,-0.4747563300612382,noise
LUNCH_MOM (前場方向→後場30分継続),2489,0.3937324226597027,-0.0011905868846182762,-7.460811471171053,-10.48608180849482,3.329163100253635e-25,-0.9506350659527467,strong_neg
LUNCH_REV (前場方向逆→後場30分),2489,0.42386500602651667,-0.0008094131153817239,-5.072186443656682,-7.128897734735824,1.3201663934537606e-12,-0.8777534956132709,strong_neg
CLOSE_MOM (14:30方向→15:00引け),1040,0.4028846153846154,-0.0007665096751482171,-5.665768618559253,-5.147427420382481,3.156942674021445e-07,-0.559145941597815,strong_neg
VOL_SPIKE (3x出来高→10分方向継続),8805,0.31902328222600795,-0.0009774423362362821,-10.23610565721935,-27.059151090078817,5.728679842776058e-155,-0.9998269188170574,strong_neg
VOL_SPIKE (2x出来高→5分方向継続),18854,0.2781903044446802,-0.0010151681208052808,-13.605385337347029,-52.62926748440157,0.0,-0.999999995482054,strong_neg
TIME_930  (9:30無条件ロング→30分),2800,0.3942857142857143,-0.0014253430143850087,-7.146548715325395,-10.653445821320917,5.254542924443175e-26,-0.9832163801944798,strong_neg
TIME_1100 (11:00無条件ショート→前引け),2799,0.3851375491246874,-0.0008042941578680317,-6.072604412253672,-9.050887514548654,2.5904033293528473e-19,-0.8978236151769814,strong_neg
TIME_1230 (12:30無条件ロング→30分),2799,0.3858520900321543,-0.0012944431536778568,-8.293141747655435,-12.360477976924617,3.285815757041575e-34,-0.9757652505607842,strong_neg
