id,name,group,period,n,win_rate,mean_ret,sharpe,t_stat,p_value,edge_class
A1,SOX>+1%→半導体翌日CO,A,3M,30,0.7666666666666667,0.021789466696497315,11.837872335336407,4.084453997253649,0.000317930333725229,strong_pos
A1,SOX>+1%→半導体翌日CO,A,1Y,89,0.8314606741573034,0.019273779115342046,13.607712181265507,8.086858569035376,3.080223907043767e-12,strong_pos
A1,SOX>+1%→半導体翌日CO,A,2Y,139,0.8129496402877698,0.018378265128909946,12.356033181923152,9.176692846510415,5.777057007759418e-16,strong_pos
A2,SOX3日連続陽線→半導体翌日CO,A,3M,23,0.7391304347826086,0.017626971445040596,10.888122188127086,3.289399586998558,0.0033451118181610996,strong_pos
A2,SOX3日連続陽線→半導体翌日CO,A,1Y,56,0.7857142857142857,0.014413897483904812,10.703942563175605,5.0458869145685235,5.258296168665797e-06,strong_pos
A2,SOX3日連続陽線→半導体翌日CO,A,2Y,78,0.717948717948718,0.01191910001644783,8.907068018372643,4.955435180762244,4.182194334287706e-06,strong_pos
A3,SOX<-1%→半導体翌日リバウンド,A,3M,15,0.2,-0.020710910633413064,-13.650929044055157,-3.330485662477169,0.004952574349827332,strong_neg
A3,SOX<-1%→半導体翌日リバウンド,A,1Y,51,0.2549019607843137,-0.016391742771491493,-10.632755716712825,-4.783333416581944,1.563722863436036e-05,strong_neg
A3,SOX<-1%→半導体翌日リバウンド,A,2Y,90,0.23333333333333334,-0.017762313902425577,-10.481752639075538,-6.264045315094682,1.3002166756279769e-08,strong_neg
A4,銅3日連続上昇→非鉄翌日CO,A,3M,9,0.6666666666666666,0.019097667112907127,6.6433594041952215,1.2554769181087704,0.2447340841253685,noise
A4,銅3日連続上昇→非鉄翌日CO,A,1Y,30,0.6,0.01475103666597436,7.843481845364016,2.70625834340636,0.01127991000722937,strong_pos
A4,銅3日連続上昇→非鉄翌日CO,A,2Y,50,0.58,0.01069210011255332,6.680487452072253,2.9757256217019967,0.004529493761929183,strong_pos
