period,signal,horizon_min,n,gross_bp,t_stat,net_bp,win_rate
full,composite,1,13395,0.27,1.2,-3.35,46.8
full,composite,5,13395,0.37,0.8,-3.24,48.1
full,composite,15,13395,1.2,1.6,-2.42,49.4
full,imbalanceShift,1,18970,0.04,0.2,-3.56,47.5
full,imbalanceShift,5,18970,-0.01,-0.0,-3.62,49.0
full,imbalanceShift,15,18970,0.6,0.9,-3.01,49.8
full,marketPressure,1,2722,-0.02,-0.0,-3.84,44.8
full,marketPressure,5,2722,-1.6,-1.5,-5.41,46.6
full,marketPressure,15,2722,-2.14,-1.4,-5.95,48.6
full,vwapDeviation,1,6104,0.57,1.5,-3.4,47.8
full,vwapDeviation,5,6104,1.4,1.8,-2.57,48.9
full,vwapDeviation,15,6104,-0.63,-0.5,-4.6,48.9
first_half,composite,1,6164,0.29,0.8,-3.34,47.5
first_half,composite,5,6164,0.91,1.2,-2.71,48.7
first_half,composite,15,6164,3.48,2.9,-0.15,51.6
first_half,imbalanceShift,1,9231,0.09,0.3,-3.5,47.6
first_half,imbalanceShift,5,9231,-0.27,-0.4,-3.86,49.1
first_half,imbalanceShift,15,9231,-0.05,-0.0,-3.64,49.5
first_half,marketPressure,1,1537,0.12,0.2,-3.73,44.5
first_half,marketPressure,5,1537,0.03,0.0,-3.82,47.8
first_half,marketPressure,15,1537,0.26,0.1,-3.59,49.1
first_half,vwapDeviation,1,2813,1.16,1.9,-2.92,48.9
first_half,vwapDeviation,5,2813,1.78,1.4,-2.3,49.4
first_half,vwapDeviation,15,2813,0.26,0.1,-3.82,49.3
second_half,composite,1,7231,0.26,0.9,-3.35,46.2
second_half,composite,5,7231,-0.08,-0.1,-3.69,47.6
second_half,composite,15,7231,-0.74,-0.8,-4.35,47.6
second_half,imbalanceShift,1,9739,0.0,0.0,-3.62,47.3
second_half,imbalanceShift,5,9739,0.24,0.5,-3.38,48.9
second_half,imbalanceShift,15,9739,1.2,1.5,-2.42,50.0
second_half,marketPressure,1,1185,-0.22,-0.3,-3.97,45.1
second_half,marketPressure,5,1185,-3.71,-2.7,-7.46,45.1
second_half,marketPressure,15,1185,-5.25,-2.4,-9.0,47.8
second_half,vwapDeviation,1,3291,0.06,0.1,-3.82,46.9
second_half,vwapDeviation,5,3291,1.08,1.1,-2.8,48.5
second_half,vwapDeviation,15,3291,-1.39,-0.9,-5.27,48.5
