period,hypothesis,n_fav,fav_pm,unf_pm,diff,fav_cont%,unf_cont%,t,p,rho
full,H1 VWAP奪回,23,-0.3,-0.05,-0.25,43.5,60.9,-0.68,0.503,-0.18
full,H2 出来高伴う,23,-0.19,-0.16,-0.03,47.8,56.5,-0.08,0.937,-0.12
full,H3 安値が早い,23,-0.41,0.05,-0.46,47.8,56.5,1.27,0.215,-0.16
full,H4 半値戻し級,23,-0.19,-0.17,-0.02,39.1,65.2,-0.05,0.96,-0.17
front,H1 VWAP奪回,11,-0.61,-0.16,-0.45,45.5,40.0,-0.62,0.545,-0.27
front,H2 出来高伴う,11,-0.26,-0.55,0.29,45.5,40.0,0.37,0.718,-0.18
front,H3 安値が早い,10,-0.06,-0.7,0.64,50.0,36.4,-0.88,0.392,0.08
front,H4 半値戻し級,11,-0.24,-0.56,0.32,36.4,50.0,0.41,0.692,-0.28
back,H1 VWAP奪回,13,-0.0,0.02,-0.02,46.2,75.0,-0.1,0.921,-0.14
back,H2 出来高伴う,13,-0.11,0.13,-0.24,61.5,58.3,-0.99,0.332,-0.04
back,H3 安値が早い,12,-0.13,0.13,-0.26,58.3,61.5,1.03,0.319,-0.24
back,H4 半値戻し級,13,-0.09,0.11,-0.2,46.2,75.0,-0.81,0.429,-0.06
