period,hypothesis,n_fav,fav_oc_ret,unf_oc_ret,diff,fav_recov_%,unf_recov_%,t,rho(+=支持)
full,H1 ADR乖離(底堅い),95,0.06,0.07,-0.0,54.7,51.1,-0.03,-0.05
full,H2 ギャップ深い,94,0.09,0.04,0.04,52.1,53.7,-0.25,0.08
full,H4 過熱解消済み,94,0.12,0.01,0.12,55.3,50.5,-0.67,0.08
full,H5 円安方向,95,-0.0,0.14,-0.14,48.4,57.4,-0.8,-0.1
2020-2022,H1 ADR乖離(底堅い),47,0.04,-0.06,0.1,53.2,50.0,0.44,0.08
2020-2022,H2 ギャップ深い,46,-0.02,-0.01,-0.02,45.7,57.4,0.07,-0.02
2020-2022,H4 過熱解消済み,46,0.05,-0.08,0.12,54.3,48.9,-0.55,0.04
2020-2022,H5 円安方向,47,-0.27,0.24,-0.51,40.4,63.0,-2.33,-0.3
2023-2026,H1 ADR乖離(底堅い),48,0.03,0.25,-0.22,52.1,56.2,-0.84,-0.15
2023-2026,H2 ギャップ深い,48,0.27,0.02,0.26,60.4,47.9,-0.97,0.14
2023-2026,H4 過熱解消済み,48,0.26,0.02,0.24,58.3,50.0,-0.91,0.12
2023-2026,H5 円安方向,48,0.28,0.01,0.27,58.3,50.0,1.03,0.1
