sector,n,intraday_bp,base_bp,excess_bp,gap_bp,t,p,win%,有意
電気・ガス,143,0.7,-1.5,2.3,38.2,0.09,0.9306,49.7,
銀行,143,-7.0,2.9,-9.9,68.8,-0.69,0.4886,46.2,
エネルギー資源,143,-7.8,-2.5,-5.3,54.6,-0.78,0.4363,46.2,
商社・卸売,143,-8.9,-1.6,-7.2,61.7,-1.14,0.2571,41.3,
鉄鋼・非鉄,143,-11.3,-0.9,-10.5,91.5,-1.26,0.2109,49.0,
運輸・物流,143,-11.8,-0.9,-10.9,49.0,-1.63,0.1045,45.5,
機械,143,-12.6,-1.3,-11.3,102.8,-1.51,0.1325,49.0,
食品,143,-13.0,-1.8,-11.2,29.0,-1.94,0.0541,43.4,
素材・化学,143,-13.8,-2.5,-11.3,76.2,-1.86,0.0643,42.0,
建設・資材,143,-14.4,-1.2,-13.2,69.0,-1.89,0.0608,40.6,
電機・精密,143,-14.8,-0.3,-14.5,116.7,-1.73,0.0863,49.0,
医薬品,143,-15.6,-4.6,-11.1,52.2,-2.19,0.0305,39.9,(弱)
不動産,143,-15.8,-0.9,-14.9,69.8,-1.77,0.0786,43.4,
小売,143,-16.3,-1.4,-14.9,47.3,-2.42,0.0169,40.6,(弱)
金融（除く銀行）,143,-17.3,-0.6,-16.6,75.1,-2.25,0.0258,42.7,(弱)
情報通信・サービスその他,143,-18.3,-2.9,-15.3,82.5,-2.17,0.0316,42.7,(弱)
自動車・輸送機,143,-22.6,-3.0,-19.6,86.6,-2.57,0.0113,42.0,(弱)
