code,name,is_sh,is_n,is_wr,is_pf,is_mu,is_tp,oos_sh,oos_n,oos_wr
69200,レーザーテック,3.19,230,49.1,1.56,0.264,31.3,0.29,217,39.2
61460,ディスコ,2.83,235,48.1,1.48,0.237,28.9,1.26,203,42.9
83060,三菱ＵＦＪフィナンシ,2.25,221,55.2,1.43,0.13,9.5,0.05,215,46.5
68570,アドバンテスト,2.1,221,44.8,1.34,0.171,27.1,0.29,209,40.2
69810,村田製作所,2.06,224,54.9,1.37,0.13,10.3,-0.7,207,40.1
70130,ＩＨＩ,1.96,230,45.2,1.3,0.169,31.3,0.89,206,42.7
84110,みずほフィナンシャル,1.92,224,54.9,1.35,0.117,9.8,-0.17,220,42.7
83160,三井住友フィナンシャ,1.8,220,53.6,1.31,0.106,7.7,0.7,219,49.3
60980,リクルートホールディ,1.78,214,47.7,1.29,0.133,20.1,0.67,202,46.5
58030,フジクラ,1.46,224,43.3,1.22,0.126,31.2,1.67,206,42.2
285A0,キオクシアホールディ,1.16,105,38.1,1.17,0.105,37.1,2.55,198,43.9
40620,イビデン,1.14,229,44.5,1.17,0.091,24.0,-1.11,216,33.8
68610,キーエンス,1.1,211,51.2,1.18,0.066,9.5,1.02,199,46.7
40630,信越化学工業,1.05,225,50.7,1.17,0.062,7.6,0.81,205,46.3
70120,川崎重工業,1.02,236,40.7,1.15,0.086,29.2,0.99,213,41.3
70110,三菱重工業,0.99,228,43.9,1.14,0.08,25.0,1.35,206,48.5
69760,太陽誘電,0.9,235,44.3,1.13,0.069,19.6,0.58,213,40.4
99830,ファーストリテイリン,0.81,232,48.7,1.13,0.049,9.5,0.93,206,51.9
58010,古河電気工業,0.74,227,42.7,1.11,0.06,25.1,1.64,215,41.9
80350,東京エレクトロン,0.48,230,45.2,1.07,0.035,18.7,-0.14,196,40.8
67580,ソニーグループ,0.24,208,49.0,1.04,0.014,6.7,-0.89,200,45.5
65010,日立製作所,-0.02,211,46.0,1.0,-0.002,12.3,-1.33,211,41.7
80580,三菱商事,-0.1,225,48.4,0.98,-0.005,5.8,0.71,200,48.5
81360,サンリオ,-0.11,236,36.9,0.99,-0.009,24.6,-0.61,204,39.2
79740,任天堂,-0.11,202,44.1,0.98,-0.007,11.4,-1.72,206,44.2
99840,ソフトバンクグループ,-0.24,232,44.4,0.97,-0.016,12.1,2.21,202,44.1
87660,東京海上ホールディン,-0.51,215,45.6,0.93,-0.032,8.4,-2.39,207,39.6
95010,東京電力ホールディン,-0.63,220,40.0,0.92,-0.047,15.9,1.08,210,40.0
72030,トヨタ自動車,-1.58,227,41.0,0.79,-0.096,8.4,-0.17,202,49.0
50160,ＪＸ金属,-1.63,54,33.3,0.79,-0.115,16.7,-1.46,197,34.5
