range_end_m,entry_end_h,profit_pct,stop_pct,direction,is_m,is_md,oos_m,oos_md,oos_pos,oos_ns
5,10,0.01,0.005,both,0.402,0.325,0.352,0.255,18,30
5,10,0.01,0.005,long,-0.286,-0.235,0.679,0.43,18,30
5,10,0.01,0.005,short,0.783,0.735,0.014,0.065,16,30
5,10,0.01,0.01,both,0.301,0.085,0.121,0.245,17,30
5,10,0.01,0.01,long,-0.237,0.075,0.275,0.15,16,30
5,10,0.01,0.01,short,0.639,0.755,-0.072,0.22,17,30
5,10,0.01,0.015,both,0.215,0.265,0.01,0.02,16,30
5,10,0.01,0.015,long,-0.446,0.18,0.147,0.42,17,30
5,10,0.01,0.015,short,0.658,0.535,-0.168,-0.19,14,30
5,10,0.015,0.005,both,0.623,0.64,0.489,0.45,20,30
5,10,0.015,0.005,long,-0.051,-0.06,0.806,0.685,20,30
5,10,0.015,0.005,short,0.965,1.235,0.188,0.075,15,30
5,10,0.015,0.01,both,0.472,0.36,0.284,0.205,17,30
5,10,0.015,0.01,long,0.02,0.57,0.391,0.39,18,30
5,10,0.015,0.01,short,0.716,0.66,0.096,-0.005,14,30
5,10,0.015,0.015,both,0.367,0.47,0.153,0.19,17,30
5,10,0.015,0.015,long,-0.229,0.4,0.289,0.38,19,30
5,10,0.015,0.015,short,0.741,0.87,-0.034,0.005,15,30
5,10,0.02,0.005,both,0.689,0.52,0.467,0.545,20,30
5,10,0.02,0.005,long,0.157,0.135,0.709,0.59,20,30
5,10,0.02,0.005,short,0.956,0.955,0.261,0.215,17,30
5,10,0.02,0.01,both,0.546,0.49,0.322,0.38,19,30
5,10,0.02,0.01,long,0.197,0.59,0.359,0.24,19,30
5,10,0.02,0.01,short,0.752,0.98,0.226,0.13,16,30
5,10,0.02,0.015,both,0.407,0.17,0.219,0.2,16,30
5,10,0.02,0.015,long,-0.111,0.69,0.263,0.15,18,30
5,10,0.02,0.015,short,0.781,0.835,0.173,0.225,16,30
5,10,0.03,0.005,both,0.546,0.31,0.594,0.775,22,30
5,10,0.03,0.005,long,0.072,0.45,0.819,0.79,23,30
5,10,0.03,0.005,short,0.86,1.08,0.371,0.535,17,30
5,10,0.03,0.01,both,0.456,0.145,0.441,0.45,21,30
5,10,0.03,0.01,long,0.179,0.76,0.444,0.4,20,30
5,10,0.03,0.01,short,0.687,0.74,0.349,0.325,18,30
5,10,0.03,0.015,both,0.33,0.11,0.319,0.345,19,30
5,10,0.03,0.015,long,-0.179,0.605,0.382,0.325,19,30
5,10,0.03,0.015,short,0.748,0.89,0.207,0.465,17,30
5,11,0.01,0.005,both,0.392,0.315,0.424,0.385,19,30
5,11,0.01,0.005,long,-0.326,-0.315,0.656,0.655,19,30
5,11,0.01,0.005,short,0.781,0.97,0.252,0.34,16,30
5,11,0.01,0.01,both,0.283,0.0,0.176,0.165,16,30
5,11,0.01,0.01,long,-0.318,0.06,0.258,0.16,16,30
5,11,0.01,0.01,short,0.645,0.585,0.099,0.035,16,30
5,11,0.01,0.015,both,0.205,0.105,0.06,0.065,16,30
5,11,0.01,0.015,long,-0.522,0.095,0.161,0.165,18,30
5,11,0.01,0.015,short,0.653,0.63,-0.023,0.035,15,30
5,11,0.015,0.005,both,0.616,0.605,0.556,0.545,21,30
5,11,0.015,0.005,long,-0.063,-0.37,0.765,0.61,19,30
5,11,0.015,0.005,short,0.901,1.16,0.42,0.325,18,30
5,11,0.015,0.01,both,0.474,0.18,0.336,0.17,16,30
5,11,0.015,0.01,long,-0.056,0.145,0.346,0.35,16,30
