ピーク,トラフ,最大DD,下落日数,回復日,トラフ→回復,全体(ピーク→回復)
2016-05-31,2016-06-24,-13.2%,18,2016-10-20,79.0,97.0
2018-01-23,2018-03-23,-14.5%,41,2018-10-01,131.0,172.0
2018-10-02,2020-03-19,-31.8%,352,2020-11-06,154.0,506.0
2021-02-16,2021-08-20,-11.3%,125,2021-09-14,17.0,142.0
2021-09-14,2022-03-09,-19.4%,117,2023-05-19,292.0,409.0
2023-07-03,2023-10-04,-9.6%,64,2024-01-09,62.0,126.0
2024-03-22,2024-04-19,-9.3%,20,2024-07-04,51.0,71.0
2024-07-11,2025-04-07,-26.3%,178,2025-08-12,86.0,264.0
2025-10-31,2025-11-19,-7.4%,12,2026-01-06,30.0,42.0
2026-02-27,2026-03-31,-13.2%,21,2026-04-16,12.0,33.0
2026-06-25,2026-07-08,-7.7%,9,未回復,,
