code,name,sec,close,RSI14,vsMA25%,DD20H%,r5%,r20%,ADV億,note
40620,イビデン,半導体,15685,26.8,-29.3,-40.6,-22.7,-40.6,1986,
67230,ルネサス,半導体,3822,27.1,-17.8,-25.4,-19.7,-24.2,775,
61460,ディスコ,半導体,64780,32.2,-16.9,-26.8,-10.7,-26.8,1151,
69200,レーザーテック,半導体,41890,35.9,-13.9,-27.1,-5.6,-27.1,1652,
80350,東エレク,半導体,65100,36.6,-10.5,-17.4,-10.7,-16.3,3210,
68570,アドテスト,半導体,27505,36.7,-9.7,-23.4,-7.8,-14.5,2637,
69630,ローム,半導体,4531,37.6,-15.4,-23.8,-19.1,-20.3,294,
77290,東京精密,半導体,17055,39.9,-10.7,-18.5,-9.8,-15.4,90,
77350,SCREEN,半導体,16510,49.0,-4.2,-15.3,-9.0,-2.9,632,
34360,SUMCO,半導体,3914,50.8,-11.8,-26.2,-25.4,-7.3,922,
40630,信越化学,半導体,7157,53.7,-1.2,-6.9,-2.2,-2.1,523,
58010,古河電気工業,非鉄,3262,19.1,-13.9,-31.0,-12.4,-31.0,1157,分割補正
58050,ＳＷＣＣ,非鉄,10470,20.2,-18.0,-28.9,-10.6,-28.9,52,
57060,三井金属,非鉄,29980,22.8,-26.7,-43.4,-17.8,-43.4,584,
58020,住友電気工業,非鉄,2249,23.2,-11.6,-23.2,-12.9,-23.2,594,分割補正
50160,ＪＸ金属,非鉄,3558,28.7,-15.9,-33.3,-10.2,-33.3,1278,
58030,フジクラ,非鉄,4472,29.6,-16.0,-31.1,-13.2,-27.4,2758,
57140,ＤＯＷＡホールディングス,非鉄,7946,30.5,-10.4,-17.8,-5.1,-17.8,38,
57270,東邦チタニウム,非鉄,2811,30.7,-12.2,-29.7,6.3,-13.1,19,
57130,住友金属鉱山,非鉄,6794,36.3,-13.5,-23.1,-6.6,-23.1,211,
57260,大阪チタニウムテクノロジーズ,非鉄,2480,38.5,-8.3,-17.3,-2.1,-17.3,14,
57110,三菱マテリアル,非鉄,3970,39.1,-10.8,-18.8,-2.9,-18.8,62,
57410,ＵＡＣＪ,非鉄,2300,42.1,-11.5,-20.6,-8.9,-20.6,26,
58570,ＡＲＥホールディングス,非鉄,2935,48.7,-3.6,-9.3,-0.6,-9.3,21,
