コード,銘柄,現値,現PBR,5年PBR中央,5年内位置%,2年内位置%,利回4%相当,200日線,52週安値,指値(実務),現値比%,指値(厳格5y)
4516,日本新薬,3640,0.83,1.55,1.0,3.0,4270.0,4550.0,3095,4120.0,13.1,4270.0
3636,三菱総合研究所,4885,1.0,1.11,13.0,31.0,5790.0,4790.0,4390,5360.0,9.8,5120.0
3116,トヨタ紡織,2242,0.81,0.96,20.0,47.0,2340.0,2450.0,2113,2190.0,-2.1,2280.0
7990,グローブライド,2499,0.82,0.89,33.0,72.0,2500.0,2290.0,2041,2500.0,-0.0,2420.0
8424,芙蓉総合リース,4494,0.79,0.77,57.0,58.0,4700.0,4310.0,3992,4310.0,-4.0,4140.0
8425,みずほリース,1359,0.85,0.8,66.0,57.0,1420.0,1370.0,1163,1260.0,-7.2,1140.0
6677,エスケーエレクトロニクス,3365,0.93,0.75,68.0,67.0,2980.0,3260.0,2681,2980.0,-11.4,2280.0
5480,日本冶金工業,5480,0.74,0.67,70.0,99.0,5460.0,4680.0,4100,4520.0,-17.5,4530.0
8098,稲畑産業,4190,0.93,0.87,83.0,86.0,4910.0,3880.0,3320,3880.0,-7.3,3470.0
1938,日本リーテック,2441,0.89,0.58,89.0,72.0,2460.0,2510.0,1918,2460.0,0.7,2460.0
7283,愛三工業,2320,0.91,0.65,90.0,76.0,2590.0,2070.0,1696,1990.0,-14.2,1560.0
3608,ＴＳＩホールディングス,1267,0.77,0.63,92.0,80.0,920.0,1120.0,948,1120.0,-11.8,920.0
4092,日本化学工業,5550,0.86,0.46,97.0,93.0,5130.0,3650.0,2146,4320.0,-22.1,4660.0
8253,クレディセゾン,4735,0.88,0.68,97.0,93.0,5610.0,4270.0,3586,5140.0,8.5,3300.0
4064,日本カーバイド工業,3385,0.82,0.45,98.0,94.0,3420.0,2860.0,1944,3060.0,-9.7,2390.0
4221,大倉工業,5690,0.98,0.54,98.0,95.0,5400.0,4940.0,4490,5400.0,-5.2,3720.0
1879,新日本建設,2293,0.99,0.71,99.0,98.0,2630.0,2040.0,1759,2260.0,-1.6,1420.0
