戦略,年率,Sharpe,MDD,勝率,N月
phase0,12.547221770468408,0.8674038408908145,-28.22546587477699,61.206896551724135,116
phase1,11.625861770309175,0.8068518894101835,-26.658343700390887,61.206896551724135,116
phase2,10.672937245697023,0.764954851134853,-29.58790523341538,58.620689655172406,116
phase3,10.027330514543365,0.6978973187845882,-31.903734630450575,58.620689655172406,116
phase4,11.258407455868591,0.7467735729152633,-34.87351315427338,61.206896551724135,116
phase5,11.437386561534503,0.7499937413666667,-41.291719984185434,63.793103448275865,116
phase6,12.884337232071474,0.8202345522591385,-32.35360197927724,66.66666666666666,114
phase7,15.80309760603087,1.0215867119648996,-26.579809796453503,65.78947368421053,114
phase8,14.37895459108962,0.9765866812455771,-30.556383943387445,67.24137931034483,116
phase9,10.354186402420451,0.7234744697131499,-39.900749588082796,62.06896551724138,116
phase10,12.023759992339155,0.8144945022351925,-35.26359931315541,64.65517241379311,116
phase11,11.972766615672858,0.8266593813231019,-33.86333976654715,62.06896551724138,116
