コード,銘柄,業種,株価,予想利回%,予想PER,PBR,予想ROE%,配当性向%,時価総額億
3299,ムゲンエステート,不動産業,1720,6.05,8.5,1.14,13.4,51.0,406
2767,円谷フィールズホールディングス,卸売業,2391,5.86,9.9,2.44,24.6,58.0,1488
4481,ベース,情報･通信業,3195,5.82,12.7,3.82,30.1,74.0,580
7148,ＦＰＧ,証券･商品先物取引業,1618,5.73,8.7,2.26,25.9,50.0,1355
1518,三井松島ホールディングス,その他製品,2293,5.67,10.0,1.47,14.9,57.0,849
3608,ＴＳＩホールディングス,繊維製品,1255,5.58,9.5,0.76,8.3,53.0,705
8005,スクロール,小売業,1874,5.44,13.2,1.65,12.2,72.0,637
9743,丹青社,サービス業,1478,5.41,12.3,1.86,15.1,66.0,700
2737,トーメンデバイス,卸売業,30700,5.34,7.0,2.96,42.5,37.0,2088
1833,奥村組,建設業,5720,5.24,13.3,1.09,8.2,70.0,2052
6417,ＳＡＮＫＹＯ,機械,1920,5.21,9.5,1.53,16.2,49.0,3793
7236,ティラド,輸送用機器,1581,5.19,9.4,1.68,17.8,49.0,895
7172,ジャパンインベストメントアドバイザー,証券･商品先物取引業,2087,5.17,10.0,1.57,15.8,52.0,1296
287A,黒田グループ,卸売業,1220,5.16,12.6,1.24,9.8,65.0,518
256A,飛島ホールディングス,建設業,2145,5.13,8.6,0.78,9.0,44.0,412
8897,ＭＩＲＡＲＴＨホールディングス,不動産業,453,5.08,7.6,0.73,9.7,38.0,605
1878,大東建託,不動産業,3212,5.07,9.9,2.11,21.8,50.0,10478
4246,ダイキョーニシカワ,化学,1143,5.07,7.5,0.84,11.3,38.0,744
7595,アルゴグラフィックス,情報･通信業,1317,4.94,12.6,1.91,15.2,62.0,905
8130,サンゲツ,卸売業,3165,4.9,13.8,1.53,11.1,68.0,1861
6196,ストライクグループ,サービス業,1329,4.89,15.2,3.57,23.4,75.0,766
6200,インソース,サービス業,719,4.87,13.7,4.48,32.6,67.0,604
1852,淺沼組,建設業,926,4.86,14.4,1.54,10.7,70.0,748
9416,ビジョン,情報･通信業,1053,4.84,10.2,2.53,25.6,49.0,503
5702,大紀アルミニウム工業所,非鉄金属,1860,4.84,6.1,0.94,15.5,29.0,736
3231,野村不動産ホールディングス,不動産業,910,4.83,9.1,0.97,10.7,44.0,7796
471A,ＮＳグループ,その他金融業,1600,4.75,10.4,3.04,29.3,50.0,820
6088,シグマクシス・ホールディングス,サービス業,548,4.74,10.0,3.42,34.3,47.0,445
5076,インフロニア・ホールディングス,建設業,2786,4.74,8.5,1.07,13.0,40.0,7048
4973,日本高純度化学,化学,4855,4.74,13.0,1.27,9.8,62.0,282
