,コード,銘柄,業種,株価,予想利回%,予想PER,PBR,予想ROE%,配当性向%,時価総額億,5年減配回数,純利/営利
1,3299,ムゲンエステート,不動産業,1757,5.92,8.7,1.16,13.4,51.0,414,1,0.56
2,2737,トーメンデバイス,卸売業,28350,5.78,6.4,2.73,42.5,37.0,1928,1,0.61
3,1518,三井松島ホールディングス,その他製品,2283,5.69,9.9,1.46,14.9,57.0,845,2,0.86
4,7148,ＦＰＧ,証券･商品先物取引業,1660,5.58,9.0,2.32,25.9,50.0,1390,2,0.67
5,8005,スクロール,小売業,1838,5.55,13.0,1.62,12.2,72.0,625,1,0.77
6,4481,ベース,情報･通信業,3360,5.54,13.4,4.02,30.1,74.0,610,0,0.72
7,3608,ＴＳＩホールディングス,繊維製品,1270,5.51,9.6,0.77,8.3,53.0,713,1,1.03
8,2767,円谷フィールズホールディングス,卸売業,2540,5.51,10.5,2.59,24.6,58.0,1581,0,0.67
9,9743,丹青社,サービス業,1498,5.34,12.4,1.88,15.1,66.0,709,1,0.71
10,287A,黒田グループ,卸売業,1181,5.33,12.2,1.2,9.8,65.0,501,0,0.59
11,7236,ティラド,輸送用機器,1560,5.26,9.3,1.66,17.8,49.0,883,1,0.77
12,1833,奥村組,建設業,5730,5.24,13.4,1.09,8.2,70.0,2056,1,0.75
13,6417,ＳＡＮＫＹＯ,機械,1911,5.23,9.4,1.52,16.2,49.0,3774,2,0.71
14,7172,ジャパンインベストメントアドバイザー,証券･商品先物取引業,2079,5.19,9.9,1.57,15.8,52.0,1291,1,0.55
15,4246,ダイキョーニシカワ,化学,1118,5.19,7.3,0.82,11.3,38.0,727,0,1.14
16,256A,飛島ホールディングス,建設業,2135,5.15,8.5,0.77,9.0,44.0,410,0,0.6
17,8897,ＭＩＲＡＲＴＨホールディングス,不動産業,457,5.03,7.6,0.74,9.7,38.0,611,1,0.53
18,4973,日本高純度化学,化学,4600,5.0,12.3,1.2,9.8,62.0,267,0,3.56
19,1878,大東建託,不動産業,3317,4.91,10.2,2.18,21.8,50.0,10820,1,0.76
20,8130,サンゲツ,卸売業,3180,4.87,13.8,1.54,11.1,68.0,1870,0,0.71
21,1852,淺沼組,建設業,933,4.82,14.5,1.55,10.7,70.0,753,2,0.67
22,5702,大紀アルミニウム工業所,非鉄金属,1867,4.82,6.1,0.94,15.5,29.0,739,1,0.69
23,9416,ビジョン,情報･通信業,1058,4.82,10.2,2.54,25.6,49.0,505,0,0.68
24,5076,インフロニア・ホールディングス,建設業,2755,4.79,8.4,1.06,13.0,40.0,6970,0,1.01
25,6196,ストライクグループ,サービス業,1359,4.78,15.6,3.65,23.4,75.0,783,1,0.69
26,4202,ダイセル,化学,1466,4.78,11.7,1.02,8.7,56.0,3743,0,0.75
27,6200,インソース,サービス業,737,4.75,14.1,4.59,32.6,67.0,619,2,0.69
28,3231,野村不動産ホールディングス,不動産業,928,4.74,9.2,0.99,10.7,44.0,7952,1,0.61
29,471A,ＮＳグループ,その他金融業,1614,4.71,10.5,3.06,29.3,50.0,827,0,0.66
30,6436,アマノ,機械,3864,4.66,15.2,2.04,13.4,71.0,2677,0,0.73
