コード,銘柄,業種,株価,予想ROE%,自己資本比率%,予想利回%
6857,アドバンテスト,電気機器,35900.0,63.3,69.0,
3092,ＺＯＺＯ,小売業,1133.0,50.4,55.0,3.5
9552,クオンツ総研ホールディングス,サービス業,1101.0,50.3,41.0,0.0
6532,ベイカレント,サービス業,7485.0,43.8,76.0,1.82
2124,ジェイエイシーリクルートメント,サービス業,984.0,43.2,76.0,4.03
4776,サイボウズ,情報･通信業,3090.0,42.5,65.0,1.86
6036,ＫｅｅＰｅｒ技研,サービス業,3285.0,38.9,75.0,3.56
4413,ボードルア,情報･通信業,3020.0,38.9,53.0,0.35
212A,フィットイージー,サービス業,3085.0,37.6,61.0,1.86
3496,アズーム,不動産業,4805.0,34.9,74.0,2.71
7936,アシックス,その他製品,4689.0,34.8,49.0,0.8
6200,インソース,サービス業,737.0,32.6,81.0,4.64
4071,プラスアルファ・コンサルティング,情報･通信業,2254.0,32.4,81.0,2.19
4481,ベース,情報･通信業,3360.0,32.2,85.0,5.79
6920,レーザーテック,電気機器,35120.0,32.0,72.0,0.87
4307,野村総合研究所,情報･通信業,5012.0,31.9,41.0,1.79
9744,メイテックグループホールディングス,サービス業,3339.0,31.5,54.0,5.42
3064,ＭｏｎｏｔａＲＯ,小売業,1816.0,31.4,63.0,1.85
2127,日本Ｍ＆Ａセンターホールディングス,サービス業,675.0,28.2,87.0,4.55
6727,ワコム,電気機器,794.0,27.2,57.0,3.08
2317,システナ,情報･通信業,440.0,27.0,68.0,4.29
9757,船井総研ホールディングス,サービス業,1160.0,26.7,78.0,4.34
3093,トレジャー・ファクトリー,小売業,2147.0,26.4,49.0,2.2
7148,ＦＰＧ,証券･商品先物取引業,1660.0,25.9,48.0,5.41
6058,ベクトル,サービス業,1900.0,25.1,45.0,2.03
4373,シンプレクス・ホールディングス,情報･通信業,1166.0,25.0,61.0,2.12
9416,ビジョン,情報･通信業,1058.0,24.9,71.0,4.94
3046,ジンズホールディングス,小売業,6380.0,24.2,52.0,1.8
9279,ギフトホールディングス,小売業,5100.0,23.9,50.0,0.51
6196,ストライクグループ,サービス業,1359.0,23.4,83.0,4.92
