code,name,sector,MA_Sh,MA_N,RSI_Sh,RSI_N,best,best_Sh
69200,レーザーテック,半導体,1.2989356481898038,7,0.6138301709837347,5,MA,1.2989356481898038
79740,任天堂,その他,0.6843278389151326,8,1.05020291151841,8,RSI,1.05020291151841
57060,三井金属,非鉄,1.0137011140223047,6,-0.14587577351332112,8,MA,1.0137011140223047
80010,伊藤忠商事,商社,0.4151996050633364,9,0.9054030147133526,8,RSI,0.9054030147133526
72030,トヨタ自動車,自動車,0.1037819845911854,10,0.856273987271022,9,RSI,0.856273987271022
80350,東京エレクトロン,半導体,0.7937141908445519,9,0.29510938463828884,6,MA,0.7937141908445519
68570,アドバンテスト,半導体,0.7533419769933445,9,0.20972121105409214,6,MA,0.7533419769933445
57130,住友金属鉱山,非鉄,0.5894847628695137,9,0.22880006435633465,10,MA,0.5894847628695137
99830,ファストリテ,小売,0.5853590696852338,10,-0.217397722785277,5,MA,0.5853590696852338
72670,ホンダ,自動車,0.14039547319880877,7,0.4835729237761132,11,RSI,0.4835729237761132
80310,三井物産,商社,-0.04312258740186559,9,0.45926819230155086,7,RSI,0.45926819230155086
58010,古河電工,非鉄,0.4177636341688699,8,0.13749531475815283,11,MA,0.4177636341688699
80580,三菱商事,商社,0.2660485732605863,9,0.36309403150368513,6,RSI,0.36309403150368513
84110,みずほ,銀行,0.2083953745698622,8,-0.41487533675456134,9,MA,0.2083953745698622
57110,三菱マテリアル,非鉄,-0.6166554449065126,10,0.12316104082001128,12,RSI,0.12316104082001128
