code5,name,backtest_N,backtest_sharpe
71730,東京きらぼしフィナンシャルグループ,10,9.11
83160,三井住友フィナンシャルグループ,14,5.39
73370,ひろぎんホールディングス,21,4.65
58380,楽天銀行,32,4.53
84100,セブン銀行,29,4.26
71820,ゆうちょ銀行,21,3.89
71890,西日本フィナンシャルホールディングス,20,3.70
83540,ふくおかフィナンシャルグループ,28,3.56
83590,八十二長野銀行,20,2.91
73270,第四北越フィナンシャルグループ,15,2.90
84180,山口フィナンシャルグループ,21,2.88
83080,りそなホールディングス,25,2.76
83660,滋賀銀行,15,2.28
58440,京都フィナンシャルグループ,31,2.15
83310,千葉銀行,23,2.02
83340,群馬銀行,20,1.98
83060,三菱ＵＦＪフィナンシャル・グループ,18,1.76
71800,九州フィナンシャルグループ,23,1.71
71860,横浜フィナンシャルグループ,20,1.60
87140,池田泉州ホールディングス,15,1.55
84110,みずほフィナンシャルグループ,21,1.42
83410,七十七銀行,22,1.13
