signal_date,code,name,sector,fq,earn_date,lead_days,t_close,turnover_oku,selected
2026-07-06,99830,ファーストリテイリング,小売業,第３四半期,2026-07-09,3,86930.0,712.1,Y
2026-07-06,41870,大阪有機化学工業,化学,第２四半期,2026-07-09,3,5580.0,14.4,Y
2026-07-06,28090,キユーピー,食料品,第２四半期,2026-07-09,3,4467.0,11.4,Y
2026-07-06,33490,コスモス薬品,小売業,本決算,2026-07-13,5,6650.0,23.1,Y
2026-07-06,44430,Ｓａｎｓａｎ,情報･通信業,本決算,2026-07-13,5,1718.0,14.1,Y
2026-07-07,30460,ジンズホールディングス,小売業,第３四半期,2026-07-10,3,8410.0,25.1,Y
2026-07-07,61360,オーエスジー,機械,第２四半期,2026-07-10,3,3875.0,21.5,Y
2026-07-08,39940,マネーフォワード,情報･通信業,第２四半期,2026-07-13,3,4936.0,16.0,Y
2026-07-08,94180,Ｕ−ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,情報･通信業,第３四半期,2026-07-13,3,1735.0,9.8,Y
2026-07-09,75810,サイゼリヤ,小売業,第３四半期,2026-07-14,3,5610.0,57.5,Y
2026-07-09,30480,ビックカメラ,小売業,第３四半期,2026-07-14,3,1652.0,6.6,Y
2026-07-09,64740,不二越,機械,第２四半期,2026-07-14,3,6040.0,5.3,Y
2026-07-10,36970,ＳＨＩＦＴ,情報･通信業,第３四半期,2026-07-15,3,676.5,32.6,Y
2026-07-10,68660,日置電機,電気機器,第２四半期,2026-07-15,3,11490.0,6.0,Y
2026-07-10,36970,ＳＨＩＦＴ,情報･通信業,第３四半期,2026-07-15,3,676.5,32.6,Y
2026-07-10,68660,日置電機,電気機器,第２四半期,2026-07-15,3,11490.0,6.0,Y
2026-07-21,80600,キヤノンマーケティングジャパン,卸売業,第２四半期,2026-07-24,3,3603.0,13.3,Y
2026-07-22,77510,キヤノン,電気機器,第２四半期,2026-07-27,3,4536.0,173.0,Y
2026-07-23,73090,シマノ,輸送用機器,第２四半期,2026-07-28,3,18685.0,70.6,Y
2026-07-23,30030,ヒューリック,不動産業,第２四半期,2026-07-28,3,1777.5,32.9,Y
2026-07-24,47220,フューチャー,情報･通信業,第２四半期,2026-07-29,3,2210.0,20.2,Y
2026-07-24,48120,電通総研,情報･通信業,第２四半期,2026-07-29,3,2658.0,8.1,Y
